lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
abgebrüht	ADJD	1864	1	brehm_thierleben01_1864-3282-21	 	Die Nahrung hat aber unter allen Umständen ihr Abschreckendes, zumal wenn die Jndianer dem Affen das Haar abgesengt oder ihn abgebrüht in den Topf gesteckt oder ihn zum Braten an einen spitzen Stab befestigt haben.	125:134	0:214
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-555-13	 	Zugleich kann man Reis, für jede Person ½ Eßlöffel voll gerechnet, abgebrüht, in abgeklärter Bouillon, wozu man so viel mehr Fleisch rechnen muß, gahr und dick kochen, doch müssen die Körner ganz bleiben.	67:76	0:204
abgebrüht	ADJD	1947	2	2532889X_1947-04-18_01_029.tcf.xml-13-1	 	Doch abgebrüht, wie er ist, will er auch weiterhin die sozialistische Arbeiterbewegung diskreditieren.	5:14	0:102
abgebrüht	ADJA	1953	2	26120215_1953_01_17_01_130.tcf.xml-2-60	 	Die Protestbewegung gegen den Replanten Mord an dem Ehepaar Rosenberg, der sich Millionen anständiger Menschen angeschlossen haben, hat die „Welt der Arbeit\", das Sprachrohr der rechten DGB-Führer, in ihrer Ausgabe vom 18. Januar zu einem „Bericht\" veranlaßt, der jedem ehrlichen westdeutschen Gewerkschafter die Schamröte ins Gesicht treibt Was nicht einmal die abgebrühtesten amerikanischen Zeltungen wagten, da Ethel und Julius Rosenberg konsequent Ihre Unschuld erklären, die „Welt der Arbeit\" schafft es: Sie lügt unverfroren, die Rosenberga „gestanden freiwillig ihren Verrat\".	363:377	0:583
abgebrüht	ADJA	1977	2	26120215_1977_04_09_01_064.tcf.xml-25-31	 	OHNE BESONDERES TATMO-TIV: Mit einer namhaften Besetzung und effektvollen szenischen Lösungen erzählt der französische Regisseur Philippe Labro die Geschichte eines Verbrechens, das selbst den mit der Aufklärung betrauten abgebrühten Kriminalisten letzte Illusionen über den moralischen Zustand der sogenannten „high society\" austreibt.	222:233	0:336
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-6071-10	 	Ein Pfund Catharinenpflaumen, oder gute Zwetschen, werden gut abgebrüht und in etwas Wasser so lange langsam gekocht, bis sich die Steine herausdrücken lassen, dann werden sie mit der Brühe, ½ Flasche weißem Wein, 12 Loth Zucker, Saft und Schale einer Zitrone in einem irdenen Töpfchen fest zugedeckt, ganz langsam weich gekocht.	62:71	0:329
abgebrüht	ADJA	1887	1	toennies_gemeinschaft_1887-2092-149	 	Auch stellt in einigem Maasse der (ob zwar zu grossem Theile blos den Phrasen nach) » wissenschaftliche « Unterricht, welchen die Jugend zumal der höheren d. i. der kapitalistischen Klassen durch Civilisation erhält, auf ihrer Seite als eine Art von Zwangsarbeit sich dar, wodurch leicht die besten Keime eigenthümlichen Geistes in ihnen verkrüppeln, ihr Gemüth erkältet und ihr Gewissen verhärtet wird; während doch dergleichen seiner eigentlichen Natur nach Musik und Gymnastik, d. h. eine harmonische Ausbildung des ganzen Menschen (des Leibes und der Seele) sein will, so ist oder wird es jene besondere und einseitige Erziehung des Gedächtnisses, welche zur Willkür gewandt macht, als zur bewussten Anwendung eingeprägter Regeln, und mit Worten, Sätzen, ja sogar Methoden auf mechanische Weise operiren lehrt; wie denn aber in der That solche gedrillte, gleichgültig-überlegene, abgebrühte Menschen in den meisten jener Beschäftigungen gefordert werden, oder doch am meisten brauchbar sind, welchen solche Jugend im Dienste der Gesellschaft oder des Staates (als der personificirten Gesellschaft) sich hinzugeben geneigt oder genöthigt ist.	884:894	0:1145
abgebrüht	ADJD	1956	2	2532889X_1956-06-24_01_161.tcf.xml-4-14	 	Allerdings darf das Gemüse nicht, wie es vielfach geschieht, vor der Zubereitung abgebrüht werden!	81:90	0:98
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-7327-6	 	Es wird eine Tasse Reis gut abgebrüht, mit einem Stück feinen Zimmet in einen irdenen Topf zu einem Maß kochendem Wasser gegeben, weich gekocht, ohne Rühren durch ein Sieb geschüttet und mit Zucker versüßt.	28:37	0:206
abgebrüht	ADJA	1955	2	2532889X_1955-12-25_01_118.tcf.xml-118-18	 	Irgendeine dumme Freude, in einer verfänglichen Lage einen guten Rat gefunden zu haben, stieg in dem abgebrühten Lagerkommandanten auf, und so machte er mit der sichersten Bewegung die Geste des Unteroffiziers nach.	101:112	0:215
abgebrüht	ADJA	1947	2	2532889X_1947-07-06_01_083.tcf.xml-23-39	 	Erwin Biegel als der fröhlich-melancholische Trinker, Franz Stein als Muriels Vater, Ilya Guenten als die um eigenes Familienglück 'betrogene „alte Jungfer\", Ulrich Hoffmann, der • smarte Studiosus, und Otto Matthies, der abgebrühte Kellner, schufen besonders lebensvolle Charakterstudlen.	222:232	0:289
abgebrüht	ADJA	1989	2	26120215_1989_04_28_01_171.tcf.xml-2-7	 	Nichts mehr von der Keckheit, dem abgebrühten Humor, der ihn in der ersten Nacht eils amüsiert, teils-befremdet hatte.	34:45	0:118
abgebrüht	ADJD	1961	2	2532889X_1961-02-05_01_049.tcf.xml-4-1	 	haft abgebrüht genug und darauf gedrillt, aus dem bundesdeutschen Schwarzbraun das unschuldige Weiß abendländischer Friedfertigkeit zu machen, Um also mit einer Folgerung zu beginnen: wenn schon diese Presse Alarm schlägt, dann müssen die Zustände in Schleswig-Holstein himmelschrei -	5:14	0:284
abgebrüht	ADJA	1971	2	26120215_1971_02_23_01_109.tcf.xml-10-13	 	Ich hatte bis zu diesem Augenblick eigentlich mich selbst immer für einen ziemlich abgebrühten Menschen gehalten, aber was Evertier jetzt bot, das war der Gipfel!	83:94	0:162
abgebrüht	ADJA	1963	2	2532889X_1963-03-21_01_008.tcf.xml-8-12	 	Das Blatt schreibt, „die Montagsvorstellung im Bundestag mußte selbst die abgebrühtesten Beobachter erschüttern\".	74:88	0:113
abgebrüht	ADJA	1949	2	2532889X_1949-02-24_01_063.tcf.xml-21-11	 	Liselotte Reimann macht aus der nach Leben haschenden Stella « In abgebrühtes wissendes Mädchen.	66:77	0:96
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-5896-7	 	Drei Viertelpfund Reis wird in Wasser gehörig abgebrüht, mit Milch langsam weich, aber recht steif gekocht; doch müssen die Körner ganz bleiben.	46:55	0:144
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-2221-8	 	Der Sago wird zwei Mal mit heißem Wasser abgebrüht, mit kaltem, weichem Wasser zu Feuer gebracht und mit einigen Zitronenscheiben weich gekocht, welches etwa 2 Stunden dauert.	41:50	0:175
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-3625-6	 	Ein halbes Pfund Reis wird gut abgebrüht, mit Bouillon, dem nöthigen Salz und mit Krebsbutter gahr und dick gekocht, zuletzt ein Glas Madeira durchgerührt.	31:40	0:155
abgebrüht	ADJA	1968	2	2532889X_1968-10-03_01_147.tcf.xml-5-30	 	Wir wünschen euch noch viel « kesse Blüten. und Wurzeln, tief im Boden dieser Zeit Ein guter Gag kann manchen Bock verhüten, und nicht einmal die scheinbar Abgebrühten sind auf die Dauer gegen Spott gefeit	156:167	0:205
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-3498-5	 	Unterdeß wird 1 Pfund Reis abgebrüht, in einem irdenen Geschirr mit reichlich 4 Maß Wasser und dem Pfunde Zucker 3 Stunden gekocht.	27:36	0:131
abgebrüht	ADJA	1990	2	2532889X_1990-08-03_01_044.tcf.xml-3-14	 	Was die Bonner Parteien und ihre ostlichen Ziehkinder gegenwärtig veranstalten, kann jedenfalls auch abgebrühten Naturen die Schamröte ins Gesicht treiben.	101:112	0:155
abgebrüht	ADJA	1879	1	davidis_kochbuch_1879-591-25	 	Es wird dazu ein fleischiges Stück genommen, wie oben ausgeschäumt, die Brühe durch ein Sieb gegossen und mit einem Stückchen frischer Butter und abgebrühtem Reis gahr gekocht.	146:157	0:176
abgebrüht	ADJA	1879	1	davidis_kochbuch_1879-597-37	 	Das Fleisch wird gewaschen, mit kochendem Wasser und nicht zu viel Salz aufs Feuer gebracht, abgeschäumt, ein Sellerieknöllchen, eine junge Kohlrabi, feingeschnittene Zwiebel, geschwitztes Mehl nach No. 7 und Perlgraupen oder abgebrühter Reis hinzugegeben, und, fest zugedeckt, langsam gekocht.	226:237	0:294
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-3453-8	 	Zehn Loth Sago wird, nachdem er behutsam abgebrüht ist, in Milch mit 6 Loth Zucker und Zitronenschale langsam gahr und ganz steif gekocht.	41:50	0:138
abgebrüht	ADJA	1952	2	26120215_1952_10_16_01_189.tcf.xml-12-3	 	Man muß diesen abgebrühten Gauner kennen, um zu wissen, daß ihm der Trick mit dem Konkurs prachtvoll gelingen wird.	15:26	0:115
abgebrüht	ADJD	1952	2	2532889X_1952-11-23_01_046.tcf.xml-15-17	 	Die Haßblicke der versammelten Arbeiter und ihre höhnischen Reden berührten ihn wenig, er war dagegen schon abgebrüht, und es kränkte ihn nicht mehr, wenn die Kumpel ihm ihre Verachtung offen zeigten.	108:117	0:200
abgebrüht	ADJA	1953	2	26120215_1953_05_27_01_094.tcf.xml-4-9	 	Oft nkbt man es. daß die Betrüger mit abgebrühter Frechheit vor den Schranken des Gerichts stehen und höhnisch bi richten, wie sie in Saus und Braus Gelebt haben und in welche dunklen Kanäle der westlichen Schieberwelt sie das, was der fleißige Arbeiter an der Wcrkbink schuf, gebracht haben.	38:49	0:292
abgebrüht	ADJA	1967	2	2532889X_1967-10-17_01_088.tcf.xml-28-5	 	Man spürt, wie selbst abgebrühte bürmerllche Journalisten bewegt werden.	22:32	0:72
abgebrüht	ADJA	1947	2	2532889X_1947-10-04_01_046.tcf.xml-35-9	 	„Schließlich blieben 1918 doch nur noch kleine Gruppen abgebrühter Burschen vorn, Leute, die meist schon ein paarmal verwundet waren.	55:66	0:133
abgebrüht	ADJA	1957	2	26120215_1957_03_12_01_174.tcf.xml-16-10	 	Falsche Kameradschaft bindet ihn anfänglich an die Gefährten und ihren abgebrühten Nazi-Zynismus.	71:82	0:97
abgebrüht	ADJD	1966	2	26120215_1966_11_11_01_073.tcf.xml-81-3	 	Pickler war gewiß abgebrüht, er riskierte viel, aber so bodenlos frech?	18:27	0:71
abgebrüht	ADJA	1957	2	26120215_1957_03_31_02_137.tcf.xml-25-41	 	„Hirschfeld ist immer von dritten Personen zu Notwehrhandlungen provoziert worden, und wenn er einmal zuschlug, stand er unter dem Einfluß des bösen Alkohols und handelte in sofortiger Erwiderung erlittener Beleidigungen'\", jodelte ein Rechtsanwalt, und selbst abgebrühte Gerichts -	261:271	0:282
abgebrüht	ADJA	1946	2	26120215_1946_11_05_01_038.tcf.xml-10-60	 	der Welt...\" — einen Blick nur für die, Mutter, für die Frauen und Mädchen ins Feldlazarett von Latatschino, dorthin, wohin sie so oft wimmernd, mit den letzten Atemzügen von jungen und alten Mannein vergeblich gerufen wurden und sie hätten alle Lügen durchschaut, mit denen dieser Krieg glorifiziert wurde!); die abgebrühten, mechanischen, unbeteiligten Handlangerdienste der Sanitatsdienstgrade, von denen alle Welt wußte, daß sie den Augenblick abpaßten, da die Schwerverletzten starben, um ihnen die Ringe, die Uhren und andere Habseligkeiten wegzunehmen; und wie die Tür sich immer wieder auftat, um neue Elendsfiguren einzulassen, während draußen, schon ganz in der Nähe, die russischen Maschinengewehre ihre Todesnahte steppten, auf allen Seiten und unaufhörlich und immer deutlicher; und wie sie den Verbrannten hereintrugen, der sich vor Schmerzen krümmte, und wie sie gleich danach die Bahre mit dem jungen Unteroffizier brachten, dessen Unterleib eine einzige breiige rote Fleischmasse war, und danach den Feldwebel, der kein Zeichen einer Verwundung aufwies und am Tisch saß, den Kopf in beide Hände gestützt und weinend um seine	314:325	0:1141
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-3745-3	 	Ist der Reis abgebrüht, setze man ihn nach vorhergehender Angabe zu Feuer, gebe, wenn er eine kleine Weile gekocht hat, ausgesuchte und gewaschene Rosinen dazu, so wie auch später Zucker und wenig Salz und lasse ihn gahr werden, aber nicht zerkochen.	13:22	0:250
abgebrüht	ADJA	1956	2	26120215_1956_08_05_02_318.tcf.xml-5-12	 	Und Flüche kannte die schwarze Dora, deren blumenreicher Inhalt selbst den abgebrühtesten Wüstenscheich auf sein Kamel und in die Flucht setrieben hätten.	75:89	0:154
abgebrüht	ADJA	1849	1	davidis_kochbuch_1849-3494-3	 	Ein Viertel Pfund abgebrühter Reis wird mit Milch, einem Stück Vanille und 8 Loth Zucker gahr und dick gekocht.	18:29	0:111
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-6739-7	 	Man nimmt ganz kleine Gurken, welche abgebrüht und gewaschen werden, reibt eine jede mit Salz ab und läßt sie 24 Stunden liegen.	37:46	0:128
abgebrüht	ADJD	1849	1	davidis_kochbuch_1849-3513-5	 	Ein halbes Pfund Sago wird abgebrüht, in Milch gahr und so steif gekocht, daß er sich vom Topfe ablös’t.	27:36	0:104
abgebrüht	ADJD	1956	2	2532889X_1956-02-05_01_105.tcf.xml-67-9	 	Jules: Aber Georges: Sie sind noch nicht abgebrüht genug, um die ganze Wahrheit vertragen zu können.	41:50	0:100
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-3870-3	 	Ist der Reis abgebrüht, so setze man ihn nach vorhergehender Angabe aufs Feuer und gebe, wenn er 1/4 Stunde gekocht hat, ausgesuchte und gewaschene Rosinen dazu und lasse ihn weich werden, aber nicht zerkochen.	13:22	0:210
abgebrüht	ADJD	1963	2	2532889X_1963-12-14_01_038.tcf.xml-22-3	 	Manche sind ganz abgebrüht, die machen dann montags frei.	17:26	0:57
abgebrüht	ADJD	1971	2	26120215_1971_11_02_01_173.tcf.xml-30-9	 	Mir war es auch gleichgültig, der ist so abgebrüht, der Harry, wenn sie den vorne hinausschmeißen, kommt der von hinten wieder herein.	41:50	0:134
abgebrüht	ADJA	1879	1	davidis_kochbuch_1879-3868-23	 	Wird spät im Frühjahr dies Gericht von Paradies-Aepfeln zubereitet, so lasse man sie zur Hälfte weich kochen und gebe dann erst den abgebrühten Reis hinzu.	132:143	0:155
abgebrüht	ADJD	1955	2	26120215_1955_10_16_02_013.tcf.xml-13-4	 	Billy Hopp war genügend abgebrüht, um diesen feindseligen Blicken standzuhalten.	24:33	0:80
abgebrüht	ADJA	1962	2	2532889X_1962-07-13_01_039.tcf.xml-23-13	 	Aber so naiv, wie das „Welf '-Geschrei klingt, ist das abgebrühte Schreiberkorps Springers wahrhaftig nicht.	55:65	0:108
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-3332-4	 	Nachdem der Reis gut abgebrüht, kocht man denselben mit Milch, Zucker und Zitronenschale langsam gahr und dick und rührt ihn mit 4 Eidottern ab.	21:30	0:144
abgebrüht	ADJD	1961	2	2532889X_1961-09-09_01_018.tcf.xml-5-12	 	*-' kapitalistischer Presseorgane, die IJ as mußten sogar die Vertreter gewiß abgebrüht und kaltschnäuzig genug sind, um menschliche Empfindungen nicht über ihren Auftrag und ihre Vorurteile triumphieren zu lassen.	78:87	0:214
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-7217-16	 	29. Ein ganz vorzügliches Getränk bei Diarrhöe und krankhaften Beschwerden. 1/2 Pfund bester Reis wird gut abgebrüht, mit 1/2 Unze ganzem Zimmet in einem irdenen Topf zu 1 3/4 Quart kochendem Wassers gegeben, bis zu 1 1/8 Quart eingekocht, ohne Rühren durch ein Sieb gegossen und mit oder ohne Zucker den Tag hindurch getrunken.	107:116	0:328
abgebrüht	ADJA	1849	1	davidis_kochbuch_1849-4797-34	 	Hat man die Gans nach A. No. 3 zum Braten vorgerichtet, füllt man den Leib mit in 4 Theile geschnittenen Aepfeln, unter welche man nach Belieben Rosinen oder Corinthen, oder auch abgebrühte Pflaumen mischen kann.	179:189	0:212
abgebrüht	ADJD	1886	1	rein_japan02_1886-2847-26	 	Nachdem man dieselben ausgegraben hat, werden sie von den Fasern und andern Anhängseln befreit und sorgfältig abgewaschen, darauf rasch in kochendem Wasser oder Wasserdampf abgebrüht, so dass sie nachher auf dem Querschnitt braungelb und gallertartig aussehen.	173:182	0:260
abgebrüht	ADJD	1957	2	26120215_1957_10_30_01_131.tcf.xml-30-19	 	Er als Merkur ironisiert immerzu seinen göttlichen Vorgesetzten; sie als Leda Ironisiert — zwar ihrerseits liebeshungrig, aber abgebrüht die betuliche Alkmene.	127:136	0:159
abgebrüht	ADJD	1956	2	26120215_1956_05_16_01_186.tcf.xml-64-5	 	Die Lore Schacht war so abgebrüht, sich aus all dem nichts zu machen.	24:33	0:69
abgebrüht	ADJD	1965	2	26120215_1965_04_07_01_070.tcf.xml-3-5	 	Der Einbrecher icar allerdings nicht abgebrüht, sondern — stocktaub.	37:46	0:68
abgebrüht	ADJA	1959	2	26120215_1959_09_03_01_190.tcf.xml-12-7	 	Krckodilslränen — dieses treffende Bild hätten die abgebrühten Kriegshetzer vielleicht noch „geschluckt\".	51:62	0:105
abgebrüht	ADJD	1879	1	davidis_kochbuch_1879-2994-18	 	Die Flossen werden, so weit die Außenseite geht, abgeschnitten, Füße und Bauchplatte in kochendem Wasser abgebrüht, wodurch die Haut schuppenweise abgezogen werden kann.	105:114	0:169
