identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
nf_1844_747892.txt-574-13	fic_1960_10398.txt-4574-8	st189492	2.0	 	2023-12-11 13:18:24.082	twist_nn
fic_1855_9053.txt-7676-33	fic_1839_7336.txt-1218-18	st189492	1.0	 	2023-12-11 13:18:52.806	twist_nn
fic_1840_7164.txt-2774-22	fic_1966_10473.txt-2976-10	st189492	2.0	 	2023-12-11 13:19:36.16	twist_nn
mag_1824_553556.txt-303-26	nf_1974_774254.txt-611-20	st189492	1.0	 	2023-12-11 13:19:57.745	twist_nn
fic_1839_7011.txt-1159-17	fic_1990_14132.txt-719-10	st189492	2.0	 	2023-12-11 16:53:53.598	twist_nn
fic_1823_7213.txt-1296-19	fic_1966_10473.txt-1675-18	st189492	1.0	 	2023-12-11 16:54:45.841	twist_nn
fic_1855_9773.txt-1608-9	fic_1839_7011.txt-1159-17	st189492	4.0	 	2023-12-11 16:56:12.655	twist_nn
fic_1856_9852.txt-1753-8	fic_1823_7213.txt-1296-19	st189492	4.0	 	2023-12-11 16:56:23.314	twist_nn
fic_1860_9165.txt-1649-9	fic_1963_10432.txt-3272-17	st189492	4.0	 	2023-12-11 17:04:02.098	twist_nn
nf_1844_747892.txt-574-13	fic_1823_7213.txt-1296-19	st189492	1.0	 	2023-12-11 17:04:08.174	twist_nn
fic_1856_9852.txt-1753-8	fic_2002_47050.txt-569-1	st189492	1.0	 	2023-12-11 17:04:24.912	twist_nn
fic_1823_7249.txt-3606-8	fic_1855_604.txt-2207-10	st189492	2.0	 	2023-12-11 17:05:54.116	twist_nn
fic_1963_10432.txt-3272-17	fic_1966_10473.txt-2976-10	st189492	2.0	 	2023-12-11 17:06:09.909	twist_nn
fic_1855_604.txt-2914-22	mag_1824_553556.txt-303-26	st189492	3.0	 	2023-12-11 17:06:39.708	twist_nn
fic_1823_7249.txt-3606-8	fic_1839_7011.txt-1159-17	st189492	3.0	 	2023-12-11 17:07:09.364	twist_nn
nf_1844_747892.txt-594-17	fic_1855_9053.txt-7676-33	st189492	2.0	 	2023-12-11 17:09:04.002	twist_nn
fic_1823_7249.txt-3606-8	fic_1966_10473.txt-1675-18	st189492	1.0	 	2023-12-11 17:09:31.208	twist_nn
fic_2002_47050.txt-569-1	fic_1966_10473.txt-2976-10	st189492	1.0	 	2023-12-11 17:09:34.353	twist_nn
nf_1832_771858.txt-209-6	fic_2002_47050.txt-569-1	st189492	4.0	 	2023-12-11 17:11:39.816	twist_nn
fic_1823_7213.txt-1296-19	fic_1855_604.txt-2207-10	st189492	3.0	 	2023-12-11 17:11:43.39	twist_nn
fic_1823_7249.txt-3606-8	fic_1962_10427.txt-373-8	st189492	2.0	 	2023-12-11 17:11:47.344	twist_nn
fic_1856_9852.txt-1753-8	fic_1839_7011.txt-1159-17	st189492	4.0	 	2023-12-11 17:11:59.357	twist_nn
fic_1823_7213.txt-1296-19	fic_2002_47050.txt-569-1	st189492	1.0	 	2023-12-11 17:12:11.351	twist_nn
fic_1855_604.txt-2914-22	fic_1966_10473.txt-2976-10	st189492	1.0	 	2023-12-11 17:12:20.29	twist_nn
fic_1823_7213.txt-1296-19	fic_1963_10432.txt-3272-17	st189492	1.0	 	2023-12-11 17:12:35.889	twist_nn
