identifier1	identifier2	annotator	judgment	comment	lemma
mag_1965_492017.txt-44-3	fic_1836_7052.txt-1355-43	amariac810	2	 	twist_nn
fic_1963_16356.txt-146-6	nf_1859_749190.txt-558-29	amariac810	2	 	twist_nn
fic_1985_10734.txt-2331-18	fic_2003_29944.txt-53-10	amariac810	3	 	twist_nn
nf_1964_773457.txt-769-16	fic_1856_2470.txt-2074-2	amariac810	2	 	twist_nn
fic_1961_10406.txt-1786-19	nf_1964_773457.txt-769-16	amariac810	3	 	twist_nn
fic_1859_9220.txt-6324-24	fic_1995_39237.txt-68-4	amariac810	2	 	twist_nn
fic_1985_10734.txt-2331-18	fic_1834_7323.txt-3237-18	amariac810	2	 	twist_nn
fic_1963_16356.txt-146-6	mag_1845_522615.txt-190-8	amariac810	4	 	twist_nn
mag_1992_346934.txt-21-14	fic_1960_10398.txt-4574-8	amariac810	2	 	twist_nn
mag_1960_477591.txt-122-3	news_1998_626792.txt-30-11	amariac810	4	 	twist_nn
fic_2003_29944.txt-53-10	fic_1988_10775.txt-879-28	amariac810	2	 	twist_nn
fic_1839_7336.txt-1218-18	fic_1834_7047.txt-619-19	amariac810	2	 	twist_nn
nf_1827_747521.txt-860-41	fic_1855_9053.txt-7676-33	amariac810	3	 	twist_nn
fic_1860_9165.txt-1649-9	fic_1823_7213.txt-703-26	amariac810	0	 	twist_nn
fic_1992_13392.txt-2137-10	fic_1982_10695.txt-4583-14	amariac810	2	 	twist_nn
mag_1845_522615.txt-190-8	fic_2002_47050.txt-569-1	amariac810	4	 	twist_nn
mag_1823_553448.txt-210-40	nf_1850_747423.txt-732-29	amariac810	2	 	twist_nn
fic_1823_7249.txt-435-55	mag_1962_248199.txt-28-27	amariac810	2	 	twist_nn
fic_1960_10398.txt-4574-8	mag_1977_288256.txt-19-6	amariac810	3	 	twist_nn
fic_1963_4965.txt-109-33	fic_1990_14132.txt-719-10	amariac810	3	 	twist_nn
nf_1967_773667.txt-462-17	news_1966_725646.txt-32-10	amariac810	2	 	twist_nn
fic_1839_7336.txt-2798-11	nf_1832_771858.txt-209-6	amariac810	0	 	twist_nn
fic_1992_40341.txt-172-12	news_2006_607745.txt-66-9	amariac810	2	 	twist_nn
fic_1977_10629.txt-3934-9	fic_1961_10406.txt-1786-19	amariac810	2	 	twist_nn
fic_1962_10417.txt-7726-22	mag_1960_245108.txt-18-22	amariac810	2	 	twist_nn
nf_1829_748004.txt-1629-10	fic_1847_2352.txt-771-30	amariac810	2	 	twist_nn
fic_1966_781992.txt-2245-7	fic_1827_8772.txt-735-44	amariac810	0	 	twist_nn
mag_1843_555146.txt-498-35	fic_1966_10473.txt-2976-10	amariac810	4	 	twist_nn
fic_1854_9826.txt-1072-5	fic_1823_7249.txt-3606-8	amariac810	4	 	twist_nn
fic_1980_782022.txt-2441-14	fic_2009_36870.txt-57-23	amariac810	2	 	twist_nn
nf_1850_747423.txt-732-29	fic_1992_13392.txt-2137-10	amariac810	4	 	twist_nn
fic_1824_7279.txt-968-62	nf_1837_757476.txt-2572-5	amariac810	4	 	twist_nn
fic_1856_9852.txt-1753-8	fic_1834_7047.txt-1656-18	amariac810	4	 	twist_nn
fic_1840_7681.txt-1992-35	fic_1990_14132.txt-719-10	amariac810	3	 	twist_nn
fic_1859_9220.txt-2169-28	nf_1855_750257.txt-948-64	amariac810	3	 	twist_nn
fic_1847_2352.txt-2533-11	fic_1859_9220.txt-2169-28	amariac810	2	 	twist_nn
fic_1847_2352.txt-2533-11	nf_1835_747966.txt-690-8	amariac810	2	 	twist_nn
news_1997_610581.txt-53-4	nf_1847_750187.txt-553-19	amariac810	3	 	twist_nn
fic_1839_7336.txt-1218-18	mag_2004_394945.txt-12-4	amariac810	4	 	twist_nn
news_1966_725646.txt-32-10	fic_1854_9826.txt-1072-5	amariac810	3	 	twist_nn
nf_1982_773998.txt-376-16	fic_1845_7162.txt-2071-19	amariac810	3	 	twist_nn
fic_1966_781992.txt-2245-7	fic_1834_8947.txt-404-31	amariac810	2	 	twist_nn
mag_1858_526619.txt-26-47	fic_1980_782022.txt-2441-14	amariac810	0	 	twist_nn
fic_1993_25010.txt-3586-24	fic_1856_9779.txt-14316-17	amariac810	2	 	twist_nn
fic_1847_2352.txt-771-30	nf_1827_747521.txt-860-41	amariac810	4	 	twist_nn
mag_1989_432483.txt-0-19	fic_1834_7047.txt-1090-58	amariac810	4	 	twist_nn
fic_2009_36961.txt-181-4	fic_1850_7222.txt-1508-11	amariac810	3	 	twist_nn
news_1966_725646.txt-32-10	fic_1823_7249.txt-3606-8	amariac810	4	 	twist_nn
fic_1827_7169.txt-2562-143	fic_2003_48245.txt-267-8	amariac810	2	 	twist_nn
fic_1966_10473.txt-2976-10	nf_1850_747423.txt-732-29	amariac810	3	 	twist_nn
