lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Unentschlossenheit	 	1898	1	bismarck_erinnerungen02_1898-1145-23	 	Von dem militärischen wie von dem politischen Standpunkte erscheint das zögernde Vorgehn widersinnig und gefährlich, und daß die Gründe nicht in der Unentschlossenheit unsrer Heeresleitung zu suchen waren, darf man aus der raschen und entschlossenen Führung des Krieges bis vor Paris schließen.	149:167	0:294
Unentschlossenheit	 	1959	2	2532889X_1959-04-28_01_041.tcf.xml-78-2	 	Gegen die Unentschlossenheit	10:28	0:28
Unentschlossenheit	 	1960	2	2532889X_1960-08-09_01_068.tcf.xml-44-15	 	Selwyn Lloyds Schwanengesang als Außenminister im Unterhaus ließ das Schwanken, die Unsicherheit und die Unentschlossenheit der Macmlllan-Regierung im Verkehr mit ihren NATO-Verbündeten klar zutage treten.	105:123	0:205
Unentschlossenheit	 	1871	1	francois_reckenburgerin02_1871-1658-21	 	Ich forderte Zeit zur Ueberlegung, und es vergingen Wochen, in welchen ich den Grafen nicht wiedersah, Wochen der Unentschlossenheit, wie ich sie niemals erfahren hatte.	114:132	0:169
Unentschlossenheit	 	1983	2	26120215_1983_07_08_01_184.tcf.xml-27-25	 	Alle moralischen Werte unterwarf er seinem politischen Eiferertum, dabei ließ er sich oft genug mit Skepsis über den deutschen Nationalcharakter us der zu fader Unentschlossenheit und nachher zu umso verbohrterer Mitmacherei neige.	161:179	0:231
Unentschlossenheit	 	1961	2	26120215_1961_09_02_01_158.tcf.xml-24-2	 	Pazifismus und Unentschlossenheit haben noch nie Aggressionen verhindert.	15:33	0:73
Unentschlossenheit	 	1976	2	26120215_1976_06_14_01_111.tcf.xml-21-1	 	Die Unentschlossenheit bei Göbels Nachschuß zum Vorwärts-l:0 setzte sich fort.	4:22	0:78
Unentschlossenheit	 	1848	1	nn_nrhz297i_1849-427-4	 	Dieses Schwanken, diese Unentschlossenheit, waren auch Ursache, daß, als es wirklich zum Ausbruch kam, keiner wußte, wo er sich betheiligen, wo er am besten helfen konnte.	24:42	0:171
Unentschlossenheit	 	1882	1	keller_sinngedicht_1882-2383-15	 	Nun begann sie aber die kostbare Zeit zu verzetteln, indem sie erst mit verstellter Unentschlossenheit ein Staatskleid aussuchte und mit niedlichem Geplauder seinen Rath verlangte, dann das Oberkleid, das sie trug, von ihm aufnesteln ließ, tausend Kleinigkeiten herbeiholte, dazwischen mit Kosen und Schmeicheln sich zu schaffen machte, bis die eiserne Wanduhr in der Kammer das Viertel auf Mitternacht schlug.	84:102	0:410
Unentschlossenheit	 	1883	1	beyer_poetik02_1883-10219-33	 	Durch jenes starke Beherrschtsein von heftigen Gefühlen, Affekten, Begehrungen, das die Stimme der Mäßigung und Klugheit nicht beachtet, welches man Leidenschaft nennt; ferner durch Rücksichtslosigkeit, Verbrechen, Unentschlossenheit & c. verstößt der Held der Tragödie gegen bestimmte unabänderliche Gesetze und zieht sich so sein Schicksal zu.	215:233	0:345
Unentschlossenheit	 	1843	1	lewald_jenny01_1843-748-6	 	Wenigstens täuschte er sich über seine Unentschlossenheit mit dieser scheinbaren Pflichterfüllung.	39:57	0:98
Unentschlossenheit	 	1947	2	2532889X_1947-05-17_01_021.tcf.xml-28-28	 	Eben deswegen sabotieren die privaten Bauflrmon, hinter denen das Bleiche Stahlsyndikat und die mit ihm verbundenen Monopole stehen, gegenwärtig das Bauprogramm, wobei sie sich die Unentschlossenheit der Regierung zunutze machen.	181:199	0:229
Unentschlossenheit	 	1879	1	treitschke_geschichte01_1879-1962-3	 	Er hat aus Unentschlossenheit Vieles unterlassen, wozu sein gerader Verstand ihn drängte, aber nie etwas gethan, was nicht aus eigener wohlerwogener Ueberzeugung kam.	11:29	0:166
Unentschlossenheit	 	1983	2	26120215_1983_09_03_01_546.tcf.xml-31-5	 	Jalloud schien sich aus seiner Unentschlossenheit aufgerafft zu haben und schlenderte die Straße hinab in Richtung Souk.	31:49	0:120
Unentschlossenheit	 	1965	2	2532889X_1965-09-02_01_144.tcf.xml-41-18	 	Wenn ich als Arbeitsbeispiel meinen deutschen Sprachbereich wähle, so finde Ich, daß im 'westlichen Staat meine Unentschlossenheit, meine Zweifel nicht nur akzeptiert, sondern auch gutgeheißen werden.	112:130	0:200
Unentschlossenheit	 	1848	1	nn_nrhz066b_1848-240-24	 	Jeder, der die Schilderungen seines angeblichen Benehmens und die Anschuldigungen der Feigheit, des kindischen Unverstandes, des lächerlichsten Ehrgeizes, der possierlichsten Unentschlossenheit liest: begreift von vornherein, daß er es lediglich mit einer Karrikatur zu thun hat.	175:193	0:279
