identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
fic_1840_7292.txt-1919-10	nf_1969_774314.txt-490-17	st189492	1.0	 	2023-11-28 12:49:12.318	bit_nn
nf_1969_774314.txt-490-17	news_1982_671085.txt-4-24	st189492	2.0	 	2023-11-28 12:51:34.329	bit_nn
fic_1853_9069.txt-508-4	fic_1855_9053.txt-1148-7	st189492	2.0	 	2023-11-29 12:01:27.397	bit_nn
fic_1853_9069.txt-508-4	fic_1849_7231.txt-2627-10	st189492	1.0	 	2023-11-29 12:03:59.808	bit_nn
fic_1852_69.txt-575-14	fic_1966_1008.txt-3443-14	st189492	4.0	 	2023-11-28 12:48:03.252	bit_nn
fic_1853_9069.txt-508-4	fic_1844_7081.txt-1594-6	st189492	3.0	 	2023-11-28 12:50:13.592	bit_nn
fic_1853_9069.txt-508-4	fic_2009_36638.txt-804-0	st189492	3.0	 	2023-11-28 12:52:13.614	bit_nn
fic_1845_7162.txt-1840-17	mag_1977_490791.txt-9-13	st189492	2.0	 	2023-11-29 11:56:57.708	bit_nn
fic_1966_1008.txt-3443-14	fic_1997_32347.txt-32-17	st189492	2.0	 	2023-11-29 11:59:42.327	bit_nn
nf_1837_757476.txt-3891-24	news_1982_671085.txt-4-24	st189492	2.0	 	2023-11-29 12:03:05.581	bit_nn
fic_1845_7162.txt-1840-17	fic_1997_32347.txt-32-17	st189492	2.0	 	2023-11-29 12:03:30.568	bit_nn
fic_1859_9037.txt-439-7	fic_1845_7162.txt-1840-17	st189492	2.0	 	2023-11-29 12:06:09.085	bit_nn
fic_1830_7238.txt-76-6	fic_1966_1008.txt-3443-14	st189492	3.0	 	2023-11-29 12:06:57.605	bit_nn
fic_1853_9069.txt-508-4	fic_1857_9075.txt-1339-30	st189492	2.0	 	2023-11-29 12:09:53.228	bit_nn
fic_1966_1008.txt-3443-14	nf_1969_774314.txt-490-17	st189492	1.0	 	2023-11-28 12:49:44.443	bit_nn
news_1985_668615.txt-35-11	fic_1966_1008.txt-3443-14	st189492	1.0	 	2023-11-28 12:50:26.109	bit_nn
fic_2009_36750.txt-54-11	news_1982_671085.txt-4-24	st189492	1.0	 	2023-11-29 11:56:39.082	bit_nn
nf_1969_774314.txt-490-17	nf_1997_773513.txt-269-34	st189492	1.0	 	2023-11-29 11:56:47.001	bit_nn
fic_1968_10498.txt-2290-1	news_1982_671085.txt-4-24	st189492	3.0	 	2023-11-29 11:57:02.128	bit_nn
fic_1966_1008.txt-3443-14	news_1982_671085.txt-4-24	st189492	4.0	 	2023-11-29 11:57:18.826	bit_nn
fic_2009_36750.txt-54-11	fic_1968_10498.txt-2290-1	st189492	1.0	 	2023-11-29 12:01:15.459	bit_nn
news_1985_668615.txt-35-11	news_1982_671085.txt-4-24	st189492	2.0	 	2023-11-29 12:01:32.304	bit_nn
fic_1966_1008.txt-3443-14	nf_1997_773513.txt-269-34	st189492	2.0	 	2023-11-29 12:01:36.56	bit_nn
fic_1966_1008.txt-3443-14	fic_1968_10498.txt-2290-1	st189492	2.0	 	2023-11-29 12:05:01.053	bit_nn
fic_2009_36750.txt-54-11	fic_1966_1008.txt-3443-14	st189492	1.0	 	2023-11-29 12:05:04.06	bit_nn
nf_2008_774725.txt-325-15	news_1982_671085.txt-4-24	st189492	1.0	 	2023-11-29 12:06:11.78	bit_nn
news_1985_668615.txt-35-11	fic_2009_36750.txt-54-11	st189492	1.0	 	2023-11-29 12:06:14.997	bit_nn
fic_1966_1008.txt-3443-14	nf_2008_774725.txt-325-15	st189492	1.0	 	2023-11-29 12:07:45.199	bit_nn
fic_2009_36750.txt-54-11	nf_1969_774314.txt-490-17	st189492	4.0	 	2023-11-29 12:07:48.948	bit_nn
news_1982_671085.txt-4-24	nf_1997_773513.txt-269-34	st189492	1.0	 	2023-11-29 12:08:47.961	bit_nn
fic_2009_36750.txt-54-11	nf_2008_774725.txt-325-15	st189492	1.0	 	2023-11-29 12:10:43.609	bit_nn
nf_2008_774725.txt-325-15	nf_1997_773513.txt-269-34	st189492	1.0	 	2023-11-29 12:12:12.18	bit_nn
fic_1966_10469.txt-2680-20	news_1982_671085.txt-4-24	amariac810	4.0	 	2023-12-15 14:17:54.62	bit_nn
fic_1853_9069.txt-508-4	fic_1823_7248.txt-2489-20	amariac810	1.0	 	2023-12-15 14:21:38.654	bit_nn
fic_1853_9069.txt-508-4	fic_1833_7321.txt-3755-25	amariac810	4.0	 	2023-12-15 14:21:44.155	bit_nn
fic_1849_7231.txt-2627-10	news_1982_671085.txt-4-24	amariac810	1.0	 	2023-12-15 14:21:53.193	bit_nn
fic_1853_9069.txt-508-4	fic_1966_10469.txt-2680-20	amariac810	2.0	 	2023-12-15 14:21:56.637	bit_nn
fic_1845_7162.txt-1840-17	nf_1969_774314.txt-476-11	amariac810	2.0	 	2023-12-15 14:22:07.853	bit_nn
fic_1983_10712.txt-1546-9	news_1982_671085.txt-4-24	amariac810	2.0	 	2023-12-15 14:22:10.773	bit_nn
fic_1855_9053.txt-1148-7	fic_1966_1008.txt-3443-14	amariac810	3.0	 	2023-12-15 14:22:59.6	bit_nn
fic_1835_5605.txt-2784-10	nf_1997_773513.txt-269-34	amariac810	1.0	 	2023-12-15 14:28:23.985	bit_nn
fic_1855_9053.txt-1148-7	fic_1845_7162.txt-1840-17	amariac810	2.0	 	2023-12-15 14:28:39.988	bit_nn
fic_1835_5605.txt-2784-10	fic_1966_1008.txt-3443-14	amariac810	1.0	 	2023-12-15 14:28:43.523	bit_nn
fic_1966_1008.txt-3443-14	fic_1997_32347.txt-32-17	amariac810	2.0	 	2023-12-15 14:29:06.36	bit_nn
fic_1855_9053.txt-1148-7	nf_2008_774725.txt-325-15	amariac810	2.0	 	2023-12-15 14:29:10.71	bit_nn
fic_1835_5605.txt-2784-10	fic_1966_10469.txt-2680-20	amariac810	1.0	 	2023-12-15 14:29:26.765	bit_nn
fic_1853_9069.txt-508-4	fic_1857_9075.txt-1339-30	amariac810	2.0	 	2023-12-15 14:29:34.507	bit_nn
fic_1832_9464.txt-182-10	fic_1845_7162.txt-1840-17	amariac810	1.0	 	2023-12-15 14:29:39.547	bit_nn
fic_1840_7292.txt-1919-10	fic_1966_10469.txt-2680-20	amariac810	2.0	 	2023-12-15 14:29:58.513	bit_nn
fic_1853_9158.txt-97-26	fic_1966_1008.txt-3443-14	amariac810	1.0	 	2023-12-15 14:31:52.784	bit_nn
