lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
risk_nn	nn2	1970	2	news_1970_728635.txt-5-24	 	Thus it was, in the case of Cambodia, President Nixon repeatedly warned the North Vietnamese that they would be taking \" grave risks \" if they attempted to \" jeopardize the security of our remaining forces in Vietnam by increased military action in Vietnam, in Cambodia, or in Laos. \"	127:132	0:284
risk_nn	nn2	1971	2	fic_1971_782006.txt-1035-26	 	If he wasn't Tsanko, she thought indignantly, then he must be a plain, old-fashioned burglar, and without stopping to consider the risks Mrs. Pollifax slid out of her bed and stood up.	131:136	0:184
risk_nn	nn1	1823	1	fic_1823_7242.txt-1227-23	 	We shall protect ourselves then, by enlarging the premium or profit, a rate of interest, till it weigh down the risk.	112:116	0:117
risk_nn	nn1	1828	1	fic_1828_7245.txt-1427-4	 	I shall endure the risk whatever it be.... shall I proceed?	19:23	0:59
risk_nn	nn2	2003	2	mag_2003_386851.txt-47-7	 	But the Clinton administration also took political risks to promote its broader free-trade agenda.	51:56	0:98
risk_nn	nn1	2001	2	mag_2001_417641.txt-39-12	 	without first questioning the client about his/her financial needs, tolerance for risk, liquidity and the like?	82:86	0:111
risk_nn	nn1	1827	1	mag_1827_553793.txt-242-1	 	the risk, while those to whom he is indebted, may feel the same doubts of him, have the same difficulty of transfer, and be also in their turn exposed to the same troubles in their transactions with others.	4:8	0:206
risk_nn	nn2	1965	2	mag_1965_478419.txt-216-2	 	Reducing the Risks in general, national Negro leaders have been pleasantly surprised by the South's pre-Selma reaction to the Civil Rights Act.	13:18	0:143
risk_nn	nn1	1827	1	fic_1827_7168.txt-1497-40	 	Sirs, ye have prudence, and can well deem how rash these light, ill judged sayings, come from the mouths of mariners -- men whose lives are of the sea -- whose very breath is at the risk of storm and steel -- and ye know we can not have more caution than is wanted -- for who marks what ear listens?	182:186	0:299
risk_nn	nn1	1859	1	mag_1859_556713.txt-217-3	 	There was a risk of centralization, and of an entail of offices and privileges in our national government.	12:16	0:106
risk_nn	nn1	2004	2	news_2004_661030.txt-353-26	 	If the rich are free to engage in dangerous sports for pleasure... it is difficult to see why the poor, who take the lesser risk of kidney selling...	124:128	0:149
risk_nn	nn1	1998	2	mag_1998_400336.txt-16-6	 	Almost unknown and unidentified as a risk factor in meat until the early 1980s, E. coli Ol;;: H7 has become the leading cause of kidney failure in American children.	37:41	0:165
risk_nn	nn2	1977	2	news_1977_732876.txt-83-25	 	Moreover, when the individual takes the chance to obtain a potential medical benefit after he has been properly informed of the benefits and the risks he automatically shares responsibility with all * lose who provide and administer the agent.	145:150	0:243
risk_nn	nn1	1860	1	fic_1860_2807.txt-3923-16	 	They say that their property is plundered, their women insulted, and themselves at constant risk in life and limb. \"	92:96	0:116
risk_nn	nn1	1835	1	fic_1835_7142.txt-166-15	 	With two swordsmen nearly equal, and such it was manifest were these, the risk is so great	74:78	0:90
risk_nn	nn1	1853	1	fic_1853_3819.txt-1940-13	 	C You'd better make sure of half a dollar than run the risk of losing every thing on such a poor ticket as that. \"	55:59	0:114
risk_nn	nn1	1827	1	mag_1827_553832.txt-193-4	 	In exchange for the risk of building up a feeble republic in Greece, the leading powers think it wise to recall into being, that power which once threw its legions within the walls of Otranto and knocked at the gates of Vienna.	20:24	0:227
risk_nn	nn1	1835	1	fic_1835_1103.txt-26-31	 	In a minute we were joined by her husband, who grasped my hand with warm feeling, or rather with the emotion one ought to feel who had witnessed the risk he had just run of losing an angel.	149:153	0:189
risk_nn	nn1	1999	2	mag_1999_407854.txt-21-22	 	The very foods that most nourish us - whole grains, legumes, and fresh fruits and vegetables -- also reduce our risk of disease, \" says Elizabeth Somer, M.A.	112:116	0:157
risk_nn	nn1	1854	1	fic_1854_9160.txt-194-8	 	Their orders were, at all and every risk, to gain permission to consign the corpse of their late king and founder to the earth, previously denied to him.	36:40	0:153
risk_nn	nn1	1995	2	mag_1995_394830.txt-18-14	 	The troubles with Hubble beg the question: What is an acceptable, informed risk?	75:79	0:80
risk_nn	nn1	1969	2	mag_1969_313779.txt-20-10	 	But he cautions that there is \" an exceedingly small risk of possibly great harm \" in not maintaining strict quarantine procedures for the returning Apollo 11 astronauts. \"	53:57	0:172
risk_nn	nn1	1988	2	news_1988_670265.txt-38-11	 	The customer doesn ' t realize there ' s a capital risk. \"	51:55	0:58
risk_nn	nn1	1860	1	fic_1860_9165.txt-3412-8	 	He felt that he was running a great risk in taking a stranger to his breakfast-table, without first consulting \" the woman, \" as he always called his wife.	36:40	0:155
risk_nn	nn2	1846	1	fic_1846_544.txt-719-6	 	I was willing to encounter some risks in order to accomplish my object, and counted much upon my	32:37	0:96
risk_nn	nn1	1969	2	news_1969_727984.txt-68-29	 	Conditions of life in the Soviet Union, where everybody is obliged to spy on everybody else and where hypocrisy prevails, does not allow anyone to take the risk of entrusting a single person with such a secret. \"	156:160	0:212
risk_nn	nn1	1823	1	mag_1823_553479.txt-35-10	 	Of Dr Miner, we declare, even at the risk of arguing ourselves unknown, that we know nothing except his book, nor ever saw his name but on its pages.	37:41	0:149
risk_nn	nn1	1997	2	mag_1997_385757.txt-31-33	 	The fear-inducing publicity given to osteoporosis in women's magazines and calcium ads has created a demand for bone-density scans, when it is only necessary or appropriate to screen women with multiple risk factors.	203:207	0:216
risk_nn	nn2	2001	2	mag_2001_417479.txt-84-48	 	The Cuban Missile Crisis, Israeli retaliation for Palestinian terrorism, giving sophisticated military weapons to Taiwan so they may fend off the threats of possible attacks from China, and United Nations soldiers who guard buffer zones between hostile countries around the world are illustrations of the risks all countries routinely take to maintain their security and safety.	305:310	0:378
risk_nn	nn1	1852	1	fic_1852_2477.txt-2210-8	 	I know there is; and the risk increases with every moment of delay.	27:31	0:71
risk_nn	nn1	1989	2	nf_1989_773862.txt-777-16	 	Curves representing the two risks would appear at different points on the morbidity schedule because the risk of being sick would count days (or weeks) per year and the risk of falling sick the smaller number of events per year.	105:109	0:228
risk_nn	nn1	1860	1	fic_1860_9817.txt-3467-5	 	Then it were my lesser risk to anticipate their intention, by trying to break through their ring and escape to the woods, \" promptly said Crocker.	23:27	0:146
risk_nn	nn1	2007	2	mag_2007_390517.txt-67-24	 	Wilson, author of the Rush Medical Center study, said it's clear that keeping mentally active-reading a newspaper, attending a play-reduces risk.	140:144	0:145
risk_nn	nn1	1856	1	fic_1856_2367.txt-2709-6	 	Hunger tempted him to run the risk of exposure.	30:34	0:47
risk_nn	nn1	1841	1	nf_1841_768644.txt-2103-18	 	In consequence of this, the last hours of daily labor are more likely to be those of risk, especially to delicate constitutions.	85:89	0:128
risk_nn	nn1	2009	2	fic_2009_36830.txt-89-26	 	He planted his feet solidly, pleading unsuccessfully with his soul not to let an inkling of his disappointment be exposed, not to run the risk of giving Joel extra gratification. \"	138:142	0:180
risk_nn	nn1	1852	1	mag_1852_555766.txt-251-46	 	If, through any form of patronage, or by the help of their own little savings, they can establish their sons within the outposts of the mercantile profession, they prefer for them the vague and doubtful prospect of success, and the imminent risk of utter failure, to the certainty of an honorable subsistence by the labor of their own bands.	241:245	0:341
risk_nn	nn1	1829	1	nf_1829_751465.txt-2629-9	 	The cavaliers replied that there was no achievement without risk, and that there would have been no great actions recorded in history had there not been daring spirits ready to peril life to gain renown.	60:64	0:203
risk_nn	nn1	1857	1	mag_1857_523318.txt-260-60	 	King and my own, but that now I am come hither to enter into my rest and to serve our Lord, so monstrous and insolent an abomination should break forth in my presence and your own, when I well know what toils and grief I have endured on this account in Germany, to the not small risk of my salvation.	279:283	0:300
risk_nn	nn1	2001	2	news_2001_627713.txt-535-23	 	Participants must be at least 35 years old, be post-menopausal (or have had a hysterectomy), and have an increased risk of breast cancer.	115:119	0:137
risk_nn	nn1	1997	2	mag_1997_399269.txt-40-2	 	more significant risk factor in women than in men.	17:21	0:50
risk_nn	nn1	1857	1	fic_1857_9075.txt-774-3	 	Nor did the risk of injury to the mantle further engage her thoughts, but, passively yielding to the little conqueror, she resumed her seat, and continued the scarcely interrupted strain of her discourse upon the music, dresses, and decorations of the evening's entertainment.	12:16	0:276
risk_nn	nn1	1854	1	fic_1854_9160.txt-1652-68	 	She even stood at her window and watched to see him led forth to execution, when she waved to him a parting token, and then awaited calmly the return of the cart with Guilford's headless body; for, though it had been at first intended that both should suffer together on one scaffold on Tower Hill, it was deemed prudent to avoid the risk of stimulating the compassion of the people for their innocence, and youth, and beauty, into fury for their unmerited judicial murder, and it was resolved that they should suffer singly within the precinets of that bloody building.	334:338	0:570
risk_nn	nn2	1983	2	mag_1983_492093.txt-36-28	 	Minimal \" Obesity We've seen that obesity is frequently accompanied by major risk factors for heart disease and that the relief of obesity may help relieve these risks.	162:167	0:168
risk_nn	nn1	1975	2	nf_1975_774323.txt-2315-8	 	Where opportunity in any is denied, the risk o f individual and social pathology increases.	40:44	0:91
risk_nn	nn1	2001	2	mag_2001_369903.txt-18-22	 	Investigators were surprised last year when preliminary evidence from the WHI revealed that taking estrogen with or without progestin slightly increased the risk of blood clots, heart attacks and strokes over a two-year period.	157:161	0:227
risk_nn	nn1	1844	1	mag_1844_518559.txt-394-24	 	Am I obliged to prove juridically the virtues of all those I shall see suffering every kind of wrong, and contumely, and risk of life, before I endeavor to interest others in their sufferings, -- and before I endeavor to excite horror against midnight assassins at back-stairs, and their more wicked abettors in pulpits?	121:125	0:320
risk_nn	nn1	2006	2	nf_2006_747040.txt-18-1	 	This risk has grown as the scale of human impact on the environment has increased and has subjected natural systems to unprecedented perturbations.	5:9	0:147
risk_nn	nn1	1998	2	mag_1998_401800.txt-69-36	 	Strong evidence that colonoscopy is cost-effective coomes from Eli l, illy and (Company, the Indianapolis-based pharmutical corporation, which is conducting the largest community-based study ever of the test on people at average risk.	229:233	0:234
risk_nn	nn1	1839	1	fic_1839_7087.txt-897-8	 	I have obtained it for thee at the risk of life and limb, valuing neither, so that I might do thee a service, and save what I know thou wilt be proud to preserve in remembrance of this day. \"	35:39	0:191
risk_nn	nn1	1995	2	fic_1995_39352.txt-584-11	 	Last summer when his daughter got married I took a huge risk by stealing a cake from Baked Goods and lowering it to him on an ad hoc dumbwaiter.	56:60	0:144
risk_nn	nn1	1834	1	fic_1834_2652.txt-5083-21	 	Besides, if we keep the look-out to-morrow, as we shall, we can settle the business without any such risk. \"	101:105	0:108
risk_nn	nn1	2002	2	mag_2002_388217.txt-87-7	 	Chronic mild exposure is still the biggest risk, \" Coldiron says.	43:47	0:65
risk_nn	nn1	1828	1	fic_1828_7370.txt-1021-8	 	Stand aside, -- I will take the risk.	32:36	0:37
risk_nn	nn1	1852	1	nf_1852_752548.txt-119-15	 	Stiff breeze -- short sea, \" returned the bluff old seaman; \" great risk in making land -- boats heavily laden with women and children will be swamped.	68:72	0:151
risk_nn	nn1	1993	2	fic_1993_1040072.txt-4334-12	 	He sees them as an absolute last resort because of the high risk to the hostages, but the negotiation's gone nowhere.	60:64	0:117
risk_nn	nn1	1835	1	mag_1835_554293.txt-56-5	 	To strike the enemy without risk to his own person, and to Injure him in every possible manner, is the main object.	28:32	0:115
risk_nn	nn1	1848	1	fic_1848_7265.txt-2045-11	 	Then I can not buy it, and run the dreadful risk of its being Miss Liston, the grocer's daughter, and not Miss Liston of the Fifth Avenue.	44:48	0:138
risk_nn	nn2	1853	1	fic_1853_9158.txt-3400-12	 	Nay, be it as it may, I have stood some risks before, and I will bide the blast even now!	40:45	0:89
