identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
mag_1845_555338.txt-132-5	mag_2006_398617.txt-90-13	amariac810	2.0	 	2023-12-19 01:23:31.283	record_nn
fic_1995_39281.txt-144-16	news_2005_607677.txt-38-5	amariac810	2.0	 	2023-12-19 01:25:16.562	record_nn
mag_1845_555338.txt-132-5	news_1988_668892.txt-4-9	amariac810	2.0	 	2023-12-19 01:25:30.083	record_nn
mag_1981_127085.txt-95-12	news_2005_607677.txt-38-5	amariac810	4.0	 	2023-12-19 01:25:34.503	record_nn
mag_2002_421280.txt-35-1	news_2005_607677.txt-38-5	amariac810	2.0	 	2023-12-19 01:25:37.63	record_nn
mag_2004_415362.txt-103-15	news_2005_607677.txt-38-5	amariac810	2.0	 	2023-12-19 01:25:40.04	record_nn
mag_1984_432205.txt-64-8	news_2005_607677.txt-38-5	amariac810	3.0	 	2023-12-19 01:25:44.696	record_nn
mag_1998_399430.txt-31-10	news_2005_607677.txt-38-5	amariac810	4.0	 	2023-12-19 01:25:49.161	record_nn
mag_1845_555338.txt-132-5	mag_1962_311690.txt-9-8	amariac810	2.0	 	2023-12-19 01:25:55.339	record_nn
mag_1845_555338.txt-132-5	news_2005_607677.txt-38-5	amariac810	2.0	 	2023-12-19 01:26:01.477	record_nn
mag_1845_555338.txt-132-5	nf_1992_773879.txt-884-9	amariac810	2.0	 	2023-12-19 01:26:08.5	record_nn
mag_1845_555338.txt-132-5	mag_1987_88962.txt-50-28	amariac810	2.0	 	2023-12-19 01:26:12.593	record_nn
mag_1845_555338.txt-132-5	mag_1981_127085.txt-95-12	amariac810	2.0	 	2023-12-19 01:26:15.882	record_nn
mag_1845_555338.txt-132-5	news_1988_668892.txt-4-9	st189492	1.0	 	2023-12-06 23:44:15.346	record_nn
mag_1845_555338.txt-132-5	mag_1981_127085.txt-95-12	st189492	4.0	 	2023-12-06 23:44:41.899	record_nn
mag_1845_555338.txt-132-5	mag_1987_88962.txt-50-28	st189492	2.0	 	2023-12-06 23:44:47.876	record_nn
fic_1995_39281.txt-144-16	news_2005_607677.txt-38-5	st189492	1.0	 	2023-12-06 23:43:30.83	record_nn
mag_1984_432205.txt-64-8	news_2005_607677.txt-38-5	st189492	4.0	 	2023-12-06 23:43:37.313	record_nn
mag_2002_421280.txt-35-1	news_2005_607677.txt-38-5	st189492	1.0	 	2023-12-06 23:43:40.527	record_nn
mag_2004_415362.txt-103-15	news_2005_607677.txt-38-5	st189492	1.0	 	2023-12-06 23:43:44.459	record_nn
mag_1845_555338.txt-132-5	nf_1992_773879.txt-884-9	st189492	1.0	 	2023-12-06 23:43:54.911	record_nn
mag_1845_555338.txt-132-5	news_2005_607677.txt-38-5	st189492	3.0	 	2023-12-06 23:44:19.861	record_nn
mag_1981_127085.txt-95-12	news_2005_607677.txt-38-5	st189492	3.0	 	2023-12-06 23:44:28.571	record_nn
mag_1845_555338.txt-132-5	mag_2006_398617.txt-90-13	st189492	3.0	 	2023-12-06 23:44:36.17	record_nn
mag_1845_555338.txt-132-5	mag_1962_311690.txt-9-8	st189492	4.0	 	2023-12-06 23:44:52.862	record_nn
mag_1998_399430.txt-31-10	news_2005_607677.txt-38-5	st189492	4.0	 	2023-12-06 23:45:00.503	record_nn
