lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Unentschlossenheit	NN	1987	2	26120215_1987_08_27_01_094.tcf.xml-24-17	 	So glaubten die Berliner sich schon am Ziel aller Wünsche, als Seier in halbrechter Position eine Unentschlossenheit in der Jenaer Hintermannschaft zum Ausgleich nutzte.	98:116	0:169
Unentschlossenheit	NN	1984	2	26120215_1984_01_21_01_034.tcf.xml-8-1	 	Siles Unentschlossenheit und Abrücken vom Programm der „Demokratischen Volksunion (UDP) vor.	6:24	0:92
Unentschlossenheit	NN	1980	2	2532889X_1980-06-07_01_232.tcf.xml-16-17	 	All diese Konfliktkonstellationen kommen nicht zum Tragen, scheitern weniger an der Moral Wiebkes als an ihrer Unentschlossenheit.	111:129	0:130
Unentschlossenheit	NN	1962	2	2532889X_1962-08-30_01_153.tcf.xml-3-21	 	Bis dahin gab es zwar leichte ' Feldvorteile der Hallenser, doch konnte der völlig neu formierte Sturm auf Grund seiner Unentschlossenheit und der stabilen Deckung der Berliner wenig Wirkung erzielen.	120:138	0:200
Unentschlossenheit	NN	1953	2	2532889X_1953-11-27_01_147.tcf.xml-7-8	 	Englands ununterbrochener Heimrekord schwand in einer Woge von Unentschlossenheit gegen die beste Fußballmannschaft dahin, die bisher unser Land besuchte.\"	63:81	0:155
Unentschlossenheit	NN	1812	1	goethe_leben02_1812-2326-36	 	— Sie wundern sich vielleicht, sagte er, daß Sie mich in einem reichen Dorfe und bey einer einträglichen Stelle so schlecht quartiert finden; das kommt aber, fuhr er fort, von der Unentschlossenheit.	180:198	0:199
Unentschlossenheit	NN	1879	1	treitschke_geschichte01_1879-1962-3	 	Er hat aus Unentschlossenheit Vieles unterlassen, wozu sein gerader Verstand ihn drängte, aber nie etwas gethan, was nicht aus eigener wohlerwogener Ueberzeugung kam.	11:29	0:166
Unentschlossenheit	NN	1834	1	clausewitz_krieg03_1834-2228-26	 	Ein Gefühl der Ängstlichkeit, was überhaupt den Menschen bei der Ausführung großer Dinge leicht antritt, bemächtigt sich dann unserer und von dieser Ängstlichkeit zur Unentschlossenheit, von dieser zu halben Maaßregeln ist ein kleiner unmerklicher Schritt.	167:185	0:256
Unentschlossenheit	NN	1963	2	26120215_1963_11_17_01_461.tcf.xml-27-0	 	Unentschlossenheit, Weltfremdheit und der Kinderglaube, daß Schreckliches nicht geschehen könne, weil es nicht geschehen darf, lähmten ihren Willen.	0:18	0:148
Unentschlossenheit	NN	1984	2	26120215_1984_04_02_01_178.tcf.xml-15-16	 	Das nutzte Hansa mit kämpferischer Steigerung noch zum Sieg, wobei Rillich (2:1) die Unentschlossenheit Grapenthins nutzte.	85:103	0:123
Unentschlossenheit	NN	1898	1	bismarck_erinnerungen01_1898-2958-12	 	Der Fehler in Situationen der Art hat gewöhnlich in der Ziellosigkeit und Unentschlossenheit gelegen, womit an die Benutzung und Ausbeutung herangetreten wurde.	74:92	0:160
Unentschlossenheit	NN	1964	2	2532889X_1964-08-20_01_159.tcf.xml-59-1	 	Seine Unentschlossenheit führt ihn zum Verrat an seiner Liebe und zur Lüge vor der Partei.	6:24	0:90
Unentschlossenheit	NN	1883	1	beyer_poetik02_1883-10739-7	 	So erklärt sich das Zaudern, die Unentschlossenheit dieses Schlachtenfürsten.	33:51	0:77
Unentschlossenheit	NN	1965	2	2532889X_1965-09-02_01_144.tcf.xml-41-18	 	Wenn ich als Arbeitsbeispiel meinen deutschen Sprachbereich wähle, so finde Ich, daß im 'westlichen Staat meine Unentschlossenheit, meine Zweifel nicht nur akzeptiert, sondern auch gutgeheißen werden.	112:130	0:200
Unentschlossenheit	NN	1834	1	clausewitz_krieg03_1834-1126-35	 	Alle diese preislichen Zwecke mögen den Angriffskrieg bequemer machen, aber sie machen ihn nicht in seinen Folgen sicherer, und sind meistens nur Scheinbenennungen für gewisse Gegengewichte im Gemüthe des Feldherrn oder in der Unentschlossenheit des Kabinets.	227:245	0:259
Unentschlossenheit	NN	1953	2	26120215_1953_05_06_01_160.tcf.xml-3-7	 	Ajax verstund es durch schlechte Konzentration und Unentschlossenheit seiner Stürmer nicht, die Gunst der Stunde zu nutzen.	51:69	0:123
