lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
grain_nn	nn1	1970	2	nf_1970_774162.txt-3160-9	 	In order to avoid having to haul sheaves of grain all the way to the farmstead, and then having to cart the manure back to the fields, the farmer built a field barn at the back end of the farm.	44:49	0:193
grain_nn	nn1	1824	1	mag_1824_553512.txt-160-36	 	I may be allowed, however, to say that the cotton gin has been of more profit to the United States, than ten times all they ever received by internal taxation; that our grain mill	169:174	0:179
grain_nn	nn1	1855	1	nf_1855_748479.txt-565-27	 	Whether with a view of guarding against the escape of its secrets, I know not, but it is a fact, the every leaf and grain of the produce of this plantation, and those of the neighboring farms belonging to Col. Lloyd, are transported to Baltimore in Col. Lloyd's own vessels; every man and boy on board of which -- except the captain -- are owned by him.	116:121	0:353
grain_nn	nn1	1975	2	mag_1975_290548.txt-6-7	 	President Ford moved to regulate future U.S.-Russian grain deals.	53:58	0:65
grain_nn	nn1	1983	2	mag_1983_325599.txt-5-34	 	Called payment in kind (PIK), the program aims to invigorate the wilted farm economy by reducing bin-busting surpluses, driving up depressed prices, cutting Government costs for farm subsidies and grain storage, and saving farmers production expenses.	197:202	0:251
grain_nn	nn2	1973	2	mag_1973_283682.txt-19-16	 	Food was plentiful in the lush valley, allowing them to feast on nuts and wild grains, ducks, mollusks and fish.	79:85	0:112
grain_nn	nn2	1853	1	nf_1853_747976.txt-1131-15	 	It is of a granular structure, that is, con * sisting of separate grains of different substances, united, apparently,	66:72	0:117
grain_nn	nn2	1972	2	mag_1972_251389.txt-5-41	 	When an earthquake and tidal wave struck, washing away St. Cyprian's connection with the mainland, its people simply supposed that God had emptied the rest of the world, forgetting the survivors on St. Cyprian like so many grains of salt in an empty bag.	223:229	0:254
grain_nn	nn1	1972	2	news_1972_730447.txt-0-12	 	@@730447 txt Congress has begun to probe alleged profiteering in the U.S.-Soviet grain deal, as prospects widen for vastly increased trade between the two world giants.	81:86	0:168
grain_nn	nn1	1981	2	fic_1981_10681.txt-372-14	 	Handsome, brown-skinned young women, naked from the waist up, working at grain mortars and kettles and looms in the pleasant shade alongside the road, paused and stood up to watch these white men ride in.	73:78	0:204
grain_nn	nn1	1979	2	mag_1979_318026.txt-8-3	 	As a Persian grain trader says, \" We are earning $24 billion a year from oil.	13:18	0:77
grain_nn	nn1	1852	1	nf_1852_748165.txt-261-19	 	Improved agricultural utensils, a better knowledge of the nature of soils, and of the different kinds of grain and edible vegetables, and of manures have added considerably to the quantity of product.	105:110	0:200
grain_nn	nn1	1995	2	news_1995_641075.txt-111-9	 	Hemming washed the embryos, each smaller than a grain of sand, into a square, half-inch-deep clear plastic petri dish with grid markings etched on the bottom.	48:53	0:158
