identifier1	identifier2	annotator	judgment	comment	lemma
bib15650814_18951002_146365_230_0002_alto.xml-153-27	bib19227462_18950108_147640_6_0003_alto.xml-184-28	katarinalbrekt	2	 	granskare
bib13506739_18291026_144030_248_0004_alto.xml-20-2	bib11653828_18241105_144028_258_0001_alto.xml-0-10	katarinalbrekt	2	 	granskare
bib11653790_18970105_145648_1_0005_alto.xml-23-23	bib19223423_18141012_145063_81_0002_alto.xml-1-0	katarinalbrekt	3	 	granskare
bib11653828_17910304_144028_52_0002_alto.xml-5-32	bib19225758_18950111_144022_9_0003_alto.xml-156-3	katarinalbrekt	4	 	granskare
bib11653828_18281029_144028_248_0002_alto.xml-6-18	bib13506739_18250606_144030_127_0005_alto.xml-3-41	katarinalbrekt	2	 	granskare
bib19223423_18220206_145063_11_0003_alto.xml-4-21	bib11653828_18281111_144028_259_0001_alto.xml-0-2	katarinalbrekt	2	 	granskare
bib15975090_18960606_148377_70_0003_alto.xml-64-5	bib11653811_19001121_145317_181_0004_alto.xml-32-10	katarinalbrekt	3	 	granskare
bib13506739_18250606_144030_127_0006_alto.xml-9-26	bib19277330_18951003_0_117_0002_alto.xml-87-15	katarinalbrekt	2	 	granskare
bib11653828_18241105_144028_258_0002_alto.xml-7-29	bib19227462_18950116_147640_13_0003_alto.xml-24-64	Magdalena	0	 	granskare
bib19227462_18951102_147640_256_0005_alto.xml-64-7	bib11653828_18241103_144028_256_0004_alto.xml-5-16	Magdalena	0	 	granskare
bib19277346_18110907_147394_36_0002_alto.xml-1-0	bib15650837_18950620_146391_141_0004_alto.xml-5-6	Magdalena	0	 	granskare
bib11653828_17920319_144028_66_0003_alto.xml-21-9	bib19225758_18950129_144022_24_0001_alto.xml-19-9	Magdalena	0	 	granskare
bib11653828_18150626_144028_144_0002_alto.xml-3-43	bib15978012_18950220_148361_43_0002_alto.xml-122-2	Magdalena	4	 	granskare
bib11653790_18981118_145648_89_0005_alto.xml-46-27	bib13506739_18250723_144030_167_0005_alto.xml-23-5	Magdalena	0	 	granskare
bib11653828_17910412_144028_84_0002_alto.xml-1-47	bib13506739_18300405_144030_78_0001_alto.xml-2-25	Magdalena	3	 	granskare
bib15975087_18951221_145596_198_0003_alto.xml-126-1	bib19225758_18951223_144022_299_0006_alto.xml-58-28	Magdalena	3	 	granskare
bib19277346_18100714_147394_26_0001_alto.xml-3-20	bib13506739_18290522_144030_117_0001_alto.xml-19-13	Magdalena	3	 	granskare
bib19227462_18951102_147640_256_0005_alto.xml-64-7	bib11653828_17910412_144028_84_0002_alto.xml-1-47	Magdalena	3	 	granskare
bib11653830_18981222_146968_100_0002_alto.xml-89-20	bib19520388_18100711_147487_28_0005_alto.xml-0-23	Magdalena	3	 	granskare
bib15650814_18951003_146365_231_0003_alto.xml-21-15	bib19277277_18950228_147683_58_0005_alto.xml-125-2	Magdalena	2	 	granskare
bib13506739_18240918_144030_217_0005_alto.xml-2-2	bib15978012_18950923_148361_221_0003_alto.xml-2-24	Magdalena	3	 	granskare
bib11653828_18281229_144028_298_0002_alto.xml-7-40	bib13506739_18291026_144030_248_0004_alto.xml-20-2	Magdalena	0	 	granskare
bib15873936_18960910_147385_105_0002_alto.xml-168-10	bib11653828_18241103_144028_256_0004_alto.xml-5-16	katarinalbrekt	2	 	granskare
bib13506739_18240113_144030_9_0004_alto.xml-11-30	bib15650837_18951203_146391_282_0002_alto.xml-142-10	katarinalbrekt	2	 	granskare
bib13506739_18290520_144030_115_0004_alto.xml-29-5	bib19227462_18950116_147640_13_0003_alto.xml-24-64	katarinalbrekt	2	 	granskare
bib11653830_18950104_146968_2_0003_alto.xml-56-11	bib11653830_18981222_146968_100_0002_alto.xml-89-20	katarinalbrekt	2	 	granskare
bib11653828_18281114_144028_262_0003_alto.xml-10-50	bib19520388_18120617_147487_25_0002_alto.xml-4-14	katarinalbrekt	0	 	granskare
bib11653806_18101117_145120_133_0005_alto.xml-11-16	bib11653838_19020110_147024_2_0002_alto.xml-99-20	katarinalbrekt	2	 	granskare
bib11653838_19010913_147024_37_0003_alto.xml-177-9	bib19277277_18240916_147682_215_0002_alto.xml-9-1	katarinalbrekt	4	 	granskare
bib11653811_19000420_145317_59_0003_alto.xml-85-2	bib11653828_18230621_144028_141_0002_alto.xml-10-36	katarinalbrekt	3	 	granskare
bib19227291_18950115_145289_6_0002_alto.xml-74-3	bib19227462_18950116_147640_13_0003_alto.xml-26-36	katarinalbrekt	3	 	granskare
bib19277349_18950207_147403_18_0002_alto.xml-71-4	bib19225758_18950129_144022_24_0001_alto.xml-19-9	Magdalena	3	 	granskare
bib13506739_18250606_144030_127_0006_alto.xml-9-26	bib19520388_18120617_147487_25_0002_alto.xml-7-14	katarinalbrekt	2	 	granskare
bib15873371_18951126_145112_323_0002_alto.xml-27-10	bib19520388_18120610_147487_24_0006_alto.xml-10-18	katarinalbrekt	3	 	granskare
bib13506739_18291026_144030_248_0004_alto.xml-20-2	bib11653828_18210323_144028_69_0005_alto.xml-11-2	katarinalbrekt	2	 	granskare
bib15978012_18950205_148361_30_0002_alto.xml-59-1	bib13506739_18231224_144030_298_0003_alto.xml-1-2	katarinalbrekt	2	 	granskare
bib15650837_18951203_146391_282_0002_alto.xml-142-10	bib19225758_18951106_144022_259_0002_alto.xml-249-24	katarinalbrekt	4	 	granskare
bib15650814_18951003_146365_231_0003_alto.xml-21-15	bib11653828_18281229_144028_298_0002_alto.xml-3-87	Magdalena	0	 	granskare
bib11653828_18260710_144028_156_0004_alto.xml-1-34	bib11653828_18281104_144028_253_0002_alto.xml-9-88	Magdalena	0	 	granskare
bib11653828_18230708_144028_154_0004_alto.xml-2-19	bib15873371_18951025_145112_291_0003_alto.xml-73-6	Magdalena	0	 	granskare
bib15761570_18951214_146176_207_0003_alto.xml-197-35	bib19277277_18950228_147683_58_0005_alto.xml-79-37	Magdalena	2	 	granskare
bib11653830_18950109_146968_4_0001_alto.xml-70-5	bib11653828_18281103_144028_252_0001_alto.xml-7-1	Magdalena	0	 	granskare
bib11653828_18281229_144028_298_0002_alto.xml-3-87	bib11653828_18180619_144028_138_0003_alto.xml-2-13	Magdalena	0	 	granskare
bib11653790_18970105_145648_1_0005_alto.xml-23-23	bib11653811_19010329_145317_49_0003_alto.xml-158-36	Magdalena	2	 	granskare
bib11653828_18210323_144028_69_0005_alto.xml-11-2	bib11653828_18180619_144028_138_0003_alto.xml-2-13	Magdalena	0	 	granskare
bib15978012_18950923_148361_221_0003_alto.xml-2-24	bib19223423_18141012_145063_81_0002_alto.xml-1-0	Magdalena	3	 	granskare
bib19227462_18950116_147640_13_0003_alto.xml-26-36	bib19223423_18270314_145063_21_0001_alto.xml-4-36	Magdalena	0	 	granskare
bib19277277_18950421_147683_107_0002_alto.xml-158-8	bib11653828_18010122_144028_17_0002_alto.xml-0-66	Magdalena	4	 	granskare
bib19225758_18950129_144022_24_0001_alto.xml-19-9	bib19223423_18141012_145063_81_0002_alto.xml-1-0	Magdalena	2	 	granskare
