lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
wuchernd	ADJ	1850	1	wuchernd-c1-i18	 	Ebenso bedeckt sich die Schnitt-oder Bruchfläche eines Astes, selbst vieler saftiger Stengel mit wucherndem Callusgewebe, in dem sogar neue Vegetationspunkte von Sprossen und Wurzeln entstehen können, so dass der Callus zum Ausgangspunkt neuer Pflanzen-Individuen wird.	97:107	0:269
wuchernd	ADJ	1850	1	wuchernd-c1-i86	 	Später verbindet sich dieselbe fester mit dem inneren Theile der wuchernden bindegewebigen Hülle, während der äussere Theil derselben als inneres Perichondrium des knorpeligen Labyrinthes erscheint und zuletzt endlich bildet sich zwischen diesen beiden Blättern der bindegewebigen Hülle ein Zwischenraum, der mit dem Labyrinthwasser sich füllt, so dass dann das spätere häutige Labyrinth wie frei in einem Raume enthalten ist, der der Lücke zwischen Dura und Pia mater verglichen werden kann.	65:75	0:492
wuchernd	ADJ	1968	2	wuchernd-c2-i18	 	Er stellte diese Behauptung angesichts der 15 Jahre nach Kriegsende immer noch stationierten ausländischen Besatzungstruppen, des wuchernden Agentenunwesens und der mit Blutrichtern durchsetzten Justiz des mit SS-Führern aufgefüllten Polizeiapparates und der vielen Nazis im Schulwesen auf.	130:140	0:290
wuchernd	ADJ	1850	1	wuchernd-c1-i79	 	Indessen dünkt uns, daß in diesem Kunstgebiete es immer schwerer wird, einen wirklich freien Standpunkt und einen großartigen Ueberblick zu fassen, jemehr die technischen Kenntnisse sich vervielfachen, und in Verbindung mit mancherlei der Musik an sich ganz fremden, aber im Zeitgeiste wuchernden einseitigen Vorstellungen sich für die wahre Kunstansicht ausgeben.	286:296	0:364
wuchernd	ADJ	1850	1	wuchernd-c1-i84	 	Diese mähende Sichel schneidet die wuchernden Kräuter, Und sie fördert das süsse Werk des Baumbeschneiders.	35:45	0:107
wuchernd	ADJ	1850	1	wuchernd-c1-i37	 	Diese wuchernde Fortbildung ist nicht selten während der Schwangerschaft auch an den äußern Schamtheilen bemerkbar, wie ich denn z. B. die Nymphen zuweilen auf 3 bis 4 Zoll lang bei Schwangern gefunden habe.	6:15	0:207
wuchernd	ADJ	1850	1	wuchernd-c1-i68	 	In dieser Stellung oder Lage hielten die beiden Bocke ihre Besserungsreden, wenn sie nicht fraßen, der Eine die Feigen des Baumes, der Andere das junge Laubgesproß, welches an der Felsritze gerade in der wucherndsten und saftigsten Fülle wuchs.	204:216	0:244
wuchernd	ADJ	1850	1	wuchernd-c1-i46	 	Man begreift das Vergnügen, wenn innerhalb des Kreditwesens alle diese potentiellen Kapitale durch ihre Koncentration in Händen von Banken u. s. w. zu disponiblem Kapital, „loanable capital“, Geldkapital werden, und zwar nicht mehr zu passivem und als Zukunftsmusik, sondern zu aktivem, wucherndem (hier wuchern im Sinn des Wachsens).	304:311	0:334
wuchernd	ADJ	1850	1	wuchernd-c1-i70	 	Deshalb haben die Rhetoriker die ganze wuchernde Flora von Figuren klassificirt, den Bildern dagegen nur eine geringe Aufmerksamkeit zugewendet.	39:48	0:144
wuchernd	ADJ	1968	2	wuchernd-c2-i43	 	Die westdeutsche Regierung trug zum Treibhausklima für den wuchernden Neonazismus auch dadurch bei, daß sie es ganz bewußt unterließ, sowohl das auch völkerrechtlich normierte — Verbrechen der Kriegspropaganda als auch das der Völker-und Rassenhetze für strafwürdig zu erklären, obwohl dies Artikel 26 des Bonner Grundgesetzes zwingend vorschreibt.	59:69	0:348
wuchernd	ADJ	1968	2	wuchernd-c2-i14	 	Wasserfontänen gelangten bis in die Stratosphäre, und todbringende Ascheregen erreichten unter anderem die 160 Kilometer entfernte Insel Rongelap, wo schon kurze Zeit danach mehrere Bewohner an wuchernden Hauterkrankungen elend zugrunde gingen.	194:204	0:244
wuchernd	ADJ	1968	2	wuchernd-c2-i12	 	Rauschende Bilderflut, wuchernde Metaphern ersticken den Gedanken, der präzise zu bestimmen und plastisch herauszuarbeiten ist.	23:32	0:127
wuchernd	ADJ	1850	1	wuchernd-c1-i60	 	Diese aus der wuchernden Vermehrung der Periostkörperchen hervorgegangenen Elemente geben die Knochenkörperchen genau in derselben Weise, wie ich es beim Marke beschrieben habe.	14:24	0:177
wuchernd	ADJ	1850	1	wuchernd-c1-i58	 	Diese kalkarmen Bäche, in welchen Unio margaritifer lebt und wächst, so schildert von Heßling, rieseln ruhigen, doch nicht schläfrigen Ganges über blumenreiche Wiesenauen, bald zwischen üppig grünenden Halden oder am Saume schattiger Wälder, bald zwischen fruchtbaren Hügeln und Vergen, welchen frische muntere Wasser entquellen; sie sind umfriedet von üppig wuchernden Erlen und Weiden, umflattert von neckischen Libellen und belebt von klappernden Mühlen; aber sie stürzen auch in pfeilschneller Eile durch enge, schluchtenartige Thäler, zwischen steilen, melancholisch beschatteten, felsigen Wänden, über steinigen, unterwühlten Grund, aus welchem riesige Granitblöcke mächtig ihr ehrwürdiges Haupt erheben.	359:369	0:710
wuchernd	ADJ	1850	1	wuchernd-c1-i59	 	Sie besitzen theils das ideale Schema nicht vollständig, theils haben sie die Bedeutung einzelner Kategorien getrübt, theils haben sie ganz eigenthümliche, weder der Logik angehörige, noch dem Wesen der Sprache nothwendige Kategorien geschaffen und nicht nur mit letztern den Mangel des Schemas ersetzt, sondern sogar dieselben in wuchernder Ueppigkeit entwickelt.	331:341	0:364
wuchernd	ADJ	1968	2	wuchernd-c2-i40	 	Rechnung im Zusammenhang mit der wuchernden Grundstücksspekulation auf 230 Millione.n..B£und.	33:43	0:93
wuchernd	ADJ	1968	2	wuchernd-c2-i35	 	Was uns da abends die Fenster schließen läßt, ist meist die Frucht üppig wuchernder Kräutlein, denen wir zu selten ans Wurzelwerk gehen:	73:83	0:136
wuchernd	ADJ	1968	2	wuchernd-c2-i36	 	Wie ein wucherndes Unkraut schießt dal Wörtlein „unabdingbar\" aus den Zeitungsspalten hervor.	8:18	0:93
wuchernd	ADJ	1968	2	wuchernd-c2-i32	 	Tag für Tag und Jahr für Jahr lagert die Donau in diesem riesigen Gebiet die Nährstoffe ab, Jahr für Jahr sterben gewaltige Massen des Rohres und des Schilfes ab, sinken zu Boden, verfaulen und geben neue Nährstoffe für die üppig wuchernde Pflanzenwelt: ein ewiger Prozeß des Sterbens und des Werdens.	230:239	0:301
wuchernd	ADJ	1968	2	wuchernd-c2-i24	 	Er mit gebeugtem Kopf hinterher, weil die üppig wuchernden Fliederzweige sich fast über dem kiesbestreuten Weg verflochten.	48:58	0:123
wuchernd	ADJ	1968	2	wuchernd-c2-i4	 	Ich werde nicht, ein flüchtiger Reisender, der ich auf dieses Land gleichsam nur den Fuß gesetzt habe, um vor der riesenhaft wuchernden Fülle der organischen Natur auf ihm zu erschrecken, mir anmaßen, irgend etwas Belehrendes über Brasilien sagen zu wollen.	125:135	0:257
wuchernd	ADJ	1968	2	wuchernd-c2-i34	 	Charakteristisch sind das Entstehen eines militärisch-industriellen Komplexes, eine krebsartig wuchernde Rüstungswirtschaft sowie ein nie gekannter Grad der Verschmelzung zwischen den Monopolen und dem Staat.	95:104	0:208
wuchernd	ADJ	1850	1	wuchernd-c1-i91	 	Findet gleichzeitig eine wuchernde Epithelbildung an der Oberfläche statt, so werden auch die durch das Transsudat losgelösten Bestandtheile nur wucherndes Epithel darstellen.	25:34	0:175
wuchernd	ADJ	1968	2	wuchernd-c2-i29	 	Da ist viel Spürsinn, für die eigenartige Schönheit der wuchernden Phantasie dieser Figuren wie für deren geschwätziges Schwelgen in plastisch-drastischen Bildern — herausgefordert zudem durch die glänzende Übersetzung von Anna Elisabeth Wiede und Peter Hacks.	56:66	0:260
wuchernd	ADJ	1850	1	wuchernd-c1-i82	 	Am meisten sind es überzählige, wuchernde Theile (monstra per excessum S. 22.); doppelte an einander gewachsene Stämme, doppelte oder vielfache Früchte rc. vielfache Kornähren, Rosen, aus deren Mitte andere kleine Rosen hervor schießen u. s. w.	32:41	0:244
wuchernd	ADJ	1968	2	wuchernd-c2-i45	 	Das betraf also sowohl den. in Stimmartistik erstarrten und gespreizten Ziergesang, gegen den Gluck seine schlichten und klaren, durch Tiefe und Wärme der Empfindungen ausgezeichneten Melodielinien stellte, also auch das in der italienischen Oper jener Zeit übel wuchernde Gestrüpp bedeutungsloser Nebenhandlungen, die den Sinn des Ganzen verdunkeln, die Folgerichtigkeit nur zerstören, wogegen Gluck sein aus dem Geiste klassischer Humanität geborenes Operndrama setzte, das von echt tragischen Konstellationen getragen wird und in dem das antike Ideal des Ebenmaßes aufs neue inthronisiert ist.	263:272	0:596
wuchernd	ADJ	1968	2	wuchernd-c2-i15	 	Hier gibt es kaum noch Steinhäuser, nur einfache Holzhütten, die unter der seit fast vier Jahren wild wuchernden tropischen Vegetation kaum noch erkennbar sind.	102:112	0:160
wuchernd	ADJ	1850	1	wuchernd-c1-i55	 	Auf diesen Mauern und aus den Spalten derselben quellen in dichter Fülle der saftige weißblühende Mauerpfeffer (Sedum album), seiner dicken körnerartigen Blätter halber auch „Steinweizen“ genannt, — und daneben sein Zunft-Kumpan, der blendend-goldgelb-blühende scharfe Mauerpfeffer (Sedum acre), ein fröhlich wucherndes fettes Felsenpflänzchen mit tropischem Habitus.	309:319	0:367
wuchernd	ADJ	1968	2	wuchernd-c2-i1	 	Und dem Innenminister wird angekreidet, der wuchernden Kriminalität nicht Herr zu werden.	44:54	0:89
wuchernd	ADJ	1850	1	wuchernd-c1-i3	 	Am meisten sind es überzählige, wuchernde Theile (monstra perexcessum); doppelte an einander gewachsene Stämme, doppelte oder vielfache Früchte rc. vielfache Kornähren; Rosen, aus deren Mitte andere kleine Rosen hervorschießen u. s. w.	32:41	0:235
