lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
tree_nn	nn2	1997	2	fic_1997_42318.txt-0-28	 	@@4318 I was three, no more, when I spotted for the first time the paleness of his shirt moving like some small ghost against the darkening trees.	140:145	0:146
tree_nn	nn1	1979	2	fic_1979_780155.txt-3663-8	 	Stepping quickly behind the bole of a large tree, Bull waited in silence.	44:48	0:73
tree_nn	nn2	1848	1	mag_1848_555520.txt-129-53	 	Let any one, if he does not already know hy daily observation and can not see it the moment he looks, measure fifty trees, and he will hardly find one that does not taper; not regularly, indeed, because many accidents give irregular and highly picturesque forms to trees; but he will find the law of the natural growth of a tree to he, that from the time it leaves the ground it begins to taper, and tapers out to its extremities.	265:270	0:430
tree_nn	nn1	1844	1	nf_1844_762654.txt-2000-47	 	I tried to argue him out of this notion; but, unfortunately, could find no tree without these characters -- some high up, and some lower down in the trunk -- some large and others small -- but still to be found on every tree.	220:224	0:225
tree_nn	nn1	1858	1	nf_1858_747890.txt-1633-3	 	53 represents a tree, the lower part of which has ceased to grow, in consequence of over-fruiting.	16:20	0:98
tree_nn	nn2	1963	2	nf_1963_774222.txt-1849-38	 	The expert map reader, like the expert score reader, may be able to tell fairly exactly what sort of country he may expect to find, but he can not possibly experience the beauty of the trees, the intense emotion of a wonderful	185:190	0:226
tree_nn	nn2	1845	1	nf_1845_747928.txt-890-10	 	/z/ For practical purposes, the numerous insects infesting fruit trees may be divided into four classes; 1st, those which for a time harbour in the ground and may be attacked in the soil; 2d, winged and other species, which may be attacked among	65:70	0:245
tree_nn	nn2	1844	1	nf_1844_747892.txt-285-15	 	The new sorts ' are all budded on the French Eglantine, and form small trees, that require to be kept free from the suckers which push up from the roots, or the graft would be impoverished and die.	71:76	0:197
tree_nn	nn2	1993	2	fic_1993_25027.txt-2573-3	 	Where there were trees I slid from one to the other on the downhill side of them.	17:22	0:81
tree_nn	nn1	1982	2	nf_1982_774241.txt-290-5	 	The fruits of the forbidden tree are, of course, death.	28:32	0:55
tree_nn	nn1	1987	2	fic_1987_16030.txt-1901-11	 	SEEING: THE HUNTER, clinging to a side of a tree, flushed bright crimson.	44:48	0:73
tree_nn	nn2	1971	2	fic_1971_10537.txt-1750-14	 	My assurance had faltered halfway through the year, and by the time the trees in the tiny park were in dusty leaf I was certain it wasn't going to work.	72:77	0:152
tree_nn	nn1	1848	1	nf_1848_747893.txt-2604-12	 	Another runs thirty feet on scaffolding, and then ascends an aspen tree, spreading over its branches to the height of about forty feet; the tree full of grapes.	67:71	0:160
tree_nn	nn2	1985	2	fic_1985_10734.txt-13281-7	 	They'll have used up all the trees making their tons of wastepaper. \"	29:34	0:69
tree_nn	nn2	1834	1	nf_1834_747621.txt-729-73	 	If a landscape be drawn, and all finished with common colors, except the leaves of the trees, the grass and the sky, and the latter be finished with this sympathetic ink, and the two former with the adulterated solution just mentioned, the drawing will seem to be unfinished, and have a wintry appearance; but, upon being held to the fire, the grass and trees will become green, the sky blue, and the whole assume a rich and beautiful appearance.	354:359	0:446
tree_nn	nn1	2007	2	mag_2007_390031.txt-138-5	 	He sat propped against a tree, his legs splayed before him, telling his story: he was infected six years ago, while planting coffee near the river; the itching kept him from sleeping; that, in turn, kept him from working; one of his children took care of him; he could still see well enough to get around, but he worried that his eyesight would get worse. \"	25:29	0:357
tree_nn	nn2	1993	2	fic_1993_1040085.txt-3801-15	 	Shadows from the fire leaped and danced like pagan phantoms among the black trunks of trees.	86:91	0:92
tree_nn	nn1	1980	2	fic_1980_782023.txt-2096-18	 	I don't care if you shoot the damn thing upside down, sideways or hanging from a tree -- it's up to you to do it!	81:85	0:113
tree_nn	nn2	1848	1	fic_1848_7009.txt-3726-46	 	In a few minutes from the time they halted, they had finished their preparations for passing the night here; the horses were loosed to graze and rest themselves, a hasty, rude shelter made from green boughs, which they cut from the trees, was prepared for Coquese, and a bed of the same, arranged for her.	232:237	0:305
tree_nn	nn2	1850	1	nf_1850_747863.txt-1002-17	 	It is an excellent protection against mid-summer drouths, which so often prove destructive to newly transplanted trees, after they have appeared in leaf.	113:118	0:153
tree_nn	nn2	1858	1	mag_1858_566921.txt-158-3	 	At the Big Trees, we enter a dell, quietly lapped in the mountains, where the majestic vegetable minarets are crowded, as in sonme city of pilgrimage; there to look up, for the first time, in silent awe of the mere life principle.	11:16	0:230
tree_nn	nn1	1960	2	fic_1960_24500.txt-1125-15	 	SWITCHBOARD ROOM - DAY Perched on top of the switchboard is a small decorated Christmas tree, and the operators are dispensing holiday greetings to all callers.	88:92	0:160
tree_nn	nn1	1846	1	fic_1846_4462.txt-2507-79	 	house of Autronius upon the Quirinal, whither I sent thee to bid him to dinner the next day -- he shall confirm the tale -- when thou didst hear a cry of murder from the Plebeian graveyard on the Esquiline; and hurrying to the spot, didst see Arvina, with his freedman Thrasea bearing a torch, conceal a fresh bleeding body in a broken grave; and, hidden by the stem of a great tree thyself, didst hear him say, as he left the ground, ' That dog will tell no tales! '	378:382	0:467
tree_nn	nn1	1822	1	fic_1822_7243.txt-2784-30	 	Onward he toiled, sadly and doubtfully, frequently disturbed by some crackling above him, as the young panthers, snuffing his approach, leaped along from tree to tree, and rock to rock: and starting ever and anon, as if some creature of the upward element were at his elbow.	162:166	0:274
tree_nn	nn1	1851	1	nf_1851_747930.txt-4010-15	 	Mr. Emerson says of it: \" The American Holly is a handsome, low tree, with nearly horizontal branches, and thorny, evergreen leaves.	64:68	0:132
tree_nn	nn2	1962	2	fic_1962_23786.txt-2607-16	 	Still, it Look much longer than she hoped, and when she broke out of trees at last on the edge of the grove with the naked road on her left and Mr. Isaac's before her, she all but ran the hundred yards to the porch, and the pounding of her feet on dead earth flushed waves of screaming guineas into pecan limbs.	69:74	0:311
tree_nn	nn2	1846	1	fic_1846_7121.txt-989-51	 	Leaving his faithful dog to guard his herd in the pass, the young mountaineer left the spot where they were collected together, and going a few steps along a ledge in the cliff-side, he came upon an open space, about which grew several clumps of wild olive trees.	257:262	0:263
tree_nn	nn1	1860	1	fic_1860_615.txt-851-48	 	In other portions of the grounds the stone-pines lifted their dense clump of branches upon a slender length of stem, so high that they looked like green islands in the air, flinging down a shadow upon the turf so far off that you hardly knew which tree had made it.	248:252	0:265
tree_nn	nn2	1992	2	mag_1992_396817.txt-96-55	 	CMH clients undergo an extensive safety orientation, including the use of avalanche transceivers (to help pinpoint rescues should someone become buried), helicopter protocol, actual trial avalanche searches, and avoiding naturally occurring hazards like crevasses, cornices, and tree wells (deep pits that form at the base of trees when the snow accumulates on their branches).	326:331	0:377
tree_nn	nn1	1856	1	nf_1856_769051.txt-2612-27	 	He took a delicate piece from the small of the back, and was just on the point of putting it to his mouth, when a tree close by made a creaking noise.	114:118	0:150
tree_nn	nn2	1858	1	nf_1858_747890.txt-1017-11	 	The borders should be deeply tilled and rich, and the trees may be planted quite closely.	54:59	0:89
tree_nn	nn2	1977	2	mag_1977_490796.txt-116-13	 	There were no birds, but we kept an eye out for the trees, the rocks, and the rills.	52:57	0:84
tree_nn	nn1	1961	2	mag_1961_246105.txt-22-37	 	Churches go up in flames, men are set on fire in their castles, tiny firing squads claim victim after victim, a man is broken on a wheel, 21 corpses hang from a single tree.	168:172	0:173
tree_nn	nn2	1987	2	fic_1987_10756.txt-5694-8	 	terrain changed immediately, from the green and trees of the other side to red rock, sand, and low scrub.	48:53	0:105
tree_nn	nn2	2001	2	mag_2001_417542.txt-58-33	 	A growing number of businesses now manufacture furniture made from plantation woods-even rare tropical varieties like teak and mahogany-that aren't from forests but from well-managed farms with the sole purpose of raising trees for lumber.	222:227	0:239
tree_nn	nn2	2000	2	mag_2000_369093.txt-6-26	 	Some of the sequoias Clinton preserved in the 328,000-acre monument are only the third generation since the last Ice Age, part of a family of trees that has endured fires, earthquakes, storms and every change of political leadership since human history began. \"	142:147	0:261
tree_nn	nn2	1836	1	fic_1836_7040.txt-2834-40	 	It sounded like the voice of Paralus in his youth, when we used to sing together, to please my grandfather, as he sat by the side of that little sheltered brook, over whose bright waters the trees embrace each other in silent love.	191:196	0:231
