lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Naturschönheit	NN	1988	2	26120215_1988_04_21_01_285.tcf.xml-1-2	 	Zu den Naturschönheiten der Erde cehSrt fraglos der Baikal-See Im fernen Sibirien.	7:23	0:82
Naturschönheit	NN	1960	2	26120215_1960_01_17_01_086.tcf.xml-3-2	 	All diese Naturschönheiten und Gebilde werden uns durch optische Instrumente von erstaunlicher Präzision und Leistungsfähigkeit vermittelt.	10:26	0:139
Naturschönheit	NN	1869	1	michelis_reiseschule_1869-2397-64	 	Was er der Art findet, schreibt er aus, ordnet und gruppirt die Bruchstücke nach seinem Sinne, nimmt die ganze Collection mit auf jede seiner Reisen und versichert, daß alle Naturscenen, welche die Wirklichkeit ihm vorführt, ihn an diesen oder jenen Theil seiner Sammlung, und umgekehrt jeder Theil derselben, den er zu Hause liest, an genossene Naturschönheiten in der anregendsten Weise erinnere.	346:362	0:398
Naturschönheit	NN	1859	1	humboldt_aequinoktial02_1859-2692-2	 	Wenn man Naturschönheiten recht lebhaft empfindet, so mag man Landschaften von verschiedenem Charakter gar nicht vergleichen; man würde fürchten, sich selbst im Genuß zu stören.	9:25	0:177
Naturschönheit	NN	1988	2	26120215_1988_06_18_01_027.tcf.xml-3-12	 	000 Einwohner des Chemiebezirkes leben im Landschaftschutzgebiet Saaletal, das mit reizvollen Naturschönheiten, zahlreichen Burgen, Schlössern und Museen ein beliebtes Erholungsgebiet ist.	94:110	0:188
Naturschönheit	NN	1850	1	pfeiffer_frauenfahrt02_1850-875-4	 	Doch gab es der Naturschönheiten so viele, daß diese zeitweisen Beschwerden leicht zu ertragen waren, ja sogar den Reiz des Ganzen noch hoben.	16:32	0:142
Naturschönheit	NN	1882	1	beyer_poetik01_1882-3568-5	 	Desgleichen Herder, der die Naturschönheit betonte, und Goethe, der die Kunstschönheit obenan setzte.	28:42	0:101
Naturschönheit	NN	1990	2	26120215_1990_09_12_01_486.tcf.xml-7-6	 	Besucher finden hier die Ruhe und Naturschönheit eines kleinen botanischen Gartens, der rund ein Drittel der Grünen Scheune bewächst.	34:48	0:133
Naturschönheit	NN	1963	2	2532889X_1963-10-23_01_115.tcf.xml-46-6	 	Land, das so reich an Naturschönheiten ist mit nach Moskau.	22:38	0:59
Naturschönheit	NN	1975	2	26120215_1975_02_25_01_161.tcf.xml-3-8	 	Bei frühlingshaftem Wetter genießen sie auf Wanderungen die Naturschönheiten des Thüringer Waldes oder des Südharzes.	60:76	0:117
Naturschönheit	NN	1846	1	vischer_aesthetik01_1846-537-13	 	Dabei fällt der erste Abschnitt des zweiten Theils, die Lehre von der Naturschönheit, sogleich weg.	70:84	0:99
Naturschönheit	NN	1847	1	vischer_aesthetik0201_1847-3014-11	 	Diese Studien bilden den Erfahrungsstoff für die mimische Kunst; die Naturschönheit gibt auch hier die Vorlage, die vorausgehen muß, Niemand kann und darf die Kunst der Mimik abstract aus der Phantasie spinnen.	69:83	0:210
