identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
nf_1849_748137.txt-1459-7	news_1987_670537.txt-1-10	st189492	4.0	 	2023-12-07 00:04:46.956	prop_nn
news_1994_620111.txt-57-24	news_1987_670537.txt-1-10	st189492	1.0	 	2023-12-07 00:04:52.247	prop_nn
nf_1849_748137.txt-1459-7	nf_1834_747938.txt-225-8	st189492	3.0	 	2023-12-07 00:05:01.686	prop_nn
nf_1849_748137.txt-1459-7	news_1994_606785.txt-34-3	st189492	1.0	 	2023-12-07 00:05:08.674	prop_nn
mag_1856_566737.txt-82-13	mag_1976_431910.txt-11-2	st189492	0.0	 	2023-12-07 00:05:23.035	prop_nn
mag_1856_566737.txt-82-13	news_1994_606785.txt-34-3	st189492	0.0	 	2023-12-07 00:05:31.844	prop_nn
fic_1966_12053.txt-74-2	news_1987_670537.txt-1-10	st189492	0.0	verb	2023-12-07 00:05:44.592	prop_nn
mag_1822_553387.txt-139-18	nf_1847_750187.txt-260-49	st189492	0.0	A lot of these sentenes seem inappropriatly cut	2023-12-07 00:06:51.258	prop_nn
mag_1856_566737.txt-82-13	mag_1845_565423.txt-235-23	st189492	0.0	 	2023-12-07 00:07:18.329	prop_nn
mag_1856_566737.txt-82-13	nf_1847_750187.txt-260-49	st189492	0.0	 	2023-12-07 00:07:21.051	prop_nn
nf_1847_750187.txt-260-49	fic_1992_53585.txt-1005-19	st189492	3.0	 	2023-12-07 00:07:36.223	prop_nn
mag_1845_565423.txt-235-23	nf_1849_748137.txt-1459-7	st189492	0.0	 	2023-12-07 00:07:45.216	prop_nn
nf_1849_748137.txt-1459-7	fic_1854_8328.txt-4254-6	st189492	2.0	 	2023-12-07 00:07:56.409	prop_nn
nf_1834_747938.txt-225-8	news_1987_670537.txt-1-10	st189492	3.0	 	2023-12-07 00:08:03.583	prop_nn
nf_1849_748137.txt-1459-7	fic_1965_780079.txt-2652-12	st189492	4.0	 	2023-12-07 00:08:09.274	prop_nn
mag_1856_566737.txt-82-13	nf_1827_748059.txt-434-1	st189492	0.0	 	2023-12-07 00:10:19.985	prop_nn
mag_1856_566737.txt-82-13	nf_2005_747067.txt-148-23	st189492	0.0	 	2023-12-07 00:10:23.674	prop_nn
mag_1994_409550.txt-97-12	news_1987_670537.txt-1-10	st189492	1.0	 	2023-12-07 00:10:39.97	prop_nn
nf_1849_748137.txt-1459-7	nf_1847_750187.txt-260-49	st189492	3.0	 	2023-12-07 00:11:16.055	prop_nn
nf_1849_748137.txt-1459-7	news_1994_620111.txt-57-24	st189492	1.0	 	2023-12-07 00:11:21.492	prop_nn
nf_1834_747938.txt-225-8	mag_2003_416114.txt-82-0	st189492	1.0	 	2023-12-07 00:11:38.271	prop_nn
nf_1849_748137.txt-1459-7	mag_2003_416114.txt-82-0	st189492	1.0	 	2023-12-07 00:12:24.24	prop_nn
mag_1856_566737.txt-82-13	fic_1854_8328.txt-4254-6	st189492	0.0	 	2023-12-07 00:12:47.074	prop_nn
mag_1856_566737.txt-82-13	nf_1834_747938.txt-225-8	st189492	0.0	 	2023-12-07 00:12:49.662	prop_nn
mag_1856_566737.txt-82-13	news_1994_620111.txt-57-24	st189492	0.0	 	2023-12-07 00:13:00.818	prop_nn
news_1987_670537.txt-1-10	news_1994_606785.txt-34-3	st189492	1.0	 	2023-12-07 00:13:06.53	prop_nn
nf_1847_750187.txt-260-49	nf_1834_747938.txt-225-8	st189492	2.0	 	2023-12-07 00:13:13.787	prop_nn
nf_1847_750187.txt-260-49	fic_1965_780079.txt-2652-12	st189492	2.0	 	2023-12-07 00:13:22.146	prop_nn
nf_1847_750187.txt-260-49	mag_2003_416114.txt-82-0	st189492	1.0	 	2023-12-07 00:13:25.701	prop_nn
mag_1856_566737.txt-82-13	mag_2003_416114.txt-82-0	st189492	0.0	 	2023-12-07 00:13:28.794	prop_nn
nf_1847_750187.txt-260-49	news_1994_620111.txt-57-24	st189492	1.0	 	2023-12-07 00:13:33.339	prop_nn
nf_1847_750187.txt-260-49	mag_1994_409550.txt-97-12	st189492	2.0	 	2023-12-07 00:13:38.52	prop_nn
mag_1856_566737.txt-82-13	mag_1994_409550.txt-97-12	st189492	0.0	 	2023-12-07 00:13:41.324	prop_nn
nf_1847_750187.txt-260-49	news_1994_606785.txt-34-3	st189492	1.0	 	2023-12-07 00:14:15.323	prop_nn
