identifier1	identifier2	annotator	judgment	comment	lemma
fic_1971_782008.txt-326-15	mag_1966_488151.txt-53-14	emmaccaulfield	2	 	rally_nn
mag_1852_526185.txt-103-45	nf_1854_747500.txt-415-7	emmaccaulfield	1	 	rally_nn
mag_2000_368896.txt-27-21	mag_2000_403676.txt-40-21	emmaccaulfield	0	 	rally_nn
fic_1967_10489.txt-4355-19	mag_1960_491697.txt-79-31	emmaccaulfield	4	 	rally_nn
nf_1844_749098.txt-2203-7	fic_1842_9749.txt-1469-3	emmaccaulfield	4	 	rally_nn
nf_1853_747555.txt-379-24	news_1968_727041.txt-9-5	emmaccaulfield	1	 	rally_nn
fic_1845_7162.txt-2288-2	news_1987_670110.txt-18-1	emmaccaulfield	0	 	rally_nn
fic_1967_23841.txt-290-13	nf_1969_773569.txt-870-8	emmaccaulfield	4	 	rally_nn
nf_1836_747485.txt-422-21	fic_1982_10696.txt-3164-25	emmaccaulfield	1	 	rally_nn
mag_1839_586418.txt-168-2	news_1963_723422.txt-33-5	emmaccaulfield	2	 	rally_nn
fic_1967_23841.txt-290-13	news_2005_666459.txt-14-8	emmaccaulfield	1	 	rally_nn
mag_1962_477910.txt-118-5	mag_1846_565554.txt-266-14	emmaccaulfield	2	 	rally_nn
nf_1858_747890.txt-2069-1	fic_1854_3384.txt-7241-5	emmaccaulfield	1	 	rally_nn
fic_1995_39282.txt-611-36	news_2005_666434.txt-56-12	emmaccaulfield	4	 	rally_nn
news_1994_620053.txt-10-24	mag_2006_112381.txt-105-5	emmaccaulfield	1	 	rally_nn
news_1963_723422.txt-33-5	fic_1836_4118.txt-1221-31	emmaccaulfield	2	 	rally_nn
fic_1967_23841.txt-290-13	news_1970_728515.txt-28-3	emmaccaulfield	3	 	rally_nn
fic_1973_10570.txt-413-21	mag_1845_565477.txt-150-10	emmaccaulfield	1	 	rally_nn
fic_1984_10724.txt-2401-5	fic_1832_8751.txt-2074-16	emmaccaulfield	1	 	rally_nn
fic_1812_8649.txt-381-14	mag_1984_321807.txt-9-9	emmaccaulfield	2	 	rally_nn
news_1970_728515.txt-28-3	mag_1850_589363.txt-22-56	emmaccaulfield	1	 	rally_nn
nf_1852_771569.txt-1768-40	mag_1830_554012.txt-492-38	emmaccaulfield	1	 	rally_nn
mag_1839_554730.txt-105-17	nf_1981_774111.txt-895-20	emmaccaulfield	2	 	rally_nn
news_2005_666434.txt-56-12	mag_1963_441289.txt-150-6	emmaccaulfield	2	 	rally_nn
mag_1974_487943.txt-30-29	news_1994_620053.txt-16-38	amariac810	3	 	rally_nn
mag_1852_526185.txt-103-45	fic_1978_10636.txt-17112-15	amariac810	2	 	rally_nn
mag_1964_247506.txt-0-22	fic_1842_9749.txt-1469-3	amariac810	0	 	rally_nn
nf_2008_774923.txt-126-7	fic_1978_10636.txt-17112-15	amariac810	4	 	rally_nn
mag_1858_556504.txt-114-36	mag_1965_491992.txt-260-15	amariac810	1	 	rally_nn
news_1968_727041.txt-9-5	mag_1841_586607.txt-99-25	amariac810	2	 	rally_nn
fic_1972_13261.txt-704-18	nf_2003_746330.txt-363-17	amariac810	4	 	rally_nn
fic_1842_9749.txt-1469-3	mag_1976_108138.txt-72-9	amariac810	2	 	rally_nn
news_1966_725652.txt-61-8	mag_1964_488196.txt-164-23	amariac810	4	 	rally_nn
mag_1986_332645.txt-31-8	nf_1858_747890.txt-2069-1	amariac810	0	 	rally_nn
mag_1839_586418.txt-168-2	mag_1976_491807.txt-283-17	amariac810	3	 	rally_nn
mag_1857_556296.txt-145-16	fic_1845_7162.txt-760-4	amariac810	1	 	rally_nn
mag_1965_491992.txt-42-18	mag_1967_211632.txt-27-20	amariac810	4	 	rally_nn
news_1966_725652.txt-61-8	fic_1967_10489.txt-4355-19	amariac810	4	 	rally_nn
