lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
rally_nn	nn1	1971	2	news_1971_729823.txt-0-5	 	@@729823 txt marks at a rally of her New Congress party at her residence this morning.	24:29	0:86
rally_nn	nn1_vv0	2000	2	news_2000_622045.txt-62-6	 	Gray (Davis): A rally by Richmond residents was held Friday in Sacramento to show support for forgiveness of the Richmond School District's debt to the state.	16:21	0:158
rally_nn	nn1	2002	2	mag_2002_385585.txt-102-1	 	* Rally school officials and recruit other parents to ensure that an anti-hazing policy gets enacted-and enforced.	2:7	0:114
rally_nn	nn1	1825	1	mag_1825_553604.txt-170-0	 	rally turned to beneficence and virtue, becomes acquainted in early life with an unprincipled man of the name of Alsop, who succeeds in convincing him that religion is a cheat	0:5	0:175
rally_nn	nn1	1839	1	mag_1839_586418.txt-63-103	 	With an unerring instinct and sagacity peculiar to an incensed and outraged people; they struck at the centre of this unholy combination -- the sun of the system around which all the lesser luminaries revolved, and from which they drew their light and heat, and the princples of vitality; they struck their first blow at the Bank of the United States, the main pillar of strength to the nllied forces; their high tower of defence into which they retreated in the hour of distress for council and succor, and whence went forth the signal for the rally or the onset; they first resolved on the destruction of that Mother of Jacobins, ' who could call to her aid a thousand affiliated and kindred inst; tutions, living on the pabulum she furnished	545:550	0:744
rally_nn	nn1	1845	1	mag_1845_565477.txt-150-10	 	And this is no more of a mob than a rally of shepherds to chase a wolf out of their pastures would he one. \"	36:41	0:108
rally_nn	nn2	1984	2	mag_1984_480570.txt-263-10	 	PUBLIC ENTERTAINMENTS: Opera, movies, buskers, political rallies, gymnastic demonstrations; vocal recitals and performances of reggae, jazz, New Wave, and classical music in the parks.	57:64	0:184
rally_nn	nn1	1985	2	mag_1985_487754.txt-24-4	 	The guerrillas announced a rally to demand supplies and money from the British: ELAS supporters flooded in from all over the Mourgana villages and, beyond.	27:32	0:155
rally_nn	nn1	1965	2	mag_1965_491992.txt-260-15	 	away by his own oratory, according to an investigation report, he told a rally at Stone Mountain that a few people, white and black, should be hanged to show that the Klan meant business, and he suggested that standing in a schoolhouse door was no way to stop Negro children from entering a whiteschool; hanging a few Negroes on the school ground would be much more effective.	73:78	0:376
rally_nn	nn1	1965	2	news_1965_725095.txt-58-8	 	An unsigned mimeographed leaflet was distributed at the rally that called Mr. Lindsay an \" atheist, \" \" pro-Communist \" and supporter of integration in the schools, It also charged that he associated with \" David Dubinsky -?	56:61	0:224
rally_nn	nn1_vv0	1989	2	mag_1989_91463.txt-7-21	 	The Redskins ' Mark Rypien threw two touchdown passes to Gary Clark, and the Washington defense held off a Buccaneer rally -- Tampa Bay had 21 points in the fourth quarter -- as the Skins won 32-28.	117:122	0:198
rally_nn	nn1	1844	1	nf_1844_749098.txt-2203-7	 	It had resources, and means of rally, which are always important considerations to a militia command.	31:36	0:101
rally_nn	nn1	1852	1	mag_1852_526185.txt-103-45	 	Captain Combs ' position threw him in the rear in this movement, and, although severely wounded in the shoulder by a ball, which remained lodged in his body, and bleeding profusely, he was enabled now and then to make a rally and drive back the painted devils, when they would be rushing up too closely upon his command.	220:225	0:320
rally_nn	nn1	1963	2	news_1963_723422.txt-33-5	 	By 5:30 P.M., the rally seemed to be over, and the candidates and their crowds went their own ways and calmness and political peace returned to the park.	18:23	0:153
rally_nn	nn2	1839	1	nf_1839_748083.txt-331-149	 	Nor is this descenJing stream of trade wholly withdrawn from our own channels of conveyance, for its proceeds find their way by a circuitous course through the canals of New York, and in that form swell the i-evenues of the treasury: -- and the fact will strikins-ly illustrate the value of the Union, in binding in bonds of mutual benefit all our commercial interests, both foreign and domestic, and in animating every portion of our various industry, that the food thus exported from the inmost recesses of the West - - exchanged for cotton at the mouth of the Mississippi -- exported in that form to the workshops of Europe -- again exchanged for their fabrics, and brought home by our shipping to the seaports of the north, -- is at last returned through the Erie canal to the luxuriant rallies from which it first originated; thus revolving through the whole circle	791:798	0:870
rally_nn	nn2	1994	2	news_1994_620053.txt-10-24	 	On Sunday in Mexico City's downtown, more than 150,000 people -- at least as many as those who showed up for two rallies held by Fernandez and Cardenas in the same place the day before -- gathered to hear a short but upbeat speech from Zedillo.	113:120	0:244
rally_nn	nn1	2003	2	news_2003_617130.txt-51-9	 	According to a Christianity Today magazine account of that rally, Wilkinson's 28-year-old son, David, came up to him afterward and told him: \" You are that man. \"	59:64	0:162
rally_nn	nn1	1830	1	mag_1830_554012.txt-492-38	 	It is simply one of the items in the account between the two parties, which usually appears on both sides, and is regularly the same on both, because the carrying trade of two countries natu rally divides itself between them in equal shares.	191:196	0:241
rally_nn	nn1_vv0	2006	2	mag_2006_112381.txt-105-5	 	The walk sparked a four-run rally that put a 4 game out of reach.	28:33	0:65
rally_nn	nn1_vv0	1859	1	nf_1859_748120.txt-1289-18	 	Once or twice I have known him touch nerves that go close to the heart; but gene rally, he is no master of the feelings.	81:86	0:120
rally_nn	nn1	1839	1	mag_1839_586418.txt-168-2	 	for the rally and the onset is again heard, we shall find a host of auxiliaries, we little dreamed of, arrayed against the people.	8:13	0:130
rally_nn	nn1_vv0	1850	1	mag_1850_525497.txt-33-26	 	Even * though a bare majority might establish it, or something resembling it, if its passage by such a feeble power served only to rally its adversaries to crush it with a second effort, the measure would have been impolitic: it involves too much to be trusted on a bare majority.	131:136	0:280
rally_nn	nn1	1994	2	news_1994_620053.txt-16-38	 	But not far away, a woman with a sign from the Colosio Brigade -- a party organization named after the slain PRI presidential candidate Luis Donaldo Colosio -- looked bewildered when asked why she was at the rally. \"	208:213	0:216
rally_nn	nn1	1968	2	news_1968_727215.txt-7-1	 	The rally was held to encourage continuation of the strike.	4:9	0:59
rally_nn	nn2	1986	2	mag_1986_332645.txt-31-8	 	Back in New York, shortly after the rallies and speeches ended, the crack hustlers were out again, casually hawking their wares. \"	36:43	0:130
rally_nn	nn1_vv0	1960	2	news_1960_721432.txt-22-3	 	Following the Baltimore rally, Mr. Nixon will be in Indianapolis, Dallas and San Francisco the same day.	24:29	0:104
