lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Mauer	NOUN	1850	1	Mauer-c1-i21	 	Anderthalb Jahrhunderte nach Edrisi versetzte Marco Polo die Mauer Magog gar in das Gebirge In-schan, östlich von der Hochebene Gobi, gegen den Fluß Hoang-ho und die chinesische Mauer hin: von der (sonderbar genug) der berühmte venetianische Reisende eben so wenig spricht als vom Gebrauch des Thees.	61:66	0:300
Mauer	NOUN	1850	1	Mauer-c1-i33	 	Die medizinische Schule von Galataserai, die an Jenitscharfi, obwohl durch eine Mauer davon getrennt, anstieß, ist gleichfalls abgebrannt.	80:85	0:138
Mauer	NOUN	1850	1	Mauer-c1-i60	 	Aus diesem Grunde pflegt man solche Mauern vom Fundamente an ganz unabhängig von einander herzustellen.	36:42	0:103
Mauer	NOUN	1968	2	Mauer-c2-i71	 	— Dann hätte es mit Sicherheit keine Mauer gegeben.	37:42	0:51
Mauer	NOUN	1850	1	Mauer-c1-i65	 	Auf der Hinterseite des Herdes war eine kleine Mauer (w) aufgeführt, in der sich in der Höhe der Gichtplatte eine Öffnung z, um die Stahlstangen zum Wärmen vor dem Härten durchzustecken, befand.	47:52	0:194
Mauer	NOUN	1850	1	Mauer-c1-i73	 	Der Herzog will sich nämlich nicht schlagen; er verkriecht sich hinter seine Souveränetät und behauptet, daß im unglücklichen Falle alle Bäche und Flüsse von den Thränen seiner Unterthanen zu reißenden Strömen angeschwemmt, Häuser und Weingärten hinwegreißen würden, daß sein etwaiger Tod das europäische Gleichgewicht stören könne u. s. w., kurz, jemehr sich der Herzog weigert, auf ein Duell einzugehen, desto gewaltiger schwillt unserm Falstaff-Schnapphahnski der Kamm und als der Herzog endlich sein letztes Wort gegeben, da erklärt ihm der edle Ritter, daß der Herzog, wenn er sich wirklich dauernd hinter seiner Souveränetät verstecke, auch in seinem Herzogthum bleiben und sich mit einer chinesischen Mauer umgeben müsse, denn an jedem andern Orte werde Se. Hochgeboren so frei sein, den unübertrefflichen Souverän mit der Hundspeitsche zu bedienen.	708:713	0:856
Mauer	NOUN	1850	1	Mauer-c1-i4	 	Ein thebanischer Held, der auf der Mauer nicht ferne seinen Posten hatte, Periklymenus, beobachtete seine Anstrengungen, und riß, als es höchste Zeit war, ein Stück der steinernen Brustwehr von der Mauer, so groß, daß es eine ganze Wagenlast ausgemacht hätte; dieser Wurf zermalmte dem Stürmer sein blondgelocktes Haupt und zerriß ihm die Knochen, daß er zerschmettert zu Boden stürzte.	35:40	0:386
Mauer	NOUN	1850	1	Mauer-c1-i10	 	Das Baptisterium beim Lateran in Rom (432—440) hat nichts Ursprüngliches mehr als seine Doppelstellung von Säulen mit geraden Gebälken und die Mauern, nebst der von zwei grossen Porphyrsäulen gestüzten, in zwei halbrunde Nischen auslaufenden Vorhalle (gegen den Hof).	143:149	0:267
Mauer	NOUN	1968	2	Mauer-c2-i96	 	Redaktionskollegiums HdUolf HOrrflitkÖt lCh « frfed* ktfeUr), Held » fr r l « « H 6 GeriUrfl K e g • I otelivertt. Chefredakteure), Rtiberl K 8 1 1 # Wiih. ä I r « u waltef F r a n i e. -RedaKtion. Neues Deutschland '' Berlin W a Mauer stl »9' 40 relefon » 25681 (Tag-und Nachtdienst). -Verlag M 64 gdiönhaUBet Allee 176, telBfärl 42 59 61. -	230:235	0:342
Mauer	NOUN	1968	2	Mauer-c2-i14	 	Ehe der Gipfel, der erste seit fast 17 Jahren möglich wurde, mußte eine Mauer des Mißtrauens abgetragen werden.	72:77	0:111
