identifier1	identifier2	annotator	judgment	comment	lemma
fic_1840_7681.txt-1992-35	news_2006_604835.txt-61-18	emmaccaulfield	4	 	twist-nn
fic_1840_7681.txt-1992-35	mag_2003_401573.txt-20-6	emmaccaulfield	1	 	twist-nn
fic_1837_7395.txt-1611-50	fic_1856_2470.txt-1991-21	emmaccaulfield	0	 	twist-nn
fic_1856_3677.txt-1488-21	mag_1965_97777.txt-64-28	emmaccaulfield	3	 	twist-nn
nf_1969_774314.txt-1197-15	fic_1856_3677.txt-1488-21	emmaccaulfield	4	 	twist-nn
fic_1839_7023.txt-2253-23	fic_1847_7094.txt-107-17	emmaccaulfield	4	 	twist-nn
fic_2004_28582.txt-69-8	fic_1854_3384.txt-1101-24	emmaccaulfield	2	 	twist-nn
fic_2003_28252.txt-145-4	fic_1843_7208.txt-9699-29	emmaccaulfield	3	 	twist-nn
fic_1854_3384.txt-1101-24	fic_1837_7395.txt-1611-50	emmaccaulfield	1	 	twist-nn
fic_1854_3384.txt-1101-24	news_2000_660028.txt-1120-22	emmaccaulfield	1	 	twist-nn
fic_1837_7395.txt-1611-50	fic_1847_7094.txt-107-17	emmaccaulfield	1	 	twist-nn
fic_2007_34245.txt-31-11	fic_1856_3677.txt-1488-21	emmaccaulfield	4	 	twist-nn
mag_1997_387756.txt-12-27	fic_1995_39263.txt-230-1	emmaccaulfield	0	 	twist-nn
fic_1848_7009.txt-4137-35	fic_2004_28582.txt-69-8	emmaccaulfield	1	 	twist-nn
mag_2003_401573.txt-20-6	mag_1824_553556.txt-303-26	emmaccaulfield	1	 	twist-nn
fic_1859_9220.txt-6324-24	fic_1847_7094.txt-107-17	emmaccaulfield	2	 	twist-nn
mag_2003_407658.txt-21-3	fic_2007_34245.txt-31-11	emmaccaulfield	1	 	twist-nn
fic_1854_3384.txt-1101-24	mag_1843_555146.txt-484-23	emmaccaulfield	2	 	twist-nn
fic_1852_2364.txt-5998-20	fic_1840_7681.txt-1992-35	emmaccaulfield	4	 	twist-nn
mag_1997_387756.txt-12-27	fic_1854_9826.txt-1072-5	emmaccaulfield	3	 	twist-nn
fic_1845_7170.txt-1583-10	fic_1837_7395.txt-1611-50	emmaccaulfield	1	 	twist-nn
fic_1854_3384.txt-1101-24	mag_1965_97777.txt-64-28	emmaccaulfield	2	 	twist-nn
fic_2009_36870.txt-57-23	fic_1856_2470.txt-2074-2	emmaccaulfield	4	 	twist-nn
fic_1836_9507.txt-439-2	fic_2009_36961.txt-181-21	emmaccaulfield	0	 	twist-nn
fic_1856_3677.txt-1488-21	fic_1852_2364.txt-5998-20	emmaccaulfield	4	 	twist-nn
news_1999_653851.txt-78-4	fic_1836_9507.txt-439-2	emmaccaulfield	0	 	twist-nn
fic_1856_2470.txt-2074-2	mag_1982_297734.txt-14-3	emmaccaulfield	1	 	twist-nn
fic_1854_9826.txt-1072-5	fic_2007_34245.txt-31-11	emmaccaulfield	4	 	twist-nn
mag_1997_387756.txt-12-27	fic_1986_10741.txt-2006-5	amariac810	0	 	twist-nn
mag_2003_401573.txt-20-6	nf_1837_757476.txt-2572-5	amariac810	2	 	twist-nn
mag_1970_479156.txt-122-4	mag_1824_553556.txt-303-26	amariac810	0	 	twist-nn
mag_1960_491660.txt-85-15	mag_1993_410106.txt-83-15	amariac810	2	 	twist-nn
mag_1997_387756.txt-12-27	fic_1847_2352.txt-2533-11	amariac810	0	 	twist-nn
mag_2003_401573.txt-20-6	fic_2007_34245.txt-31-11	amariac810	2	 	twist-nn
mag_1970_479156.txt-122-4	fic_2003_28252.txt-145-4	amariac810	0	 	twist-nn
nf_1969_774314.txt-1197-15	mag_1965_97777.txt-64-28	amariac810	2	 	twist-nn
fic_1854_3384.txt-1101-24	fic_1985_10733.txt-3326-5	amariac810	0	 	twist-nn
fic_1995_39263.txt-230-1	mag_1824_553556.txt-303-26	amariac810	4	 	twist-nn
nf_1855_747674.txt-451-9	fic_1840_7681.txt-1992-35	amariac810	0	 	twist-nn
fic_1855_9773.txt-1608-9	mag_1843_555146.txt-484-23	amariac810	4	 	twist-nn
mag_1971_494724.txt-3-42	fic_1855_9773.txt-1608-9	amariac810	0	 	twist-nn
news_2006_604835.txt-61-18	fic_1995_39263.txt-230-1	amariac810	3	 	twist-nn
mag_1982_297734.txt-14-3	fic_2003_28252.txt-145-4	amariac810	0	 	twist-nn
fic_1843_7208.txt-9699-29	fic_1986_10741.txt-2006-5	amariac810	2	 	twist-nn
fic_2003_28252.txt-145-4	news_1999_653851.txt-78-4	amariac810	0	 	twist-nn
mag_1970_479156.txt-122-4	mag_1997_387756.txt-12-27	amariac810	3	 	twist-nn
fic_1848_7009.txt-4137-35	fic_1986_10741.txt-2006-5	amariac810	0	 	twist-nn
fic_1848_7009.txt-4137-35	news_2006_604835.txt-61-18	amariac810	3	 	twist-nn
fic_2009_36870.txt-57-23	fic_1848_7009.txt-4137-35	amariac810	0	 	twist-nn
fic_2009_36870.txt-57-23	news_1999_653851.txt-78-4	amariac810	2	 	twist-nn
mag_1965_97777.txt-64-28	mag_1997_387756.txt-12-27	amariac810	0	 	twist-nn
fic_1856_2470.txt-1991-21	mag_1843_555146.txt-484-23	amariac810	4	 	twist-nn
fic_1995_39263.txt-230-1	fic_2009_36961.txt-181-21	amariac810	0	 	twist-nn
mag_1960_491660.txt-85-15	fic_1977_780102.txt-1238-10	amariac810	2	 	twist-nn
fic_2007_34245.txt-31-11	fic_1995_39263.txt-230-1	amariac810	0	 	twist-nn
fic_1834_7047.txt-876-3	fic_1859_9220.txt-6324-24	amariac810	2	 	twist-nn
mag_1997_387756.txt-12-27	fic_1845_7170.txt-1583-10	amariac810	0	 	twist-nn
mag_1965_97777.txt-64-28	fic_1840_7164.txt-2774-22	amariac810	2	 	twist-nn
news_1995_656660.txt-15-16	fic_2004_28582.txt-69-8	amariac810	0	 	twist-nn
mag_1993_410106.txt-83-15	nf_1969_774314.txt-1197-15	amariac810	4	 	twist-nn
fic_1845_7170.txt-1583-10	fic_1839_7023.txt-2253-23	amariac810	0	 	twist-nn
mag_2003_407658.txt-21-3	nf_1855_747674.txt-451-9	amariac810	2	 	twist-nn
fic_1852_2364.txt-5998-20	fic_1986_10741.txt-2006-5	amariac810	0	 	twist-nn
