identifier1	identifier2	annotator	judgment	comment	lemma
berg_ostasien04_1873-3639-31	2532889X_1975-12-01_01_164.tcf.xml-161-17	Zori	2	 	artikulieren
2532889X_1990-03-17_01_189.tcf.xml-35-10	26120215_1990_01_11_01_089.tcf.xml-68-1	Zori	0	 	artikulieren
blumenbach_anatomie_1815-668-20	patzig_msgermfol841842_1828-259-29	Zori	4	 	artikulieren
blumenbach_anatomie_1824-867-31	26120215_1976_03_10_01_156.tcf.xml-5-12	Zori	1	 	artikulieren
wernicke_symptomencomplex_1874-998-5	2532889X_1981-01-22_01_065.tcf.xml-33-1	Zori	2	 	artikulieren
26120215_1981_01_10_01_011.tcf.xml-10-21	treviranus_biologie03_1805-449-3	Zori	1	 	artikulieren
2532889X_1984-02-16_01_072.tcf.xml-3-19	2532889X_1989-10-31_01_095.tcf.xml-15-23	Zori	4	 	artikulieren
2532889X_1987-01-26_01_063.tcf.xml-22-22	2532889X_1987-10-31_01_504.tcf.xml-2-27	Zori	3	 	artikulieren
2532889X_1981-06-09_01_110.tcf.xml-14-1	26120215_1990_07_31_01_316.tcf.xml-10-12	Zori	4	 	artikulieren
blumenbach_knochen_1807-1442-28	2532889X_1980-03-05_01_060.tcf.xml-18-5	Zori	1	 	artikulieren
vogt_briefe02_1851-5741-27	26120215_1984_08_21_01_070.tcf.xml-10-29	Zori	2	 	artikulieren
2532889X_1987-12-29_01_039.tcf.xml-19-2	treviranus_biologie01_1802-2066-33	Zori	1	 	artikulieren
2532889X_1975-12-01_01_164.tcf.xml-165-6	2532889X_1978-02-23_01_050.tcf.xml-15-31	Zori	4	 	artikulieren
berg_ostasien04_1873-3639-31	2532889X_1987-08-21_01_113.tcf.xml-26-18	Zori	2	 	artikulieren
2532889X_1990-06-18_01_140.tcf.xml-4-48	munzinger_japaner_1898-466-14	Zori	0	 	artikulieren
26120215_1976_03_10_01_156.tcf.xml-5-12	griesinger_psychische_1845-3878-13	Zori	2	 	artikulieren
2532889X_1981-03-21_01_043.tcf.xml-24-31	blumenbach_knochen_1807-1442-28	Zori	1	 	artikulieren
2532889X_1980-03-05_01_060.tcf.xml-18-5	26120215_1990_04_10_01_165.tcf.xml-2-43	Zori	4	 	artikulieren
steinthal_grammatik_1855-2625-1	2532889X_1990-06-08_01_386.tcf.xml-97-24	Zori	2	 	artikulieren
2532889X_1988-11-23_01_005.tcf.xml-23-3	clodius_poetik01_1804-3077-39	Zori	2	 	artikulieren
vischer_aesthetik030204_1857-537-2	2532889X_1988-08-20_01_267.tcf.xml-12-30	stekade	3	 	artikulieren
2532889X_1981-05-29_01_052.tcf.xml-4-4	26120215_1981_01_10_01_011.tcf.xml-10-21	stekade	3	 	artikulieren
vischer_aesthetik030204_1857-537-2	goerres_volksbuecher_1807-152-102	stekade	3	 	artikulieren
2532889X_1987-08-21_01_113.tcf.xml-26-18	berg_ostasien04_1873-3639-31	stekade	2	 	artikulieren
blumenbach_anatomie_1824-720-20	vogt_briefe02_1851-5741-27	stekade	2	 	artikulieren
2532889X_1982-09-23_01_063.tcf.xml-8-21	2532889X_1990-04-06_01_033.tcf.xml-7-49	stekade	3	 	artikulieren
2532889X_1987-01-26_01_063.tcf.xml-22-22	26120215_1988_07_30_01_137.tcf.xml-5-23	stekade	3	 	artikulieren
blumenbach_anatomie_1805-773-31	2532889X_1966-10-20_01_054.tcf.xml-64-7	stekade	1	 	artikulieren
2532889X_1981-05-29_01_052.tcf.xml-4-4	nn_nrhz090_1848-614-7	stekade	3	 	artikulieren
2532889X_1969-05-07_01_079.tcf.xml-5-20	26120215_1990_03_27_01_069.tcf.xml-23-36	stekade	3	 	artikulieren
26120215_1983_01_08_01_167.tcf.xml-18-10	26120215_1979_06_05_01_167.tcf.xml-6-7	stekade	2	 	artikulieren
berg_ostasien04_1873-3639-31	2532889X_1970-07-29_01_147.tcf.xml-19-27	stekade	2	 	artikulieren
