identifier	cluster
avelallemant_gaunerthum02_1858-1014-24	1
gerstner_mechanik01_1831-10925-35	0
avelallemant_gaunerthum02_1858-2050-6	-1
gerstner_mechanik03_1834-8218-15	0
avelallemant_gaunerthum02_1858-1638-6	1
keller_sinngedicht_1882-843-62	-1
urbanitzky_electricitaet_1885-6772-4	0
rosegger_waldschulmeister_1875-2036-19	0
gerstner_mechanik01_1831-10633-26	0
brehm_thierleben02_1865-13004-7	0
gerstner_mechanik01_1831-9245-41	-1
brehm_thierleben05_1869-14677-12	0
avelallemant_gaunerthum02_1858-1636-76	1
gerstner_mechanik01_1831-9112-10	0
nn_maehrisches42_1886-36-23	2
gerstner_mechanik01_1831-10824-38	0
hauptmann_henschel_1899-2305-30	0
avelallemant_gaunerthum02_1858-1638-34	1
gerstner_mechanik01_1831-11161-2	0
gerstner_mechanik03_1834-11167-10	0
gerstner_mechanik01_1831-10498-30	0
gerstner_mechanik01_1831-9108-22	0
avelallemant_gaunerthum02_1858-1010-3	1
avelallemant_gaunerthum02_1858-1637-11	-1
gerstner_mechanik03_1834-11166-8	0
avelallemant_gaunerthum02_1858-1636-38	1
gerstner_mechanik01_1831-9109-6	0
steub_tirol_1846-5814-19	-1
gerstner_mechanik01_1831-10930-8	0
laband_staatsrecht02_1878-4114-13	-1
brehm_thierleben03_1866-10964-18	-1
gerstner_mechanik01_1831-10925-1	0
gerstner_mechanik01_1831-11037-62	-1
avelallemant_gaunerthum02_1858-1658-59	1
vogt_briefe02_1851-4079-18	0
kurz_sonnenwirth_1855-5496-41	1
wrangel_luxusfuhrwerk_1898-1763-1	-1
michelis_reiseschule_1869-635-38	0
nn_nrhz046_1848-619-7	3
avelallemant_gaunerthum02_1858-1658-28	-1
gerstner_mechanik01_1831-11133-1	0
kerl_metallurgische_1866-5070-11	0
gerstner_mechanik01_1831-10633-33	0
vogt_briefe02_1851-5257-58	0
avelallemant_gaunerthum04_1862-18551-0	1
gerstner_mechanik01_1831-10932-1	0
gerstner_mechanik03_1834-10183-33	0
avelallemant_gaunerthum02_1858-1011-6	1
gerstner_mechanik01_1831-10932-19	0
ledebur_eisenhuettenkunde_1884-6403-26	0
brehm_thierleben01_1864-4640-1	0
ledebur_eisenhuettenkunde_1884-6401-1	-1
quenstedt_mineralogie_1854-4135-19	0
wrangel_luxusfuhrwerk_1898-1758-5	-1
gerstner_mechanik03_1834-11166-22	0
gerstner_mechanik01_1831-10822-14	0
beck_eisen03_1897-9175-29	4
steub_tirol_1846-5873-44	-1
gerstner_mechanik01_1831-10823-26	0
avelallemant_gaunerthum02_1858-1647-7	1
gerstner_mechanik01_1831-9110-24	0
gerstner_mechanik01_1831-10935-8	0
ganswindt_faerberei_1889-6460-19	5
avelallemant_gaunerthum04_1862-17240-8	1
gerstner_mechanik01_1831-9111-16	0
krafft_landwirthschaft01_1875-5229-26	-1
gerstner_mechanik01_1831-10926-9	0
gerstner_mechanik01_1831-10982-18	0
gerstner_mechanik01_1831-10931-1	0
gerstner_mechanik01_1831-10996-23	0
kurz_sonnenwirth_1855-3945-7	0
gerstner_mechanik01_1831-9106-11	0
baumstark_encyclopaedie_1835-8709-18	0
quenstedt_mineralogie_1854-3857-40	-1
vogt_briefe02_1851-4078-42	0
gerstner_mechanik03_1834-11166-46	0
avelallemant_gaunerthum02_1858-2040-17	-1
avelallemant_gaunerthum02_1858-1636-79	1
