identifier	cluster
2532889X_1948-03-25_01_064.tcf.xml-33-25	sense4
2532889X_1953-05-22_01_048.tcf.xml-49-11	sense0
2532889X_1956-03-29_01_132.tcf.xml-11-1	sense3
2532889X_1956-12-09_01_069.tcf.xml-15-35	sense0
2532889X_1958-04-15_01_080.tcf.xml-16-21	sense0
2532889X_1960-08-12_01_026.tcf.xml-7-7	sense4
2532889X_1962-06-09_01_129.tcf.xml-37-27	sense0
2532889X_1964-03-12_01_145.tcf.xml-165-4	sense0
2532889X_1964-03-29_01_012.tcf.xml-16-7	sense5
2532889X_1964-10-20_01_024.tcf.xml-13-20	sense4
2532889X_1966-10-02_01_199.tcf.xml-23-10	sense5
2532889X_1980-05-03_01_425.tcf.xml-1-11	sense5
2532889X_1980-08-06_01_070.tcf.xml-9-9	-1
2532889X_1982-07-13_01_068.tcf.xml-22-16	sense5
26120215_1949_03_24_01_039.tcf.xml-31-3	sense5
26120215_1950_02_07_01_232.tcf.xml-11-5	sense4
26120215_1950_08_11_01_489.tcf.xml-2-22	-1
26120215_1953_11_01_02_360.tcf.xml-46-16	sense2
26120215_1956_12_16_02_189.tcf.xml-4-17	sense4
26120215_1959_04_08_01_090.tcf.xml-132-15	sense0
26120215_1960_02_28_01_505.tcf.xml-41-6	sense4
26120215_1961_08_18_01_282.tcf.xml-28-13	sense4
26120215_1965_01_28_01_054.tcf.xml-9-13	sense0
26120215_1986_04_22_01_164.tcf.xml-2-49	sense4
26120215_1988_12_16_01_122.tcf.xml-28-31	sense5
avelallemant_gaunerthum02_1858-1011-6	sense7
avelallemant_gaunerthum02_1858-1636-79	sense4
avelallemant_gaunerthum02_1858-1638-34	sense7
avelallemant_gaunerthum02_1858-1638-6	sense7
brehm_thierleben03_1866-10964-18	-1
brehm_thierleben05_1869-14677-12	sense0
gerstner_mechanik01_1831-10498-30	sense0
gerstner_mechanik01_1831-10633-26	sense0
gerstner_mechanik01_1831-10827-9	sense0
gerstner_mechanik01_1831-10932-1	sense0
gerstner_mechanik01_1831-9110-24	sense0
gerstner_mechanik01_1831-9111-16	sense0
gerstner_mechanik03_1834-8218-15	sense0
keller_sinngedicht_1882-843-62	-1
krafft_landwirthschaft01_1875-5229-26	sense0
kurz_sonnenwirth_1855-3945-7	sense0
michelis_reiseschule_1869-635-38	sense0
nn_maehrisches42_1886-36-23	sense5
nn_nrhz046_1848-619-7	sense6
parthey_jugenderinnerungen01_1871-367-12	sense0
quenstedt_mineralogie_1854-4135-19	sense0
steub_tirol_1846-5814-19	-1
vogt_briefe02_1851-3388-33	sense0
vogt_briefe02_1851-4078-42	sense0
vogt_briefe02_1851-5243-10	sense2
