identifier1	identifier2	annotator	judgment	comment	lemma
nf_1855_748018.txt-39-22	nf_1845_772370.txt-1325-0	emmaccaulfield	1	 	part-nn
mag_1857_556292.txt-13-0	mag_1982_491859.txt-143-22	emmaccaulfield	2	 	part-nn
nf_1987_773961.txt-1347-7	nf_1961_774087.txt-330-2	emmaccaulfield	2	 	part-nn
nf_1845_772370.txt-93-0	nf_1845_772370.txt-1325-0	emmaccaulfield	4	 	part-nn
nf_1987_773961.txt-1347-7	mag_1992_396462.txt-5-20	emmaccaulfield	2	 	part-nn
fic_2004_49338.txt-267-24	nf_1973_773508.txt-88-2	emmaccaulfield	4	 	part-nn
mag_1996_427908.txt-127-14	fic_1826_314.txt-4598-5	emmaccaulfield	2	 	part-nn
fic_1856_3677.txt-3374-5	nf_1855_748018.txt-2877-20	emmaccaulfield	3	 	part-nn
nf_1827_747521.txt-68-7	mag_2004_414724.txt-98-8	emmaccaulfield	3	 	part-nn
fic_1966_781991.txt-1061-6	nf_1964_773767.txt-118-7	emmaccaulfield	2	 	part-nn
nf_1822_747604.txt-105-34	fic_1838_7359.txt-1385-10	emmaccaulfield	4	 	part-nn
nf_1847_749455.txt-387-25	fic_1854_9193.txt-5860-14	emmaccaulfield	2	 	part-nn
fic_1838_7359.txt-1385-10	nf_1845_772370.txt-398-0	emmaccaulfield	2	 	part-nn
fic_1999_30605.txt-60-9	fic_1830_7238.txt-296-105	emmaccaulfield	2	 	part-nn
fic_2006_51046.txt-127-3	fic_1966_781991.txt-1061-6	emmaccaulfield	1	 	part-nn
news_1997_632259.txt-173-14	mag_1857_505936.txt-65-5	emmaccaulfield	3	 	part-nn
mag_1999_408391.txt-54-3	nf_1845_772370.txt-398-0	emmaccaulfield	2	 	part-nn
fic_1854_9193.txt-5860-14	fic_2006_51046.txt-127-3	emmaccaulfield	4	 	part-nn
nf_1822_747604.txt-105-34	mag_1846_524014.txt-209-26	emmaccaulfield	1	 	part-nn
mag_1848_565767.txt-158-20	mag_1992_396462.txt-5-20	emmaccaulfield	2	 	part-nn
mag_1982_491859.txt-143-22	nf_1847_749455.txt-387-25	emmaccaulfield	2	 	part-nn
nf_1827_747521.txt-68-7	fic_1998_16027.txt-1780-6	emmaccaulfield	3	 	part-nn
mag_1992_396462.txt-5-20	mag_1999_408391.txt-54-3	emmaccaulfield	2	 	part-nn
mag_1999_408391.txt-54-3	mag_1848_565767.txt-158-20	emmaccaulfield	2	 	part-nn
fic_1856_3677.txt-3374-5	fic_1988_10768.txt-768-22	emmaccaulfield	3	 	part-nn
fic_1830_7238.txt-296-105	news_1997_632259.txt-173-14	emmaccaulfield	4	 	part-nn
mag_2001_400593.txt-68-2	fic_1856_3677.txt-3374-5	emmaccaulfield	4	 	part-nn
fic_1838_7359.txt-1385-10	nf_1855_748018.txt-39-22	emmaccaulfield	1	 	part-nn
news_1997_632259.txt-173-14	news_1975_732028.txt-14-16	emmaccaulfield	4	 	part-nn
mag_1996_427908.txt-127-14	mag_1982_491859.txt-143-22	emmaccaulfield	2	 	part-nn
fic_1998_16027.txt-1780-6	nf_1987_773961.txt-1347-7	emmaccaulfield	2	 	part-nn
nf_1855_748018.txt-39-22	fic_1830_7238.txt-296-105	emmaccaulfield	1	 	part-nn
mag_1993_410424.txt-157-12	nf_1855_748018.txt-2877-20	amariac810	4	 	part-nn
mag_1848_565767.txt-158-20	fic_1999_13647.txt-1731-6	amariac810	3	 	part-nn
fic_1830_7238.txt-296-105	nf_1855_748018.txt-39-22	amariac810	2	 	part-nn
fic_1988_10768.txt-768-22	news_1997_632259.txt-173-14	amariac810	3	 	part-nn
mag_1845_565477.txt-885-24	fic_2002_31299.txt-624-0	amariac810	4	 	part-nn
nf_1822_747604.txt-105-34	fic_1830_7238.txt-296-105	amariac810	4	 	part-nn
nf_1964_773767.txt-118-7	fic_1838_7359.txt-1385-10	amariac810	2	 	part-nn
fic_1966_781991.txt-1061-6	mag_1996_427908.txt-127-14	amariac810	4	 	part-nn
fic_1998_16027.txt-1780-6	fic_1966_781991.txt-1061-6	amariac810	3	 	part-nn
nf_1822_747604.txt-105-34	mag_2004_414724.txt-98-8	amariac810	2	 	part-nn
nf_1987_773961.txt-1347-7	nf_1855_748018.txt-2877-20	amariac810	2	 	part-nn
nf_1855_748018.txt-39-22	mag_1993_410424.txt-157-12	amariac810	3	 	part-nn
fic_1856_3677.txt-3374-5	nf_1822_747604.txt-105-34	amariac810	4	 	part-nn
mag_1996_427908.txt-127-14	nf_1845_772370.txt-1012-0	amariac810	2	 	part-nn
nf_1855_748018.txt-2877-20	nf_1845_772370.txt-1012-0	amariac810	3	 	part-nn
mag_1831_563907.txt-171-9	mag_1993_410424.txt-157-12	amariac810	3	 	part-nn
