identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
mag_1843_565272.txt-71-62	mag_1994_425778.txt-18-10	st189492	4.0	 	2023-12-06 23:33:03.35	player_nn
fic_1836_7053.txt-229-6	nf_2008_774810.txt-327-77	st189492	4.0	 	2023-12-06 23:33:07.206	player_nn
fic_1836_7053.txt-229-6	fic_1845_7170.txt-11079-11	st189492	3.0	 	2023-12-06 23:33:28.636	player_nn
mag_1843_565272.txt-71-62	fic_1841_799.txt-1809-16	st189492	4.0	 	2023-12-06 23:33:53.638	player_nn
mag_1843_565272.txt-71-62	fic_1992_30681.txt-25-26	st189492	3.0	 	2023-12-06 23:33:58.481	player_nn
mag_1991_387449.txt-234-17	mag_2003_376656.txt-21-25	st189492	4.0	 	2023-12-06 23:34:03.944	player_nn
news_1993_630359.txt-52-23	mag_2005_417448.txt-232-24	st189492	1.0	 	2023-12-06 23:34:16.834	player_nn
mag_2005_417448.txt-232-24	fic_1992_29899.txt-15-25	st189492	1.0	 	2023-12-06 23:34:24.858	player_nn
fic_1844_7114.txt-1647-20	mag_1991_387449.txt-234-17	st189492	2.0	 	2023-12-06 23:34:37.039	player_nn
mag_1984_326101.txt-12-15	news_2000_627649.txt-202-17	st189492	4.0	 	2023-12-06 23:34:50.761	player_nn
mag_1991_387449.txt-234-17	fic_2009_36644.txt-534-12	st189492	1.0	 	2023-12-06 23:34:54.896	player_nn
fic_1836_7053.txt-229-6	fic_1855_1209.txt-1870-1	st189492	4.0	 	2023-12-06 23:35:07.408	player_nn
mag_1843_565272.txt-71-62	news_1993_630359.txt-52-23	st189492	1.0	 	2023-12-06 23:35:10.437	player_nn
nf_1859_748120.txt-2700-49	mag_2005_417448.txt-232-24	st189492	4.0	 	2023-12-06 23:35:16.231	player_nn
mag_1843_565272.txt-71-62	nf_1834_747621.txt-357-38	st189492	4.0	 	2023-12-06 23:35:30.269	player_nn
mag_1994_425778.txt-18-10	news_1993_630359.txt-52-23	st189492	1.0	 	2023-12-06 23:35:35.344	player_nn
nf_1833_747531.txt-1407-18	news_2000_627649.txt-202-17	st189492	3.0	 	2023-12-06 23:35:46.921	player_nn
fic_1836_7053.txt-229-6	fic_1992_30681.txt-25-26	st189492	2.0	 	2023-12-06 23:35:55.988	player_nn
mag_1843_565272.txt-71-62	nf_2008_774810.txt-327-77	st189492	4.0	 	2023-12-06 23:36:00.65	player_nn
nf_1833_747531.txt-1407-18	mag_1994_425778.txt-18-10	st189492	2.0	 	2023-12-06 23:36:06.943	player_nn
nf_1834_747621.txt-357-38	news_2000_627649.txt-202-17	st189492	4.0	 	2023-12-06 23:36:12.66	player_nn
nf_1834_747621.txt-357-38	mag_1994_425778.txt-18-10	st189492	2.0	 	2023-12-06 23:36:19.747	player_nn
mag_1846_524089.txt-294-22	mag_1991_387449.txt-234-17	st189492	2.0	 	2023-12-06 23:36:28.592	player_nn
mag_1994_425778.txt-18-10	news_2000_627649.txt-202-17	st189492	2.0	 	2023-12-06 23:36:33.481	player_nn
fic_2004_31868.txt-198-7	news_2000_627649.txt-202-17	st189492	1.0	 	2023-12-06 23:36:37.797	player_nn
mag_1846_524089.txt-294-22	news_2000_627649.txt-202-17	st189492	2.0	 	2023-12-06 23:36:47.047	player_nn
nf_1834_747621.txt-357-38	mag_2005_417448.txt-232-24	st189492	1.0	 	2023-12-06 23:37:05.65	player_nn
fic_1836_7053.txt-229-6	fic_1836_7052.txt-949-60	st189492	4.0	 	2023-12-06 23:37:21.601	player_nn
fic_1836_7053.txt-229-6	news_1993_630359.txt-52-23	st189492	1.0	 	2023-12-06 23:37:28.044	player_nn
mag_1843_565272.txt-71-62	mag_2005_417448.txt-232-24	st189492	1.0	 	2023-12-06 23:37:32.999	player_nn
mag_1991_387449.txt-234-17	fic_1992_30681.txt-25-26	st189492	4.0	 	2023-12-06 23:37:36.922	player_nn
fic_1844_7114.txt-1647-20	news_2000_627649.txt-202-17	st189492	4.0	 	2023-12-06 23:37:49.418	player_nn
fic_1836_7053.txt-229-6	mag_1994_425778.txt-18-10	st189492	1.0	 	2023-12-06 23:37:53.666	player_nn
mag_2005_417448.txt-232-24	mag_2006_385919.txt-27-40	st189492	4.0	 	2023-12-06 23:37:58.778	player_nn
fic_1844_7114.txt-1647-20	mag_1843_565272.txt-71-62	st189492	4.0	 	2023-12-06 23:38:05.108	player_nn
fic_1836_7053.txt-229-6	mag_1997_356208.txt-22-17	st189492	1.0	 	2023-12-06 23:38:10.15	player_nn
fic_1836_7053.txt-229-6	mag_2005_417448.txt-232-24	st189492	1.0	 	2023-12-06 23:38:23.372	player_nn
nf_1833_747531.txt-1407-18	mag_2005_417448.txt-232-24	st189492	2.0	 	2023-12-06 23:38:31.937	player_nn
fic_1855_1209.txt-1870-1	mag_1991_387449.txt-234-17	st189492	2.0	 	2023-12-06 23:38:42.136	player_nn
mag_1991_387449.txt-234-17	mag_2009_405435.txt-1-15	st189492	1.0	 	2023-12-06 23:38:56.774	player_nn
mag_1843_565272.txt-71-62	fic_1836_7053.txt-229-6	st189492	3.0	 	2023-12-06 23:39:16.2	player_nn
mag_1991_387449.txt-234-17	fic_2004_29720.txt-33-32	st189492	1.0	 	2023-12-06 23:39:18.925	player_nn
fic_1836_7053.txt-229-6	mag_2006_385919.txt-27-40	st189492	1.0	 	2023-12-06 23:39:21.174	player_nn
fic_1836_7053.txt-229-6	nf_1833_747531.txt-1407-18	st189492	2.0	 	2023-12-06 23:39:26.693	player_nn
fic_1836_7053.txt-229-6	nf_1834_747621.txt-357-38	st189492	1.0	 	2023-12-06 23:39:35.658	player_nn
fic_1845_7170.txt-11079-11	mag_2005_417448.txt-232-24	st189492	1.0	 	2023-12-06 23:39:39.544	player_nn
fic_1836_7053.txt-229-6	mag_1997_389166.txt-31-27	st189492	1.0	 	2023-12-06 23:39:47.845	player_nn
fic_1841_799.txt-1809-16	mag_1991_387449.txt-234-17	st189492	2.0	 	2023-12-06 23:39:52.78	player_nn
