lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Eintagsfliege	NN	1898	1	boelsche_liebesleben01_1898-812-6	 	Eine Frage, angelegt in jenen Eintagsfliegen, die der Brunstdrang aus der räuberischen Einsiedlerschaft des Larven-Individuums zu zwei Stunden Seligkeit der Geschlechtsgemeinschaft ohne Daseinssorgen erweckt.	30:44	0:208
Eintagsfliege	NN	1876	1	berg_ostasienzoologie01_1876-3339-14	 	In Borneo, auf dem Kapuasstrom, fand ich einmal Ende Mai 1863 zahllose Eintagsfliegen, schwarz mit grünen, an der Spitze weissen Flügeln und drei Schwanzfäden, schaarenweise dicht über Wasser, die Endfäden oft eingetaucht, bald stromauf, bald stromab fliegend.	71:85	0:260
Eintagsfliege	NN	1869	1	brehm_thierleben06_1869-27665-0	 	Eintagsfliege vor der letzten Häutung (Ephemera vulgata) S. 440.	0:13	0:64
Eintagsfliege	NN	1976	2	26120215_1976_11_05_01_116.tcf.xml-16-21	 	Der 1. FC Union wird für Lok nun der richtige Prüfstein sein, ob der Erfolg gegen den Meister nur eine Eintagsfliege war oder sich wirklich ein Leistungsaufschwung anbahnt.	103:116	0:172
Eintagsfliege	NN	1857	1	raabe_sperlingsgasse_1857-1186-15	 	Sag Ihr: „Louise, Louise, der Tag ist zu Ende — die Eintagsfliegen wurden müde, todmüde — der Bach schaukelt ihre armen kleinen Leiber fort, vorüber an den Blumen, über denen sie vor einer Stunde noch tanzten und spielten.	52:66	0:222
Eintagsfliege	NN	1889	1	holz_hamlet_1889-15-15	 	Ein Band Gedichte, der für die damalige Stimmung des jungen Poeten bezeichnend genug „Eintagsfliegen“ betitelt war, mochte wohl die meiste Schuld daran getragen haben.	86:100	0:167
Eintagsfliege	NN	1958	2	26120215_1958_03_01_01_175.tcf.xml-28-25	 	Was den meisten bereits beim Erscheinen der Sacklinie im vergangenen Herbst klar war, hat sich jetzt bestätigt: Sie hatte lediglich die Voraussetzungen einer Eintagsfliege.	158:171	0:172
Eintagsfliege	NN	1854	1	bechstein_dunkelgraf_1854-1902-25	 	Auch die Folgezeit wird aus ihrem Schlamme die unaustilgbare Brut solchen Gewürms erzeugen, aber sein Loos wird immerdar dasselbe sein, das Loos der Eintagsfliegen, die aus den ekeln Larven im Morast entstehen, heute uns umschwärmen und morgen dahin sind.	149:163	0:255
Eintagsfliege	NN	1975	2	26120215_1975_06_23_01_053.tcf.xml-3-39	 	Als die DDR -Ruderer bei den II. Weltmeisterschaften 1966 im iugoslawischen Bled mit drei von sieben möglichen Männertiteln in beiden Riemenvierern und im Zweier ohne Steuermann die Fachwelt überraschten, glaubten nicht wenige unter den Experten an eine Eintagsfliege.	254:267	0:268
Eintagsfliege	NN	1869	1	brehm_thierleben06_1869-8354-10	 	Wenn man sich aber merkt, daß die Wasserjungfern und Eintagsfliegen mit ihren nicht zu verkennenden nächsten Verwandten nur eine unvollkommene Verwandlung bestehen und mithin nicht mehr dieser, sondern der folgenden Ordnung beigezählt werden, so schwindet auch diese Schwierigkeit, und der in Rede stehenden Ordnung sind die erkennbaren Grenzen gezogen.	53:67	0:353
Eintagsfliege	NN	1973	2	26120215_1973_08_31_01_205.tcf.xml-8-16	 	Andererseits brennen die Spieler naturlich darauf zu beweisen daß die hohe Schlappe beim FC Hansa eine Eintagsfliege war. V.'onn das „Nervenkostüm\" des BFC in Ordnung ist, dann wird er den Überi aschungs -Tabellenführer Zwick-rj Eewiß auch voll fordern Viel wird vom Abschneiden der Berliner abhangen, ob sie die Kr< Mse des Kontrahenten bereits frühzeitig stören können.	103:116	0:371
Eintagsfliege	NN	1975	2	26120215_1975_02_05_01_085.tcf.xml-14-11	 	Auch das Kabarett des Verlages Neues Deutschland\", die.. Eintagsfliegen\", erntete viel Beifall.	57:71	0:95
Eintagsfliege	NN	1989	2	26120215_1989_01_21_01_379.tcf.xml-103-22	 	Werden die Restbuchstaben an-(3), 5. Wüstenform — Trend früheres Feldmaß (3), E. Ringel-Riemenschneider. 28. Eintagsfliege.	109:122	0:123
Eintagsfliege	NN	1898	1	boelsche_liebesleben01_1898-995-5	 	Licht strömt zurück auf diese Eintagsfliegen am Bach, diese Fische im Ozean.	30:44	0:76
Eintagsfliege	NN	1975	2	2532889X_1975-11-22_01_059.tcf.xml-14-8	 	Und das Beste daran: allermeisten sind keine Eintagsfliegen. -Viele der Aufführungenstehen schon seit Jahren reich im Repertoire, und	45:59	0:133
Eintagsfliege	NN	1967	2	26120215_1967_12_18_01_268.tcf.xml-5-25	 	Die Wismut-Mannschaft bewies mit rem 4:0-Erfolg über die ab ehrstarke Chemie-Elf aus Leipzig, ß Ihr 5:1-Triumph an der Alten Försterei keine Eintagsfliege war.	141:154	0:159
Eintagsfliege	NN	1886	1	eschstruth_katz_1886-1249-3	 	Wie die bunte Eintagsfliege, Die mit schillernd buntem Flügel Blitzend durch die warme Luft schießt, — Alte Mähr lebt in dem Volke, Daß die Seelen schöner Mädchen, Welche dem Geliebten treulos, In Libellen sind verzaubert — Also schwirren die Gedanken Durch des Waldkinds Köpfchen, unklar Hin und her in laun'gem Zickzack, Ohne Form, Gestalt und Farbe;	14:27	0:352
Eintagsfliege	NN	1984	2	26120215_1984_01_14_01_119.tcf.xml-67-8	 	Noch besser gefällt mir, daß er keine Eintagsfliege ist.	38:51	0:56
Eintagsfliege	NN	1961	2	2532889X_1961-06-02_01_053.tcf.xml-72-45	 	Die Schulen, an denen im Sinne der Forderungen unserer Partei die ständigen gemeinsamen und gegenseitigen Unterrichtsbesuche, die wissenschaftlich fundierten Berichte und Referate erfolgreicher Lehrer vor dem Pädagogischen Rat, die verschiedenen Formen der Gemeinschaftsarbeit (von der Fachberatung bis zur Klassenkonferenz) keine Eintagsfliegen waren, haben auch Erfolge' erzielt Es muß sich überall durchsetzen, daß der Pädagogische Rat selbst zum Zentrum der Weiterbildung und des Meinungsstreits wird, um in der pädagogischen Arbeit Erfolge zu erzielen.	331:345	0:557
Eintagsfliege	NN	1960	2	26120215_1960_04_22_01_149.tcf.xml-22-9	 	„Diese Kontakte mit den Ziltendorfer Sportlern werden keine Eintagsfliege bleiben.	60:73	0:82
Eintagsfliege	NN	1869	1	brehm_thierleben06_1869-8742-14	 	Man kann diese Tänze bei uns zu Lande am besten beobachten an der gemeinen Eintagsfliege (Ephemera vulgata), weil sie die größte ist, am häufigsten in Deutschland und zwar schon im Mai vorkommt und sich in Folge ihrer dunkeln Färbung am schärfsten gegen den Abendhimmel abgrenzt.	75:88	0:279
