identifier1	identifier2	annotator	judgment	comment	lemma
nf_1857_753133.txt-2472-13	nf_1968_773850.txt-898-46	amariac810	3	 	include_vb
news_1964_723766.txt-16-6	news_1997_632240.txt-93-2	amariac810	3	 	include_vb
mag_1961_477867.txt-225-15	mag_1859_556756.txt-73-19	amariac810	4	 	include_vb
nf_1858_753804.txt-231-2	news_1995_638662.txt-57-4	amariac810	3	 	include_vb
mag_1841_554922.txt-171-11	mag_1856_556222.txt-140-17	amariac810	3	 	include_vb
news_1993_655700.txt-13-14	nf_2002_746986.txt-83-2	amariac810	3	 	include_vb
nf_1987_774190.txt-610-10	mag_1848_588468.txt-83-53	amariac810	3	 	include_vb
mag_1836_554371.txt-76-32	mag_1993_409305.txt-48-2	amariac810	3	 	include_vb
nf_1837_747882.txt-1536-32	mag_1848_588468.txt-83-53	amariac810	2	 	include_vb
mag_1821_553344.txt-383-27	mag_1994_425313.txt-80-8	amariac810	4	 	include_vb
fic_1998_43211.txt-0-7	mag_1845_565438.txt-223-8	amariac810	3	 	include_vb
fic_1839_7233.txt-3817-7	mag_1849_525388.txt-50-11	amariac810	2	 	include_vb
news_1964_723766.txt-16-6	news_1975_731715.txt-118-4	amariac810	3	 	include_vb
fic_1975_780106.txt-1689-40	mag_1997_428156.txt-120-28	amariac810	4	 	include_vb
mag_1843_565241.txt-170-2	nf_1995_777123.txt-209-1	amariac810	2	 	include_vb
mag_1842_555028.txt-387-26	mag_1844_555172.txt-355-17	amariac810	4	 	include_vb
fic_1847_7149.txt-154-8	nf_1968_773850.txt-898-46	amariac810	3	 	include_vb
mag_1831_563795.txt-35-1	fic_1846_4462.txt-4291-23	amariac810	2	 	include_vb
mag_1853_566284.txt-424-5	fic_1853_2409.txt-342-8	amariac810	2	 	include_vb
mag_1848_588468.txt-83-53	news_1997_621050.txt-10-4	emmaccaulfield	3	 	include_vb
news_1997_632240.txt-93-2	news_2001_627691.txt-731-18	emmaccaulfield	4	 	include_vb
mag_1855_505272.txt-562-10	mag_1850_525729.txt-74-7	emmaccaulfield	4	 	include_vb
mag_1854_566446.txt-208-24	news_1964_724117.txt-9-29	emmaccaulfield	4	 	include_vb
nf_1995_777123.txt-209-1	mag_1836_554371.txt-76-32	emmaccaulfield	4	 	include_vb
nf_1843_747650.txt-1405-6	mag_1849_525380.txt-64-11	emmaccaulfield	3	 	include_vb
nf_1994_746852.txt-188-1	mag_2007_390391.txt-28-21	emmaccaulfield	4	 	include_vb
nf_1987_774190.txt-610-10	nf_1965_773962.txt-461-19	emmaccaulfield	3	 	include_vb
fic_1991_16780.txt-3428-14	nf_1829_748004.txt-1005-16	emmaccaulfield	3	 	include_vb
nf_1980_774261.txt-1476-5	nf_1845_747909.txt-2085-17	emmaccaulfield	4	 	include_vb
nf_1858_753804.txt-231-2	nf_2004_746777.txt-134-8	emmaccaulfield	4	 	include_vb
nf_1833_747716.txt-1388-2	mag_1834_554251.txt-145-66	emmaccaulfield	4	 	include_vb
mag_1845_519376.txt-681-14	fic_2009_36481.txt-2-9	emmaccaulfield	2	 	include_vb
