identifier1	identifier2	annotator	judgment	comment	lemma
fic_1986_16370.txt-2599-12	news_1998_615340.txt-63-14	emmaccaulfield	4	 	gas_nn
nf_1993_746578.txt-564-19	nf_2007_747179.txt-166-2	emmaccaulfield	2	 	gas_nn
news_1998_615340.txt-65-10	fic_1847_8807.txt-2204-9	emmaccaulfield	2	 	gas_nn
fic_1847_8807.txt-2204-9	mag_1853_504638.txt-95-19	emmaccaulfield	3	 	gas_nn
mag_1855_566564.txt-304-23	mag_1979_320122.txt-11-18	emmaccaulfield	3	 	gas_nn
nf_1843_752682.txt-186-4	fic_1855_9098.txt-8405-18	emmaccaulfield	2	 	gas_nn
mag_1835_554331.txt-58-8	fic_1967_10486.txt-3311-6	emmaccaulfield	3	 	gas_nn
mag_1855_566564.txt-304-23	fic_2006_51373.txt-751-10	emmaccaulfield	1	 	gas_nn
mag_1977_288155.txt-20-26	fic_2006_51373.txt-751-10	emmaccaulfield	2	 	gas_nn
fic_1856_3447.txt-2166-27	mag_1997_387750.txt-27-14	emmaccaulfield	3	 	gas_nn
nf_1845_747909.txt-914-13	fic_1855_604.txt-2961-5	emmaccaulfield	4	 	gas_nn
mag_1853_504638.txt-95-19	nf_1843_747536.txt-758-2	emmaccaulfield	2	 	gas_nn
news_1998_615340.txt-63-14	fic_1843_7074.txt-1104-9	emmaccaulfield	4	 	gas_nn
nf_2007_747161.txt-59-1	fic_1970_14203.txt-816-20	emmaccaulfield	2	 	gas_nn
news_1973_731093.txt-95-20	nf_1837_747882.txt-3261-37	emmaccaulfield	3	 	gas_nn
nf_1835_748008.txt-2676-25	mag_1818_553165.txt-174-2	emmaccaulfield	4	 	gas_nn
nf_1843_752682.txt-119-17	fic_1986_16370.txt-2599-12	emmaccaulfield	2	 	gas_nn
nf_1848_754438.txt-1507-20	mag_1972_283193.txt-2-3	emmaccaulfield	3	 	gas_nn
nf_1853_748464.txt-1180-15	fic_1847_2352.txt-4036-7	emmaccaulfield	2	 	gas_nn
nf_1843_747536.txt-758-2	mag_1845_555355.txt-410-12	emmaccaulfield	2	 	gas_nn
nf_1855_748018.txt-2310-17	nf_1843_752682.txt-207-28	emmaccaulfield	4	 	gas_nn
fic_1993_25005.txt-3697-26	nf_2003_746858.txt-112-17	emmaccaulfield	2	 	gas_nn
fic_1966_23829.txt-159-13	fic_1854_9230.txt-2108-6	emmaccaulfield	1	 	gas_nn
news_1965_725161.txt-24-11	mag_1969_431778.txt-69-25	emmaccaulfield	2	 	gas_nn
fic_2006_51373.txt-751-10	nf_1845_747909.txt-838-60	emmaccaulfield	1	 	gas_nn
fic_1996_54425.txt-202-14	mag_1969_431778.txt-69-25	emmaccaulfield	4	 	gas_nn
nf_2005_746527.txt-36-13	fic_1989_782037.txt-136-11	emmaccaulfield	3	 	gas_nn
news_1983_671303.txt-15-21	nf_1845_747909.txt-2625-28	emmaccaulfield	4	 	gas_nn
