lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
donkey_nn	nn1	1843	1	nf_1843_748690.txt-1154-34	 	says the gypsy, and jumping upon its back, he puts it to its paces, first of all whispering something into its ears in Calo, and truly the paces of the donkey are most wonderful, such as I have never seen before. '	152:158	0:214
donkey_nn	nn2	1838	1	nf_1838_747585.txt-481-57	 	Being far beyond the regular path for descending, and wishing to intercept the procession before its arrival at the burying ground, I had something like the wolf-race I had just beheld to get down in time; unluckily, I had sent Paul back to the place where we had left our cloaks, and donkeys, and the little girl, with directions to ride round the foot of the hill and meet me at the burying - - ground.	285:292	0:404
donkey_nn	nn2	1997	2	fic_1997_54593.txt-116-14	 	could have guessed which building was Branas ' from the number of horses and donkeys tied up in front of it.	77:84	0:108
donkey_nn	nn1	1978	2	mag_1978_479996.txt-153-1	 	his donkey festooned with goat rib cages and legs?	4:10	0:50
donkey_nn	nn1	2007	2	news_2007_637936.txt-36-12	 	I will try to convince him that it is not only this donkey who will die, but the foal, too.	52:58	0:91
donkey_nn	nn1	1990	2	fic_1990_16024.txt-55-5	 	Then another sound -- the donkey starts screeching in wild panic.	26:32	0:65
donkey_nn	nn1	1855	1	fic_1855_9053.txt-3687-7	 	The charcoal vender disappeared -- unhitched his donkey, and turned him with his head into the cart, his body being between the shafts, which position is considered absolutely essential to a valid sale of charcoal -- and this ceremony being gone through with, proceeded to fill the barrel which he afterwards brought in and emptied in the box prepared for it.	49:55	0:359
donkey_nn	nn1_np1	1843	1	nf_1843_748690.txt-1049-25	 	CHAPTER IX Badajoz -- Antonio the Gypsy -- Antonio's Proposal -- The Proposal Accepted -- Gypsy Breakfast -- Departure from Badajoz -- The Gypsy Donkey -- Merida -- The Ruined Wall -- The Crone -- The Land of the Moor - - The Black Men -- Life in the Desert -- The Supper.	145:151	0:272
donkey_nn	nn2	1852	1	mag_1852_504526.txt-220-34	 	Their true character, however, very soon appeared; for, as they drew near, they were found to be a troop of laboring peasants of the neighborhood, mounted on peaceful donkeys, and coming down to the shore in search of salt; and so the alarm ended in a laugh.	167:174	0:258
donkey_nn	nn1	1852	1	fic_1852_3609.txt-300-19	 	Nay, the dog was permitted to jump on his knee: An honor that vex'd our poor donkey to see. \"	77:83	0:93
donkey_nn	nn1	1851	1	fic_1851_746.txt-2559-7	 	\" Then be called ten times a donkey, and a mule, and an ass, and begone, or I'll clear the world of thee! \"	29:35	0:107
donkey_nn	nn1	1984	2	news_1984_671409.txt-15-28	 	gives Mr. Dillon the heartfelt advice that there ' s no point in going to college; why study Socrates, he asks, when Socrates rode a donkey and not a Ferrari. \"	133:139	0:160
donkey_nn	nn1	2000	2	fic_2000_38940.txt-106-26	 	Master Giles saw with horror bow the woman raised her stick, threatening to treat the children after a fashion that was unfit to treat a donkey. \"	137:143	0:146
donkey_nn	nn1	1999	2	fic_1999_30759.txt-67-16	 	You know, \" Althea Stokes had told my mother, in that big, sad donkey voice	63:69	0:75
donkey_nn	nn1	1835	1	fic_1835_8114.txt-1965-30	 	Like the crest of a helmet taught proudly to nod And wave like a meteor's train abroad, Was the long, long tail, that glorified The glorious donkey's hinder side!	141:147	0:162
donkey_nn	nn1	1856	1	fic_1856_7698.txt-435-19	 	The streets, too, through whose narrow, dusty track We ride in files, each on our donkey's back, When evening's shadow o'er the high gray walls, O'ertopped with oranges and olives, falls, And at each corner ' neath its roof of tiles, Hung with poor offerings, the Madonna smiles In her rude shrine so picturesque with dirt.	82:88	0:323
donkey_nn	nn1_np1	1987	2	fic_1987_782034.txt-8660-41	 	Well, hell, Marty, \" said Kramer, figuring that, having been a fellow soldier with him in the bullshit skirmish at Reverend Bacon's, he could go on a nickname basis with the dauntless little Irish Donkey, \" the kids	197:203	0:215
donkey_nn	nn1	1856	1	fic_1856_7698.txt-472-2	 	Domenico the donkey brings, Now for our ride!	13:19	0:45
donkey_nn	nn1	1994	2	fic_1994_54030.txt-305-13	 	To some it sounds like a mob of crows, to others a donkey's bray.	51:57	0:65
donkey_nn	nn1	1843	1	fic_1843_7208.txt-6866-63	 	One member hinted and proposed that there should be a general destruction of the enemy's handbills; which was amended so as to embrace a thrashing of the enemy's bill-stickers, wherever found; which was still further enlarged, so as to cover the special case of freighting a hostile bill-sticker's cart with building-stone and breaking a bill-sticker's donkey's back.	353:359	0:367
donkey_nn	nn2_np2	1853	1	mag_1853_504777.txt-20-0	 	Donkeys brayed, Mexicans chattered, cocks crew, every horse in the corral, or horse-yard, seemed determined to give us his farewell neigh; and amid the almost stunning din I could with difficulty catch the parting words of our host: \" Good-by; never trouble yourselves about the horses -- but take good	0:7	0:302
donkey_nn	nn1	1847	1	fic_1847_7124.txt-543-5	 	He was mounted on a donkey fantastically accoutred and having at the end of his nose an elephant's trunk.	20:26	0:105
donkey_nn	nn1	1846	1	fic_1846_7036.txt-2123-11	 	\" I manage children pretty much as the man did the donkey, \" replied Mrs. Fairweather. \"	51:57	0:88
donkey_nn	nn1	1973	2	mag_1973_105602.txt-74-24	 	If we kill one at the top of the mountain, we will have to cache it somewhere and then return for Mel's donkey, Jenny, to pack the meat and the trophy out. \"	104:110	0:157
donkey_nn	nn2	1838	1	nf_1838_747585.txt-438-30	 	As she grew up, she went out occasionally alone; and even among the Turks her interesting little figure made her a favourite; and when all the other donkeys were idle, hers was sure to be engaged.	149:156	0:196
donkey_nn	nn1	1988	2	nf_1988_773806.txt-873-15	 	was sitting beside the road, in her misery roasting a piece of a dead donkey.	70:76	0:77
donkey_nn	nn2	1983	2	fic_1983_10704.txt-9963-35	 	I cried as well, not just for love of Hera-Ra, but in the terrible fear of knowing that the animal would not have gotten ill if I had kept him away from the donkeys ' bags. \"	157:164	0:174
donkey_nn	nn1	1984	2	fic_1984_10723.txt-598-16	 	The mare gave a great snort and pushed her rump back at the same moment the donkey plunged downward.	76:82	0:100
donkey_nn	nn1	1993	2	fic_1993_1040075.txt-591-5	 	Should you ever meet another donkey, I trust you'll do as well	29:35	0:62
donkey_nn	nn1	1843	1	nf_1843_748690.txt-1150-18	 	Gypsy gentleman, ' say I to one of them, ' what will you have for that donkey? '	71:77	0:80
donkey_nn	nn1	1850	1	fic_1850_2535.txt-154-28	 	On reaching his house, they found the old man sitting at the door, while his son, a good boy, was preparing to take the donkey to market, with a cart load of turnips, radishes, peas, beans, and cabbage.	120:126	0:202
