identifier1	identifier2	annotator	judgment	comment	lemma
fic_1972_13261.txt-879-4	fic_1981_10680.txt-1756-4	amariac810	0	 	savage_nn
nf_1984_773453.txt-137-21	fic_1819_8988.txt-848-17	amariac810	4	 	savage_nn
fic_1975_10600.txt-1563-3	nf_1836_749613.txt-2813-70	amariac810	4	 	savage_nn
fic_1851_746.txt-10901-41	fic_1838_7174.txt-401-33	amariac810	3	 	savage_nn
fic_1964_14129.txt-552-10	nf_1962_774226.txt-674-54	amariac810	4	 	savage_nn
fic_1969_10518.txt-5158-11	fic_1851_746.txt-8819-33	amariac810	2	 	savage_nn
fic_1972_780105.txt-2591-7	fic_1841_7302.txt-4200-43	amariac810	2	 	savage_nn
nf_1836_747959.txt-1574-9	fic_1981_10675.txt-779-2	amariac810	2	 	savage_nn
nf_1836_749613.txt-2390-30	nf_1848_765263.txt-920-26	amariac810	4	 	savage_nn
fic_1994_16037.txt-1580-7	mag_1832_564297.txt-73-10	amariac810	2	 	savage_nn
fic_1963_10436.txt-683-49	fic_1838_7174.txt-401-33	amariac810	4	 	savage_nn
mag_1835_554293.txt-164-21	fic_1976_780159.txt-683-16	amariac810	3	 	savage_nn
fic_1856_2655.txt-1859-26	fic_1826_314.txt-4996-11	amariac810	4	 	savage_nn
fic_1848_7005.txt-150-15	fic_1980_10659.txt-4800-6	amariac810	0	 	savage_nn
fic_1856_2655.txt-1619-17	fic_1990_53163.txt-190-33	amariac810	2	 	savage_nn
fic_1848_7009.txt-2724-19	fic_1963_10440.txt-3025-25	amariac810	0	 	savage_nn
fic_1857_2618.txt-2693-8	fic_1851_746.txt-8819-33	amariac810	3	 	savage_nn
fic_1830_7209.txt-2675-24	fic_1850_7304.txt-6010-13	amariac810	0	 	savage_nn
mag_1846_555389.txt-189-12	fic_1826_314.txt-5710-22	amariac810	3	 	savage_nn
fic_1836_8650.txt-1287-7	nf_1993_773800.txt-602-50	amariac810	0	 	savage_nn
fic_1838_7174.txt-401-33	fic_1828_7245.txt-454-112	amariac810	3	 	savage_nn
fic_1997_54588.txt-121-25	fic_1846_544.txt-1395-28	amariac810	0	 	savage_nn
fic_1971_10541.txt-113-24	fic_1850_7304.txt-3844-14	amariac810	3	 	savage_nn
fic_1976_780097.txt-600-7	fic_1980_10663.txt-141-12	emmaccaulfield	2	 	savage_nn
nf_1833_747463.txt-733-11	fic_1972_16752.txt-3038-15	emmaccaulfield	4	 	savage_nn
mag_1846_555389.txt-189-12	fic_1850_7304.txt-3690-6	emmaccaulfield	4	 	savage_nn
fic_1963_10436.txt-683-49	mag_1963_440905.txt-493-19	emmaccaulfield	4	 	savage_nn
fic_1972_13261.txt-879-4	fic_1848_7154.txt-1199-46	emmaccaulfield	1	 	savage_nn
fic_2001_55718.txt-142-26	mag_1824_553506.txt-13-23	emmaccaulfield	4	 	savage_nn
fic_1853_9158.txt-4207-8	fic_1850_7304.txt-3690-6	emmaccaulfield	4	 	savage_nn
mag_1964_269943.txt-24-18	fic_1972_16752.txt-3038-15	emmaccaulfield	1	 	savage_nn
mag_1992_345244.txt-15-15	news_2004_661056.txt-37-34	emmaccaulfield	4	 	savage_nn
fic_1856_2655.txt-1619-17	fic_1989_16255.txt-885-6	emmaccaulfield	4	 	savage_nn
nf_1988_773733.txt-766-1	fic_1960_4580.txt-364-10	emmaccaulfield	4	 	savage_nn
mag_1988_480810.txt-70-9	fic_1848_7005.txt-1894-2	emmaccaulfield	4	 	savage_nn
mag_1960_491665.txt-62-3	fic_1978_10636.txt-13759-17	emmaccaulfield	4	 	savage_nn
fic_1984_10720.txt-10225-21	nf_1856_747626.txt-1247-13	emmaccaulfield	2	 	savage_nn
fic_1850_7304.txt-2757-10	mag_1854_566447.txt-26-26	emmaccaulfield	4	 	savage_nn
fic_1992_40270.txt-157-5	nf_1972_774324.txt-2296-6	emmaccaulfield	4	 	savage_nn
nf_1852_752548.txt-1203-18	fic_1975_16400.txt-2650-4	emmaccaulfield	4	 	savage_nn
fic_1853_2486.txt-2893-41	mag_1987_432350.txt-217-14	emmaccaulfield	4	 	savage_nn
fic_1846_544.txt-4006-6	fic_1976_780159.txt-683-16	emmaccaulfield	3	 	savage_nn
nf_1857_755095.txt-2769-16	fic_1853_9069.txt-923-20	emmaccaulfield	4	 	savage_nn
