lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
edge_nn	nn1	1968	2	nf_1968_774136.txt-1105-9	 	Shirer and Keirker, at their microphones at the edge of the clearing, watched and later described the scene.	48:52	0:108
edge_nn	nn1	1844	1	nf_1844_772139.txt-317-40	 	This reward was advertised in the summer of 1832; and the next spring a fisherman, at a distant, unfrequented part of the island, saw on a pleasant afternoon a young female Indian, laving at the edge of the water.	195:199	0:213
edge_nn	nn1	1967	2	fic_1967_10486.txt-2261-15	 	That year he had lived in a third-story room in a wooden house on the edge of Cambridge.	70:74	0:88
edge_nn	nn1	2005	2	nf_2005_775709.txt-39-19	 	They can often shape managerial strategy for an entire industry because they are believed to be on the cutting edge.	111:115	0:116
edge_nn	nn1	1836	1	nf_1836_748113.txt-1250-63	 	If a thread, equal m length to B G, be fixed at C, the end of a square, ABC, and the other end fixed at F; and if the side A B, of the square be moved along the right line A D, and if the point E, be always kept close to the edge B C, of the square, keeping the string tight, the point or pin E, will describe a curve E G I H, called a parabola.	225:229	0:345
edge_nn	nn1	1993	2	fic_1993_25027.txt-1229-13	 	It would be better for me to work myself out to the near edge, on the side I had come in from, but still stay amongst them, and not separate myself out, even if I'd been able to.	57:61	0:178
edge_nn	nn2	1845	1	fic_1845_7342.txt-2-11	 	This can not be regarded as an uncut copy since the edges have been trimmed.	52:57	0:76
edge_nn	nn1	1823	1	fic_1823_7242.txt-911-19	 	said he -- taking the cigar from his mouth, and knocking the ashes from it, over the edge of a wine glass, half full of old Madeira (for these things were	85:89	0:154
edge_nn	nn1	1977	2	fic_1977_16209.txt-1168-13	 	ROSE 'S ROOM AT THE CLINIC -- NIGHT Rose sits quietly on the edge of her bed, her feet dangling over the side not quite touching the floor.	61:65	0:139
edge_nn	nn2	2004	2	fic_2004_30094.txt-108-4	 	He fiddled with the edges of the blotter, and when no questions were forthcoming, he asked, \" Do you wish to keep the properties in Somerset and Essex?	20:25	0:151
edge_nn	nn2	2009	2	fic_2009_36969.txt-198-19	 	Ignoring her, though he couldn't help but be aware of her scowling concern, he pressed the edges of the wound together and wrapped it securely with the cloth, fixing the end in place with the pin Ada handed him then stepped back, pleased with his	91:96	0:246
edge_nn	nn1	1990	2	mag_1990_342665.txt-15-8	 	Gucci should be classic, but with an edge, \" she says. \"	37:41	0:56
edge_nn	nn1	1981	2	mag_1981_297437.txt-5-20	 	Its purpose: to send a red alert to Americans and their allies that the U.S.S.R. is gaining a military edge over the West.	103:107	0:122
edge_nn	nn1	1857	1	mag_1857_556336.txt-377-24	 	Some of the finest peach-trees we have ever known were nurtured beneath the shadow of a tall sycamore; and in walking along the edge of woods, we have often stopped to admire the sturdy limbs and luscious crop of some ancient apple-tree.	128:132	0:237
edge_nn	nn2	1987	2	news_1987_670107.txt-15-34	 	Mr. Powell ' s keen musician ' s ear weaves sound, dialogue and actual musical fragments into the fabric of narratives that might otherwise seem a bit tweedy and even ragged at the edges.	181:186	0:187
edge_nn	nn1	1849	1	fic_1849_7230.txt-2372-16	 	Zephyr, still loosely clinging to his foe, allowed himself to be dragged to the edge of the cliff, the opposite column shouting all the while their yells of triumph, when suddenly he untwisted his legs, threw a back somerset, wrenched himself free from Orson's clutches as he did so, and then stood on his feet at the head of his column, while his antagonist, who, with his whole party, had been tugging with might and main to drag their enemies to the brow of the precipice, now suddenly released from the opposing pressure, toppled backwards upon his men, who all fell one upon another, heels over head, down the steep side of the mount, rolling helter-skelter on each other, till they reached the marsh below, some of them even sousing themselves in the creek at the base of the hill, before the impetus of their descent	80:84	0:823
edge_nn	nn1	2003	2	mag_2003_399610.txt-496-37	 	It was important to call it my own, and my father had agreed that I could, if I made a spillway with my fieldstone dam that would direct the slow trickle away from the lower edge of their gardens below	174:178	0:201
edge_nn	nn1	1835	1	fic_1835_7271.txt-1540-6	 	They sprang forward to the very edge of the sloping ground.	32:36	0:59
edge_nn	nn2	1827	1	nf_1827_747521.txt-195-7	 	it; whereas the upper and under edges of the Roman ogee, being perpendicular to the horizon, the lightest place on its surface will not be lighter than a perpendicular j) lanc surface; nor will it be better relieved in shadow than perpendicular plane surfaces, also in shadow.	32:37	0:276
edge_nn	nn1	1976	2	fic_1976_10617.txt-1820-0	 	edge of104 S T O R M W A R N I N G S T O R M W A R N I N G 105the main hatch cover and held on tight, but the same sea lifted Knorr over the rail.	0:4	0:146
edge_nn	nn2	1835	1	fic_1835_7281.txt-1358-22	 	The waning moon had just risen above the horizon, but was veiled by a mass of dense clouds, their silvered edges just giving the intimation of her sweet presence.	107:112	0:162
edge_nn	nn1	1975	2	fic_1975_10598.txt-6073-22	 	We walked the fifty yards up to a washy-looking razorback, and Tracker pointed to a couple of clear footprints at the edge of a dry claypool. \"	118:122	0:143
edge_nn	nn1	1851	1	nf_1851_747930.txt-141-2	 	When the edging is planted, let any inequalities of the top be cut as even and neat as possible, with a pair of shears.	9:15	0:119
edge_nn	nn2	1858	1	mag_1858_566917.txt-85-28	 	Besides the distinctive common faith ' of evangelical Christians, Spurgeon preaches Calvinism too, sometimes ultra Calvinism, as it will be called, with all its edges and points, but in his use it has so much vitality that it may be accepted for the theology of the feelings ' by many who would question it	161:166	0:306
edge_nn	nn1	1855	1	fic_1855_2965.txt-2805-21	 	It was a wonder that both did not tumble out of bed that night; for each slept upon the extreme edge of the mattress, as far as possible from the other.	96:100	0:152
edge_nn	nn1	1856	1	fic_1856_1552.txt-7346-40	 	He had only to stimulate her mind into bolder exercise -- to conduct it to topics of the utmost hardihood -- to inspire that sort of moral recklessness which some people call courage -- which delights to sport along the edge of the precipice, and to summon audacious spirits from the great yawning gulfs which lie below.	220:224	0:320
edge_nn	nn2	1845	1	fic_1845_622.txt-3438-27	 	Before the door stood two lofty posts, connected at the top by a beam, from which was suspended an enormous sign, ornamented around its edges with certain curious carvings in pine boards, and on its faces loaded with Masonic emblems.	136:141	0:233
edge_nn	nn1	1999	2	mag_1999_403149.txt-73-11	 	His determination to use every minute productively gave him a major edge in researching stocks.	68:72	0:95
edge_nn	nn1	1857	1	mag_1857_556336.txt-410-16	 	A close fence for a few years will secure the most tender fruit-trees on the very edge of an ocean cliff.	82:86	0:105
edge_nn	nn1	1820	1	nf_1820_753470.txt-2701-5	 	We therefore continued along the edge of those valleys, our progress much impeded by the vast trunks of fallen trees in a state of decay, some of which were upwards of one hundred and fifty feet long, without a branch, as straight as an arrow, and from three to eight and ten feet in diameter.	33:37	0:293
edge_nn	nn1	1987	2	fic_1987_23990.txt-44-12	 	I sensed their bad intent as they passed us, an unpleasant edge of excitement in their looks and greetings.	59:63	0:107
edge_nn	nn1	1823	1	fic_1823_7249.txt-942-61	 	I looked a moment though I was hotly engaged with two good swordsmen, in the expectation of seeing him fall; but, in a twinkling, he was out of sight, his blade rattling like hail, about the bayonets that hedged him in, as he passed in a circle of incessant fire, giving point and edge, at the same moment.	281:285	0:306
edge_nn	nn1	1967	2	fic_1967_780080.txt-3522-12	 	Curiosity made him step forward and extend his hand out beyond the edge of his position.	67:71	0:88
edge_nn	nn1	2008	2	fic_2008_36258.txt-35-3	 	elegantly on the edge of the woods, July also saw no reason to deny to the creature the possibility of acting without a compelling motivation.	17:21	0:142
edge_nn	nn2	1851	1	fic_1851_746.txt-6372-1	 	The edges of these bones are fringed with hairy fibres, through which the Right Whale strains the water, and in whose intricacies he retains the small	4:9	0:150
edge_nn	nn1	1985	2	news_1985_671429.txt-20-24	 	I prefer the rainbow of brightly colored clothes, the gleam of complicated gadgets, the grimace of rugged athletes out there at the edge of their endurance.	132:136	0:156
