identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib15650837_18950821_146391_193_0004_alto.xml-57-16	bib13506739_18110821_144030_193_0004_alto.xml-6-41	Benjamin	1.0	 	2023-07-02 13:12:33.509	medium
bib15761097_18950423_145020_48_0004_alto.xml-2-0	bib15650814_18950723_146365_169_0003_alto.xml-78-19	Benjamin	1.0	 	2023-07-02 13:14:30.533	medium
bib15650837_17900130_146391_9_0002_alto.xml-2-3	bib11653811_19000402_145317_51_0003_alto.xml-104-12	Benjamin	3.0	 	2023-07-02 13:15:04.769	medium
bib19225758_18950119_144022_16_0006_alto.xml-112-13	bib15873371_18950802_145112_207_0002_alto.xml-8-49	Benjamin	4.0	 	2023-07-02 13:15:39.038	medium
bib11653828_17980807_144028_179_0001_alto.xml-1-29	bib19227291_18211107_145289_45_0001_alto.xml-9-0	Benjamin	1.0	 	2023-07-02 13:16:28.172	medium
bib11653823_18270531_144010_125_0002_alto.xml-0-7	bib11653811_18971124_145317_182_0001_alto.xml-7-7	Benjamin	1.0	 	2023-07-02 13:16:53.353	medium
bib11653811_18980513_145317_72_0002_alto.xml-39-15	bib19277301_18950701_145146_53_0003_alto.xml-41-2	Benjamin	2.0	 	2023-07-02 13:17:34.277	medium
bib19227462_18951010_147640_236_0003_alto.xml-112-14	bib13506739_17980830_144030_199_0006_alto.xml-9-19	Benjamin	1.0	 	2023-07-02 13:18:15.565	medium
bib19225758_18950803_144022_178_0006_alto.xml-147-4	bib11653811_19000402_145317_51_0003_alto.xml-104-12	Benjamin	1.0	 	2023-07-02 13:18:46.14	medium
bib19277277_18290604_147682_127_0001_alto.xml-8-0	bib15873371_18951104_145112_301_0004_alto.xml-107-1	Benjamin	1.0	 	2023-07-02 13:19:44.379	medium
bib15760690_18950227_145050_33_0003_alto.xml-70-3	bib19225772_17990329_148004_36_0003_alto.xml-8-6	Benjamin	1.0	 	2023-07-02 13:20:20.582	medium
bib11653811_19030703_145317_100_0004_alto.xml-49-42	bib19225772_18140315_148004_31_0004_alto.xml-14-10	Benjamin	2.0	 	2023-07-02 13:21:05.619	medium
bib11653806_18030527_145120_55_0004_alto.xml-12-6	bib11653828_18110911_144028_211_0003_alto.xml-3-11	Benjamin	1.0	 	2023-07-02 13:21:47.73	medium
bib13506739_17990613_144030_132_0008_alto.xml-6-56	bib19277277_18950403_147683_91_0005_alto.xml-97-42	Benjamin	3.0	 	2023-07-02 13:23:49.102	medium
bib19277349_18950309_147403_32_0003_alto.xml-112-6	bib19225758_18950506_144022_104_0005_alto.xml-220-14	Benjamin	1.0	 	2023-07-02 13:24:36.985	medium
bib15873371_18950121_145112_20_0002_alto.xml-49-32	bib19227291_18951224_145289_153_0002_alto.xml-116-19	Benjamin	1.0	 	2023-07-02 13:24:53.473	medium
bib19225772_17941219_148003_101_0003_alto.xml-3-88	bib11653806_18130305_145120_25_0002_alto.xml-0-5	Benjamin	1.0	 	2023-07-02 13:25:14.422	medium
bib11653828_18050222_144028_45_0003_alto.xml-0-12	bib13506739_18181003_144030_228_0002_alto.xml-5-8	Benjamin	2.0	 	2023-07-02 13:25:50.652	medium
bib15650837_17970527_146391_42_0004_alto.xml-3-31	bib19277277_18300402_147682_76_0002_alto.xml-23-33	Benjamin	4.0	 	2023-07-02 13:26:20.602	medium
bib11653806_18030527_145120_55_0004_alto.xml-12-6	bib13506739_18040702_144030_150_0003_alto.xml-0-5	Benjamin	3.0	 	2023-07-02 13:26:50.376	medium
bib11653838_19000831_147024_35_0004_alto.xml-58-4	bib11653806_18030504_145120_46_0003_alto.xml-4-5	Benjamin	1.0	It is \"medlet\", not \"mediet\" in Sentence 1.	2023-07-02 13:29:05.282	medium
bib13506739_17990613_144030_132_0008_alto.xml-6-56	bib11653828_18050427_144028_96_0003_alto.xml-10-33	Benjamin	1.0	 	2023-07-02 13:29:32.182	medium
bib19277346_18140226_147394_10_0001_alto.xml-4-44	bib15873371_18950802_145112_207_0002_alto.xml-14-31	Benjamin	1.0	 	2023-07-02 13:29:44.525	medium
bib15761570_18950403_146176_58_0003_alto.xml-113-3	bib11653825_18190130_145134_13_0002_alto.xml-3-8	Benjamin	1.0	 	2023-07-02 13:29:59.823	medium
