lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
vorweisen	 	1979	2	26120215_1979_06_05_01_137.tcf.xml-352-7	 	nen unter Beweis stellte und künstlerisch Beachtliches vorweisen konnte.	55:64	0:72
vorweisen	 	1970	2	2532889X_1970-03-26_01_175.tcf.xml-7-5	 	nie Teilnehmerkarte ist beim Einlaß vorzuweisen.	36:47	0:48
vorweisen	 	1975	2	2532889X_1975-05-08_01_074.tcf.xml-5-10	 	Die Teilnehmerkarte ist in Verbindung mit dem Personalausweis beim Einlaß vorzuweisen,	74:85	0:86
vorweisen	 	1848	1	nn_nrhz080_1848-657-13	 	Dieser Befehl muß sofort oder spätestens innerhalb der nächsten 24 Stunden dem Betheiligten vorgewiesen werden.	92:103	0:111
vorweisen	 	1848	1	nn_nrhz155b_1848-213-14	 	Das Begleitschreiben sagt, „daß die Partei des Staatsministeriums nur 700 kontrolirte Unterschriften vorzuweisen hat, und daß wir förmlich gegen alle anderen theils erschlichenen, theils durch moralischen Einfluß erpreßten, wenigstens gegen die Vereinbarung ohne Beaufsichtigung erlangten Unterschriften jener Partei protestiren.“	101:112	0:330
vorweisen	 	1982	2	26120215_1982_10_21_01_168.tcf.xml-5-5	 	Die Teilnehmerkarte ist beim Einlaß vorzuweisen.	36:47	0:48
vorweisen	 	1975	2	2532889X_1975-12-13_01_349.tcf.xml-4-10	 	Die Teilnehmerkarte ist in Verbindung mit dem Personalausweis beim Einlaß vorzuweisen.	74:85	0:86
vorweisen	 	1892	1	brunner_rechtsgeschichte02_1892-11402-5	 	Vermag der Beklagte eine Urkunde vorzuweisen, so ist er nach fränkischem Rechte in seiner Antwort von dem Zwange des Antwortformalismus befreit.	33:44	0:144
vorweisen	 	1970	2	2532889X_1970-02-09_01_168.tcf.xml-11-7	 	Keiner vor ihm konnte Noten bis 5,8 vorweisen, und die wenigsten, die nach ihm starteten, kamen auch nur annähernd an seine Leistungen heran.	36:45	0:141
vorweisen	 	1848	1	nn_nrhz067_1848-62-16	 	Dieser Befehl muß im Augenblick der Verhaftung oder spätestens innerhalb der nächsten 24 Stunden dem Verhafteten vorgewiesen werden.	113:124	0:132
vorweisen	 	1975	2	26120215_1975_05_22_01_231.tcf.xml-3-10	 	Die Teilnehmerkarte ist in Verbindung mit dem Personalausweis beim Einlaß vorzuweisen,	74:85	0:86
vorweisen	 	1882	1	keller_sinngedicht_1882-1590-20	 	Da kam Schwendtner mit der Pistole in der Hand und verlangte, ich sollte „seinen Jungen“ der Gesellschaft vorweisen.	106:115	0:116
vorweisen	 	1894	1	treitschke_geschichte05_1894-9817-34	 	Als die Minister dann gar behaupteten, die Krone hätte keine Garantie für die preußische Bank übernommen, da verwickelten sie sich in beschämende Widersprüche; auf der Banknote, die ein Abgeordneter entrüstet vorwies, stand doch deutlich zu lesen, daß sie von allen Behörden statt baaren Geldes angenommen werden mußte, und der König selbst sah sich genöthigt, dies zur Beruhigung seiner getreuen Stände nochmals zu bestätigen.	209:216	0:427
vorweisen	 	1860	1	humboldt_aequinoktial04_1859-949-29	 	Da die überschwengliche Freigebigkeit der Natur in diesen Himmelsstrichen für die Hauptursache gilt, warum die Menschen so träge sind, so vergessen die Missionäre, wenn sie Marimahemden vorweisen, nie die Bemerkung zu machen, „in den Wäldern am Orinoko wachsen die Kleider fertig auf den Bäumen“.	186:195	0:296
vorweisen	 	1892	1	brunner_rechtsgeschichte02_1892-8116-43	 	Dieses Konstatieren des Wortbruches hiess abiectire, iactare, iectiscere, iectitio und war eine formelle Handlung, die vermutlich darin bestand, dass der Gegner des Säumigen oder des Beweisfälligen die festuca, durch welche dieser das Gelöbnis gegeben hatte, öffentlich vorwies und die Nichterfüllung des Versprechens kundgab, indem er die festuca von sich warf (daher iactare, iectitio).	270:277	0:388
vorweisen	 	1879	1	buechner_werke_1879-1466-19	 	Der sechzehnjährige Knabe machte sich beherzt auf den Weg, ward aber, als er im Arresthause die Vorladung vorwies, nicht vor den fremden Beamten geführt, sondern zufällig vor einen Darmstädter Richter, welcher die Brüder sehr genau kannte, da Dr. Büchner sein Hausarzt war.	106:113	0:273
vorweisen	 	1979	2	2532889X_1979-08-02_01_086.tcf.xml-14-18	 	Bei der Spartakiade habe die Sowjetunion bei der Breite ihres Sports allein etwa 15 Anwärter auf den Sieg vorzuweisen.	106:117	0:118
vorweisen	 	1989	2	2532889X_1989-08-24_01_034.tcf.xml-5-8	 	Gegen den Kraftfahrer, der außerdem keinen Führerschein vorweisen konnte, ist durch die Deutsche Volkspolizei ein Ordnungsstrafverfahren eingeleitet worden.	56:65	0:156
vorweisen	 	1968	2	26120215_1968_10_02_01_234.tcf.xml-3-12	 	Zweisprachig aufgewachsen, kann der Schauspieler schon beachtliche Erfolge an französischen Bühnen vorweisen.	99:108	0:109
vorweisen	 	1984	2	26120215_1984_11_15_01_278.tcf.xml-4-5	 	Die Teilnehmerkarte ist beim Einlaß vorzuweisen.	36:47	0:48
vorweisen	 	1896	1	nn_badener101_1896-272-11	 	Es wird wohl wenige Vereine geben, welche einen solchen Fahnenschmuck vorweisen können, und es ist zugleich ein Zeichen, wie im Sachsenlande die Veteranen geehrt werden.	70:79	0:169
vorweisen	 	1986	2	2532889X_1986-08-08_01_056.tcf.xml-9-16	 	Gute Ergebnisse können die Röbeler auch beim Erfassen von Fellen, Honig sowie Enten-und Gänsefedern vorweisen.	100:109	0:110
vorweisen	 	1848	1	nn_nrhz082_1848-513-18	 	Hierauf interpellirte der Abg. Smolka den Minister Dobblhof, indem er einen amtlichen Erlaß des Kreisamtes zu Zolkiem vorwies, wonach dieses auf eine Verfügung des Landesguberniums vom 29. Juni erklärt, daß es den Nationalgarden nicht erlaubt sei, außer ihrem Orte Waffen und Uniformen zu tragen, und daß ferner die Ausweiskarten der Kommandanten nicht als Legitimationsdokumente gelten sollen.	118:125	0:394
vorweisen	 	1984	2	26120215_1984_05_28_01_028.tcf.xml-6-14	 	Zu den guten Ergebnissen, die sie im Friedensaufgebot der FDJ als ihren Festivalbeitrag vorweisen können, gehört unter anderem ein von Studenten der Humboldt-Uni gemeinsam mit dem KWO entwickeltes Lichtleiterschweißgerät, das den Weltstand mitbestimmt.	88:97	0:252
vorweisen	 	1987	2	2532889X_1987-04-24_01_149.tcf.xml-127-27	 	Dank ihrer Arbeit, ihrer oftmals über das normale Maß hinausgehenden Einsatzbereitschaft, die Politik unserer Partei in die Tat umzusetzen, hat unsere Republik eine Bilanz vorzuweisen, die sich sehen lassen kann.	172:183	0:212
vorweisen	 	1835	1	baumstark_encyclopaedie_1835-18542-91	 	Denn die Schattenseite des Ersteren zeigt Getheiltheit des Willens und der Meinungen, Mangel an Energie und wirklicher Verantwortlichkeit, großen Aufwand, Berathung unnützer und unwichtiger Dinge mit Hintansetzung anderer, Ermüdung der Aufmerksamkeit durch Relationen, Ungründlichkeit der Erörterungen, Mangel an Einheit der Anordnungen, schleppender Geschäftsgang, Schlendrian und Pedanterie, während seine Lichtseite Gelegenheit zu vielseitiger Erörterung, Strenge der Controle der einzelnen Arbeiter, Beschränkung ihrer Willkühr, Garantie und Integrität ihrer Handlungen, Concentrirung der Geschäfte, Verminderung von Mißgriffen, Widersprüchen und Collisionen vorweist.	663:671	0:672
vorweisen	 	1987	2	2532889X_1987-11-09_01_175.tcf.xml-14-13	 	Wissenschaftler der Charite haben bei der Erforschung und Behandlung dieser Hauterkrankung 'Vielbeachtete Ergebnisse vorzuweisen (Donnerstag, 19 Uhr, Fernsehen 1)	117:128	0:162
vorweisen	 	1978	2	26120215_1978_10_16_01_071.tcf.xml-20-13	 	Im Spitzenspiel mit dem SC Leipzig, der bis dahin eine makellose Erfolgsserie vorweisen konnte, nutzten die Elbestädter konsequent ihren Heimvorteil.	78:87	0:149
vorweisen	 	1821	1	nettelbeck_lebensbeschreibung02_1821-1374-17	 	Beide wurden sofort gerufen; und es bedurfte nur, daß der Lootse vom Texel seine Ordonnanz vorwies, um darnach seine Forderung nach Fug und Billigkeit auszumitteln.	91:98	0:164
vorweisen	 	1889	1	raabe_odfeld_1889-604-46	 	Gott sei's geschworen, ich wünsche ihnen nichts Schlimmes, als was sie täglich schon auf dem Nacken haben; ich sehe es ja wohl ein, sie haben ihr Theil auf dem Nacken; aber die blauen Mäler, die ich Ihm am Leibe vorweisen kann, die kann ich mir draußen als Soldatenfrau pläsirlicher holen, wie Tausend andere, die hier und bei mir zu Hause durchgezogen sind auf dem Bagagewagen und in Sicherheit gesungen haben, wo wir mit gezausten Haaren und Kleidern ihnen nachgeheult haben.	212:221	0:477
vorweisen	 	1971	2	2532889X_1971-06-13_01_028.tcf.xml-18-16	 	Parteitag Ihrer kämpferischen Avantgarde, der Sozialistischen Einheitspartei Deutschlands, bedeutende Errungenschaften beim Aufbau des Soziallsmus vorzuweisen.\" Es	147:158	0:163
vorweisen	 	1964	2	26120215_1964_06_07_01_426.tcf.xml-33-18	 	Bei Vorhandensein chemischer Kampfstoffe wird automatisch ein akustisches und ein Lichtsignal ausgelöst und dadurch auf die bestehende Gefahr vorwiesen.	142:151	0:152
