lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
zersetzen	VVFIN	1883	1	dilthey_geisteswissenschaften_1883-4629-18	 	Indem aber in der Metaphysik selber das Prinzip des Willens, ja der Willkür geltend gemacht wird, zersetzt der hierin liegende Widerspruch zwischen der Form und dem Inhalt die Metaphysik, deren Wesen deduktive Folgerichtigkeit ist, und er erscheint in Occam und seinen Schülern als Frivolität und als Flucht in ein supranaturales asylum ignorantiae, während zugleich ein tiefer Ernst in der Behauptung des großen Prinzips der Willenspersönlichkeit und ihrer freien Macht gegenüber aller Autorität und aller leeren Abstraktion in Occam sich geltend macht.	98:106	0:554
zersetzen	VVPP	1970	2	2532889X_1970-03-17_01_079.tcf.xml-19-15	 	Mit neuen Mitteln und Methoden sollten die sozialistischen Staaten voneinander isoliert, von innen her zersetzt und nacheinander aus der sozialistischen Gemeinschaft herausgelöst werden.	103:111	0:186
zersetzen	VVINF	1855	1	buechner_kraft_1855-1437-28	 	Den thierischen Magen kann man mit vollkommenem Recht als eine chemische Retorte bezeichnen, in welcher die sich begegnenden Stoffe ganz nach den allgemeinen Gesetzen chemischer Affinität sich zersetzen, verbinden u. s. w. Ein in den Magen eingebrachtes Gift kann durch ein chemisches Gegengift in derselben Weise entkräftet werden, als hätte man diese Procedur außerhalb desselben vorgenommen; ein krankhafter, in demselben angesammelter Stoff wird durch eingeführte chemische Mittel ebenso neutralisirt und zerstört, wie in jedem beliebigen Gefäß.	193:202	0:549
zersetzen	VVINF	1948	2	26120215_1948_09_11_01_125.tcf.xml-151-10	 	Er versucht mit besonderer Zähigkeit, die deutsche Arbeiterklasse zu zersetzen, well ihm Deutschland morgen als Aufmarschplatz, die deutsche Arbeiterklasse morgen au Werkzeug zum Überfall auf die Länder dienen soll, die den Sozialismus verwirklicht haben oder auf dem Wege zu ihm sind.	69:78	0:285
zersetzen	VVFIN	1987	2	2532889X_1987-10-24_01_365.tcf.xml-5-1	 	Sie zersetzen sich an der Luft bei einer Temperatur von 240 °C.	4:13	0:63
zersetzen	VVINF	1828	1	patzig_msgermfol841842_1828-4674-1	 	Pflanzen zersetzen u. vermindern die Kohlensäure, die Thiere grade hervorbringen.	9:18	0:81
zersetzen	VVINF	1970	2	2532889X_1970-01-31_01_086.tcf.xml-14-11	 	Die feindlichen Kräfte hätten das Ziel verfolgt, die KPTsch zu zersetzen, die positiven Ergebnisse der 25jährigen Arbeit der Partei und des Volkes zu verunglimpfen und die sozialistischen Ideale zu beschmutzen.	63:72	0:210
zersetzen	VVPP	1855	1	quenstedt_mineralogie_1854-7202-21	 	Das Experiment ist sehr auffallend, da bei gewöhnlichem Luftdruck der Prozeß bekanntlich umgekehrt ist: der Dolomit wird durch Gypswasser zersetzt, es bildet sich Ċa C̈ und Bitterwasser geht fort, weil Bittersalz löslicher als Gyps ist.	138:146	0:237
zersetzen	VVFIN	1832	1	brandes_naturlehre03_1832-3271-13	 	Eisen wird in einem nur wenig gesäuerten Wasser oxydirt, und das Wasser zersetzt sich; bringt man aber Zink in Berührung mit Eisen in das Wasser, so bleibt das Eisen unangegriffen, weil das Oxygen sich nun dem Zink zu wendet.	72:80	0:225
zersetzen	VVINF	1981	2	26120215_1981_10_20_01_064.tcf.xml-32-26	 	Es ist höchste Zeit, daß man auf dem gewissen Schubkarren keine Menschen mehr herausfährt, sondern Erscheinungen ausräumt, die das gesellschaftliche und wirtschaftliche Leben zersetzen — die antisozialistische Zügellosigkeit, die Diktatur der Demagogen, die Verletzung des Rechtes und das negative Verhältnis zu erfolgreichem Handeln.	175:184	0:334
zersetzen	VVPP	1983	2	26120215_1983_04_23_01_133.tcf.xml-3-7	 	Das geplante Experiment — Kalziumkarbonat sollte thermisch zersetzt werden liegt schon hinter den Schulern dieser achten Klasse.	59:67	0:128
zersetzen	VVFIN	1962	2	26120215_1962_09_28_01_268.tcf.xml-14-2	 	Lügen, zersetzen, Unruhe stiften, das Vertrauen der Bevölkerung der DDR zu ihrem Staat untergraben — das ist die Aufgabe des RIAS.	7:16	0:130
zersetzen	VVINF	1970	2	26120215_1970_08_16_01_038.tcf.xml-40-25	 	Das ist um so notwendiger, als die Leugnung der Allgemeinsultigkeit des auf dem Leninismus beruhenden Grundmodells des Sozialismus bezweckt, den proletarischen Internationalismus zu zersetzen und den bürgerlichen Nationalismus als ideologisches Sprengmittel gegen die Einheit des sozialistischen Weltsvstems einzusetzen, wie es überhaupt charakteristisch ist, daß auf ideologischem Gebiet neben offenen antikommunistischen Methoden immer mehr flexiblere, verfeinerte zur Verfälschung des Sozialismus zum Einsatz kommen.	182:191	0:519
zersetzen	VVFIN	1955	2	26120215_1955_12_17_01_303.tcf.xml-41-23	 	Aus diesen wenigen Ausführungen ist bereits zu erkennen, wie unsinnig das Gerede einiger ewig Gestrigen ist, der Sozialismus sei ehefeindlich und zersetze die Familie.	146:154	0:167
zersetzen	VVINF	1952	2	2532889X_1952-08-21_01_058.tcf.xml-2-15	 	Durch das Gift des Kosmopolitismus versuchen sie, die nationale Kultur und Kunst Österreichs zu zersetzen und zu zerstören.	96:105	0:123
zersetzen	VVFIN	1969	2	2532889X_1969-08-20_01_110.tcf.xml-64-28	 	Das Ergebnis der mehrtägigen Beratung war der Hinweis auf alle Krisenerscheinungen, die sich bei uns zeigten, auf die Kräfte, die die sozialistische Gesellschaft spalteten und zersetzten, auf die Bestrebungen zur Liquidierung der Rolle der Partei, der Stellung des werktätigen Volkes.	176:186	0:284
zersetzen	VVINF	1983	2	26120215_1983_02_05_01_092.tcf.xml-71-52	 	So / alismüs und Kultur sind in der wahren Bedeutung des Wortes unverenbar mit der Pseudokultur der kapitalistischen, demoralisierenden Ausbeutergesellschaft, die darauf aus ist. alle sozialen Aktivitäten der Werktätigen zu vernichten, und dabei ist. alle Moril und das Gefühl der Klassensolidantät in den Ländern des Kapitals zu zersetzen.	330:339	0:340
zersetzen	VVPP	1847	1	hartwig_erziehung_1847-662-28	 	Die Mischung muß jedesmal frisch bereitet werden, sie darf nie längere Zeit stehen, erkalten, und wieder erwärmt werden, weil sie hierdurch gar zu leicht zersetzt wird.	154:162	0:168
zersetzen	VVINF	1948	2	2532889X_1948-10-15_01_038.tcf.xml-20-16	 	sie wollen die Parteibetriebseruppe in der Richtung des Kampfes gegen die SU beeinflussen, die Partei zersetzen und in den Augen der sowjetischen Besatzungsmacht diskreditieren.	102:111	0:177
