identifier1	identifier2	annotator	judgment	comment	lemma
arnimb_guenderode02_1840-482-31	brehm_thierleben03_1866-17462-9	Zori	2	 	packen
steinen_naturvoelker_1894-8234-1	holz_hamlet_1889-366-24	Zori	0	 	packen
2532889X_1969-02-14_01_122.tcf.xml-9-40	freud_hysterie_1895-1886-15	Zori	0	 	packen
2532889X_1947-07-22_01_135.tcf.xml-13-2	26120215_1989_05_05_01_171.tcf.xml-12-16	Zori	0	 	packen
2532889X_1990-09-13_01_217.tcf.xml-23-4	2532889X_1984-03-17_01_322.tcf.xml-7-6	Zori	0	 	packen
2532889X_1981-12-21_01_037.tcf.xml-2-36	26120215_1953_03_22_01_033.tcf.xml-48-1	Zori	3	 	packen
engel_poetik_1806-2198-5	2532889X_1948-12-28_01_044.tcf.xml-63-19	Zori	0	 	packen
2532889X_1960-06-08_01_035.tcf.xml-29-19	grimm_maerchen01_1850-2784-14	Zori	3	 	packen
conradi_adam_1889-6908-36	26120215_1971_07_04_01_404.tcf.xml-16-15	Zori	3	 	packen
26120215_1983_01_27_01_212.tcf.xml-35-7	grimm_maerchen01_1850-4604-25	Zori	2	 	packen
bauer_buehnenleben_1871-3550-8	nn_nrhz293_1849-103-9	Zori	4	 	packen
freud_hysterie_1895-1886-15	nn_nrhz237i_1849-481-20	Zori	2	 	packen
erbkam_tagebuch01_1842-2710-1	26120215_1960_05_11_01_125.tcf.xml-33-10	Zori	0	 	packen
kretzer_timpe_1888-2578-1	grimm_maerchen01_1857-279-29	Zori	4	 	packen
brehm_thierleben05_1869-5303-45	2532889X_1960-07-18_01_060.tcf.xml-11-40	Zori	3	 	packen
grimm_maerchen01_1850-2784-14	brehm_thierleben01_1864-5964-17	Zori	4	 	packen
26120215_1979_12_27_01_295.tcf.xml-65-19	2532889X_1983-07-09_01_079.tcf.xml-21-6	Zori	4	 	packen
26120215_1965_06_08_01_131.tcf.xml-90-1	grimm_maerchen01_1850-4604-25	Zori	4	 	packen
2532889X_1967-04-12_01_151.tcf.xml-2-17	hoffmann_elixiere01_1815-1356-6	Zori	3	 	packen
26120215_1973_08_16_01_029.tcf.xml-2-31	2532889X_1986-07-15_01_119.tcf.xml-13-5	Zori	4	 	packen
2532889X_1963-07-21_01_154.tcf.xml-1-3	2532889X_1970-12-22_01_103.tcf.xml-16-22	Zori	0	 	packen
hoffmann_nachtstuecke02_1817-1415-1	bauer_buehnenleben_1871-477-1	Zori	0	 	packen
2532889X_1983-07-09_01_079.tcf.xml-21-6	26120215_1960_12_28_01_106.tcf.xml-23-21	Zori	4	 	packen
26120215_1965_05_23_01_154.tcf.xml-43-10	26120215_1971_07_04_01_404.tcf.xml-16-15	Zori	1	 	packen
hoffmann_floh_1822-536-22	erbkam_tagebuch02_1843-3850-4	Zori	2	 	packen
26120215_1971_11_16_01_287.tcf.xml-31-9	brehm_thierleben02_1865-1164-11	Zori	4	 	packen
beck_eisen02_1895-15644-8	2532889X_1962-07-27_01_128.tcf.xml-21-12	Zori	3	 	packen
26120215_1946_10_17_01_032.tcf.xml-14-16	hc_1040105_1848-468-28	Zori	1	 	packen
2532889X_1947-07-22_01_135.tcf.xml-13-2	2532889X_1958-06-03_01_090.tcf.xml-4-12	FWetzel	3	 	packen
26120215_1961_01_22_01_253.tcf.xml-10-20	2532889X_1960-07-10_01_107.tcf.xml-23-2	FWetzel	2	 	packen
nn_nrhz114_1848-350-17	26120215_1957_11_13_01_204.tcf.xml-19-4	FWetzel	3	 	packen
