identifier1	identifier2	annotator	judgment	comment	lemma
fic_1839_1484.txt-4093-2	fic_2008_36315.txt-164-3	amariac810	2	 	head_nn
fic_1972_10562.txt-1016-11	fic_1833_7321.txt-1536-39	emmaccaulfield	4	 	head_nn
fic_2002_32317.txt-88-10	fic_1960_4237.txt-972-21	emmaccaulfield	4	 	head_nn
fic_1999_44266.txt-98-11	fic_2009_36730.txt-97-4	emmaccaulfield	4	 	head_nn
fic_1839_1484.txt-4093-2	fic_2001_46468.txt-398-5	emmaccaulfield	2	 	head_nn
fic_1820_7562.txt-1034-23	fic_1843_7208.txt-11402-12	emmaccaulfield	2	 	head_nn
nf_1844_755204.txt-2192-26	mag_1989_487001.txt-10-3	emmaccaulfield	2	 	head_nn
fic_1822_7243.txt-5957-14	fic_1857_9075.txt-2869-40	emmaccaulfield	4	 	head_nn
fic_1834_7012.txt-2278-39	fic_1835_7143.txt-79-1	emmaccaulfield	1	 	head_nn
fic_1996_41959.txt-560-7	fic_2002_32359.txt-113-3	emmaccaulfield	4	 	head_nn
fic_2006_28933.txt-87-3	fic_1998_29903.txt-225-3	emmaccaulfield	4	 	head_nn
fic_1857_2618.txt-2198-18	fic_2000_52602.txt-309-14	emmaccaulfield	4	 	head_nn
fic_1823_7242.txt-3563-1	nf_1856_769051.txt-967-13	emmaccaulfield	3	 	head_nn
fic_1835_7172.txt-8982-29	fic_1975_23905.txt-414-16	emmaccaulfield	4	 	head_nn
fic_1835_7172.txt-8982-29	fic_1853_2454.txt-1336-28	emmaccaulfield	4	 	head_nn
fic_1962_10427.txt-1046-8	fic_1985_10727.txt-1284-3	emmaccaulfield	3	 	head_nn
nf_1856_769051.txt-967-13	mag_1977_490789.txt-213-7	emmaccaulfield	4	 	head_nn
nf_1994_773479.txt-243-16	mag_1972_251489.txt-0-4	amariac810	2	 	head_nn
fic_1972_10563.txt-2281-36	mag_1827_553785.txt-262-23	amariac810	2	 	head_nn
fic_1998_29903.txt-225-3	fic_1853_9158.txt-1969-20	amariac810	4	 	head_nn
nf_1849_748137.txt-2020-80	fic_1998_55167.txt-74-29	amariac810	2	 	head_nn
fic_1844_8743.txt-261-25	mag_1993_349934.txt-4-35	amariac810	2	 	head_nn
news_2001_627713.txt-216-10	fic_1845_7316.txt-2994-28	amariac810	2	 	head_nn
fic_1969_10510.txt-3716-13	fic_1859_9216.txt-606-4	amariac810	3	 	head_nn
mag_1974_491423.txt-95-5	mag_1851_555692.txt-205-32	amariac810	4	 	head_nn
fic_1971_10547.txt-2144-5	fic_1860_9072.txt-4335-20	amariac810	2	 	head_nn
fic_1856_3677.txt-3391-1	fic_1998_55167.txt-74-29	amariac810	2	 	head_nn
fic_1975_23905.txt-414-16	fic_2000_39116.txt-91-14	amariac810	4	 	head_nn
fic_1849_7230.txt-1783-21	fic_1839_7048.txt-1346-31	amariac810	2	 	head_nn
nf_1856_755595.txt-146-24	fic_1966_10472.txt-4868-17	amariac810	2	 	head_nn
fic_2009_36655.txt-57-4	fic_1849_7230.txt-1783-21	amariac810	4	 	head_nn
nf_1842_747950.txt-2078-5	fic_2001_55631.txt-253-15	amariac810	2	 	head_nn
fic_1999_44566.txt-709-12	fic_1850_7304.txt-2042-5	amariac810	2	 	head_nn
fic_1842_555.txt-641-14	fic_1824_7037.txt-675-23	amariac810	2	 	head_nn
fic_1856_3677.txt-3391-1	mag_1993_349041.txt-5-18	amariac810	0	 	head_nn
fic_1967_10486.txt-3483-8	fic_1850_7304.txt-2042-5	amariac810	4	 	head_nn
fic_2006_51043.txt-549-26	fic_2009_36730.txt-97-4	amariac810	4	 	head_nn
fic_2009_36730.txt-97-4	fic_1842_555.txt-641-14	amariac810	4	 	head_nn
news_1998_652871.txt-3-9	nf_1845_747928.txt-263-1	amariac810	2	 	head_nn
fic_1850_7171.txt-3289-19	fic_1987_10761.txt-1770-4	amariac810	4	 	head_nn
mag_1858_526597.txt-183-9	fic_1960_4237.txt-972-21	amariac810	3	 	head_nn
mag_1840_586565.txt-1031-27	fic_1832_7176.txt-442-12	amariac810	2	 	head_nn
fic_2006_51529.txt-13-22	fic_1834_7030.txt-1305-4	amariac810	2	 	head_nn
fic_1854_7764.txt-393-11	fic_1977_10631.txt-389-12	amariac810	2	 	head_nn
fic_1845_7162.txt-61-25	mag_1858_526597.txt-183-9	emmaccaulfield	3	 	head_nn
nf_1844_762654.txt-1021-49	mag_1965_431710.txt-522-14	emmaccaulfield	4	 	head_nn
nf_1835_748008.txt-2337-4	fic_1856_3677.txt-3391-1	emmaccaulfield	0	 	head_nn
fic_1827_7270.txt-2565-23	fic_1835_7133.txt-1838-12	emmaccaulfield	4	 	head_nn
fic_1853_9142.txt-2563-13	nf_1856_769051.txt-967-13	emmaccaulfield	4	 	head_nn
fic_2000_52602.txt-309-14	fic_1853_2454.txt-1336-28	emmaccaulfield	4	 	head_nn
fic_1996_41642.txt-493-11	fic_1977_14004.txt-1776-8	emmaccaulfield	2	 	head_nn
fic_1996_41959.txt-560-7	fic_1967_10489.txt-3542-9	amariac810	4	 	head_nn
fic_2002_31369.txt-51-2	fic_1835_7143.txt-79-1	amariac810	2	 	head_nn
mag_1840_586565.txt-1031-27	nf_1986_774269.txt-271-13	amariac810	2	 	head_nn
fic_1851_3336.txt-2406-26	news_1976_732644.txt-37-24	amariac810	2	 	head_nn
fic_1835_7133.txt-1838-12	fic_1847_2352.txt-205-25	amariac810	4	 	head_nn
nf_1986_774269.txt-271-13	fic_2008_36315.txt-164-3	amariac810	0	 	head_nn
nf_1844_762654.txt-1021-49	fic_1851_2538.txt-1907-3	amariac810	3	 	head_nn
