lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
twist_nn	nn1	1985	2	fic_1985_10734.txt-2331-18	 	They went deeper into the prisons, the light from the world without all but lost in the twist of stone and mortar.	88:93	0:114
twist_nn	nn1	1834	1	fic_1834_7047.txt-1090-58	 	Well, thinks I, if things look so to the Gineral, as they do to me threw these specs, I don't wonder so much that he don't always see ' em as other folks do; and then I went to work, lookin into the contrivance; I give one screw a twist one way, and the glasses	231:236	0:261
twist_nn	nn1	1839	1	fic_1839_7336.txt-1218-18	 	said Jones, repeating the words of the other, as he began to assume his old comic twist of features, no, unless you might call him a kettle drummer; for now I think on't when we first came into the house where we found him, he was at it hammer and tongs upon an old brass kettle, making clatter enough to crazy a small nation. '	82:87	0:328
twist_nn	nn1	1834	1	fic_1834_7047.txt-1656-18	 	The Gineral he was stump'd; he look'd at me, and gin his face a twist, and then he look'd in the cup, and shook it.	64:69	0:115
twist_nn	nn1	2000	2	mag_2000_412250.txt-13-12	 	Foiling Malone's plan and finding the treasure just added a unique twist to Troop 124's summercamp outing last July.	67:72	0:116
twist_nn	nn1_vv0	1859	1	nf_1859_749190.txt-558-29	 	passing the weft threads between them by common plyers, delivering them to other plyers on the opposite side; then, after giving them a sideways motion and twist, the threads were repassed back between the next adjoining cords, the meshes being thus tied in the same way as upon pillows by hand.	156:161	0:295
twist_nn	nn1	2001	2	fic_2001_12941.txt-265-8	 	p. 10 KUMAKO Now, this is odd twist in this case.	30:35	0:49
twist_nn	nn2_vvz	2000	2	news_2000_660028.txt-1720-38	 	The movie has a well-meaning message about love and loyalty being the bedrock of real family values, but its good intentions sag as the story trades its air of mischievous comedy for trite sentimentality, arbitrary plot twists, and enough maudlin melodramatics to sustain a tabloid TV series.	220:226	0:292
twist_nn	nn1	2003	2	fic_2003_48245.txt-267-8	 	Half-sister Mommy spoke of her with a hurt twist of her mouth.	43:48	0:62
twist_nn	nn1	1995	2	fic_1995_39237.txt-68-4	 	Because of this new twist of the lover paying the bills, the gossip resurrected itself -- and Alex had to be more self-conscious as he juggled the balloon of honor and the hardball of survival.	20:25	0:193
twist_nn	nn1	1993	2	mag_1993_409617.txt-19-10	 	In its essence, the case provided a distinctly modern twist on the old debate over which influence should be taken more seriously in life, nature or nurture.	54:59	0:157
twist_nn	nn2	1961	2	fic_1961_10406.txt-1786-19	 	that the river, between those two chief points, was nearly 1,400 miles long, with all its twists and turns -- some of them doubling back so that a body traveled due north at times -- and that the old flatboaters required 120 days to pole up, after a float down.	90:96	0:261
