lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
prop_nn	nn1	1994	2	fic_1994_41307.txt-396-16	 	, and wore a skin hat and carried a club or a sword as a professional prop.	70:74	0:75
prop_nn	nn1_<sub>	1856	1	mag_1856_566737.txt-82-13	 	// To answer the question here stated and to solve the problem thus prop * sed, is in great part the object of the remainder of the volume.	68:72	0:139
prop_nn	nn2	1834	1	nf_1834_747938.txt-1199-21	 	Notwithstanding the great luxuriance of the vines, and the strength and length of their shoots, still no supports nor props were used.	118:123	0:134
prop_nn	nn1	1823	1	fic_1823_7247.txt-95-5	 	No matter how weak the prop, upon which we have leaned -- withdraw it suddenly, and we are apt to fall; -- no matter how frail may have been the tenure, by which we were upheld, though it were the untwisted flax in the blaze -- or the tangled gossamer -- if abruptly parted, we are in peril.	23:27	0:291
prop_nn	nn1	1836	1	fic_1836_7052.txt-4150-12	 	Cheerful, pious, dutiful, and industrious; she was the prop of the paternal tree, that had not afforded her a due portion of its protecting influence, when its stem was vigorous, and its branches flourishing.	55:59	0:208
prop_nn	nn2	1843	1	fic_1843_7208.txt-12595-1	 	and props of the undertaking -- but few tributes to pay.	4:9	0:56
prop_nn	nn2	1970	2	mag_1970_251882.txt-11-14	 	At the auction of 46 years ' and a rumored $1,600,000 worth of Metro-Goldwyn-Mayer props and costumes, Debbie Reynolds tried to buy her own brass bed from The Unsinkable Molly Brown, but just didn't want to go as high as $3,000.	83:88	0:228
prop_nn	nn1	1846	1	mag_1846_555367.txt-455-36	 	A portion of Europe, and ten of our own States, have been constrained to unsay what bad always been said before, and have tbrown away at once half the efficacy and the strongest prop of the honored institution.	178:182	0:210
prop_nn	nn1	1827	1	nf_1827_748059.txt-1596-7	 	There is no difficulty in conceiving the prop A to be the fulcrum, W the weight, and E the power (1 80).	41:45	0:104
prop_nn	nn2	1835	1	fic_1835_7272.txt-3286-11	 	\" I have not mentioned them; but they are main props.	47:52	0:53
prop_nn	nn2	1860	1	mag_1860_506638.txt-138-42	 	In this case the superincumbent earth or rock is taken off, and he proceeds to remove the ore by successive terraces, guarding against the crumbling or falling in of the sides by giving them a proper slope, or by props of timber.	213:218	0:229
prop_nn	nn1	1853	1	fic_1853_2454.txt-2315-76	 	they seen a mother, lately widowed, and four young sisters, around the bier where lay the remains of the murdered son and brother -- their only hope next to God -- he for whom they were all toiling early and late, that, when his education was completed, he in turn might work for them, had they heard that mother's cry for strength, now that her last earthly prop was thus rudely snatched away, they would have found food for pity there.	359:363	0:437
prop_nn	nn2	1964	2	mag_1964_271036.txt-5-8	 	When they all are pulling together, the props should generate enough direct lift to raise the plane vertically.	40:45	0:111
prop_nn	nn2	1981	2	nf_1981_774121.txt-2116-7	 	Watch people straighten their clothes, and props such as chairs, when guests knock on the door.	43:48	0:95
prop_nn	nn2	1992	2	mag_1992_408689.txt-121-25	 	Occupational therapists can teach an impaired person how to brush his teeth again or cook, and devise solutions to other problems by using such props as oversize buttons and grab bars for bathtubs.	144:149	0:197
prop_nn	nn2	1980	2	fic_1980_780027.txt-1411-7	 	I 'm allowed to help with the props sometimes, but my wife insists on making the puppets totally by herself	30:35	0:107
prop_nn	nn2	2005	2	nf_2005_747067.txt-148-23	 	This process of adjustment from within was halted in 1874 by military defeat at the hands of the British, which removed the props that upheld Asante's success, ending the slave trade to the south and encouraging tributary states on the periphery to break away.	124:129	0:260
prop_nn	nn2	1845	1	fic_1845_7170.txt-1407-14	 	The lights were smothered; there was a surging to and fro; the props of the tent broke asunder; some ran one way, some another; others were trodden under foot.	63:68	0:159
prop_nn	nn2	1832	1	nf_1832_758144.txt-2561-24	 	In vain would that man claim the tribute of patriotism who would labour to subvert these great pillars of human happiness, these firmest props of the destinies of men and citizens.	137:142	0:180
prop_nn	nn1	1829	1	nf_1829_747740.txt-1267-59	 	Art thou then A stranger in this land, and knowest not That she who was our lov'd and prized one, /z/ The key-stone of our friendship's firm-knit arch, - - The clasp by which bands numberless were held, - - The spring by which all kindly streams were fed, - - The prop on which fond hearts too fondly leaned, Is gone, and hath not left her like behind!	264:268	0:352
prop_nn	nn1	2002	2	mag_2002_398686.txt-12-27	 	Our ship was hit several times (two holes in left wing flaps, several in fuselage, severed oil line in number three engine and bent prop).	132:136	0:138
prop_nn	nn1	1995	2	mag_1995_414330.txt-68-28	 	The two-stroke Mercury 50 we tested is competitively priced in its range, listing at $5,631 (including a one-year mechanical and three-year corrosion warranty, though the prop, instruments, and fuel tank are extra).	171:175	0:215
prop_nn	nn2	2007	2	mag_2007_387685.txt-42-0	 	PROPS: Stash pocket on the back of the hand holds heat packs or a few extra rounds	0:5	0:82
