lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
überspannen	 	1884	1	ledebur_eisenhuettenkunde_1884-1818-38	 	Um einen grösseren Fassungsraum bei geringerer Schütthöhe (die für dicht liegende Steinkohlen unerlässlich ist) zu erlangen, giebt man der Rückwand eine Neigung nach aussen, so dass der Generator sich nach oben erweitert, und überspannt denselben durch ein Gewölbe, in welchem die Füllöffnung sich befindet (vergl. unten die Abbildungen Fig. 26 und 28, Oefen mit Steinkohlengasgeneratoren darstellend).	226:236	0:402
überspannen	 	1898	1	boelsche_liebesleben01_1898-4000-26	 	Denke dir's menschlich und rein in die Länge: ein Gebärmuttervorfall, der meterlang, zehnmeterlang, hundertmeterlang herausschwillt — bis endlich ein Kilometer davon überspannt ist.	166:176	0:181
überspannen	 	1971	2	26120215_1971_05_01_01_266.tcf.xml-4-21	 	Eigens dafür hat die Pionierqruppe, die unsere Grafikerin Gerda Brahmer vorstellt, Wimpel gebastelt, die als Gruß die Straße überspannen sollen.	125:136	0:144
überspannen	 	1984	2	2532889X_1984-10-30_01_159.tcf.xml-4-38	 	85 Werktätige vom Stahlbau Dessau, von der Abteilung Schiwerlasttransporte des Kraftverkehrs Leipzig und Berliner Reichsbahner bewegten den stählernen blauen Koloß Stück für Stück über Stahlrollen und Luftkissen vorwärts, bis er die 49 Meter voneinander entfernten Betonfundamente überspannte.	281:292	0:293
überspannen	 	1971	2	2532889X_1971-01-21_01_100.tcf.xml-5-50	 	Genosse Kusmui, Vorsitzender der Freundschaftsgesellschaft in Uljanowsk, ist der „jüngste\" Vorsitzende im Land In seiner Stadt wurde die Organisation am 7. Dezember vergangenen Jahres gegründet Doch die Landkarte der UdSSR wird schon seit über einem Jahrzehnt von einem großen Netz zahlreicher Stützpunkte nationaler und örtlicher Freundschaftsgesellschaftein überspannt, die alle im Dienst der weiteren Festigung der sowjetischen Freundschaft mit der DDR erfolgreich und liebevoll arbeiten	360:370	0:490
überspannen	 	1975	2	2532889X_1975-10-22_01_155.tcf.xml-2-23	 	• Mit der Fertigstellung der ersten 143 Meter, langen Brükkenhälfte, die in Höhe des Fern-und S-Bahnhofs Berlin-Lichtenberg das Bahngelände überspannt, ist die erste Etappe des größten. Verkehrsbauvorhabens der Hauptstadt erfolgreich abgeschlossen.	140:150	0:248
überspannen	 	1882	1	treitschke_geschichte02_1882-1645-9	 	Das ganze Land war von einem Netze geheimer Gesellschaften überspannt; jeder Veteran der großen Armee, der in sein heimathliches Dorf zurückkehrte, predigte die napoleonische Legende.	59:69	0:183
überspannen	 	1952	2	26120215_1952_12_19_01_270.tcf.xml-14-2	 	RUstungsbogen wurde überspannt	20:30	0:30
überspannen	 	1848	1	nn_nrhz233_1849-281-53	 	Alle Tugenden und Personagen, wie sie der alt-neue Bundestag braucht, sind in Hülle und Fülle vorhanden; es fehlt weder an Volksverräthern, Hofintriganten, gottbegnadeten Rittern, noch an dem besten Willen die 36 deutschen Nationen und Natiönchen, Vaterländer und Vaterländchen so zu maulkorben und mit metternich'schen Zwangsnetzen zu überspannen, daß die erste Periode des Bundestags noch wie Tag vor der nachfolgenden Nacht dastehen soll.	336:347	0:441
überspannen	 	1955	2	2532889X_1955-05-06_01_057.tcf.xml-100-23	 	Mit vereinten Kräften haben die Jetzigen Gebieter der Fabrik, die Arbeiter, die friedliche Produktion gesteigert, damit neue Eisenbahnbrücken die Flüsse überspannen, damit noch mehr Benzin-Kesselwasen in unablässiger Folge über die Gleise des ganzen Landes rollen.	153:164	0:264
überspannen	 	1987	2	2532889X_1987-07-23_01_137.tcf.xml-3-18	 	Die 1893 in Stahlgitterkonstruktion errichtete, 270 Meter lange Brücke, die auf 141,5 Metern pfeilerlos die Elbe überspannt, verbindet die Stadtteile Blasewitz und Loschwitz.	113:123	0:174
überspannen	 	1860	1	droste_letzte_1860-1046-32	 	In der Schlafkammer klappte eine Schrankthür und der Gerufene trat hervor, in der einen Hand eine sogenannte Holzschenvioline, d. h. einen alten Holzschuh, mit drei bis vier zerschabten Geigensaiten überspannt, in der andern einen Bogen, ganz des Instrumentes würdig.	199:209	0:267
überspannen	 	1960	2	26120215_1960_03_06_01_531.tcf.xml-29-1	 	Sie überspannt die der Dahmemundung.	4:14	0:36
überspannen	 	1980	2	26120215_1980_08_21_01_155.tcf.xml-12-2	 	Die Brücke überspannt am Hafen die Peene.	11:21	0:41
