lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
circle_vb	vvg_jj@	1847	1	fic_1847_7152.txt-1569-4	 	came a broad and circling glare, blinding the pale daylight; a sharp stunning roar, succeeded by an awful rushing sound -- and the rocks reeled like drunken men!	17:25	0:161
circle_vb	vvd_jj@	1832	1	fic_1832_7054.txt-378-54	 	Warriors portrayed, in tales of other climes, Numidia, Arcady or Syrian realms, The splendor of the spoil, the gems and gold, The perfumes, luxuries and regal robes, Fair slaves and diamonds, wafted from the shores Of the Orient, in homage to the diadem That circled nations.	259:266	0:275
circle_vb	vvi	1854	1	fic_1854_70.txt-2975-7	 	When compelled to rise they would sometimes circle round and round and over the pond at a considerable height, from which they could easily see to other ponds and the river, like black motes in the sky; and, when I thought they had gone off thither long since, they would settle down by a slanting flight of a quarter of a mile on to a distant part which was left free; but what beside safety they got by sailing in the middle of Walden I do not know, unless they love its water for the same reason that I do	44:50	0:508
circle_vb	vvd	2004	2	fic_2004_31680.txt-17-3	 	A diamond collar circled his neck and diamond guards glinted on his wrists and ankles.	17:24	0:86
circle_vb	vvg_nn1@	1849	1	fic_1849_7230.txt-2441-6	 	ye lieges all advance, And circling join in merry Morrice dance. \"	27:35	0:66
circle_vb	vvg	1838	1	fic_1838_7250.txt-2477-27	 	At the catastrophe, Mrs. Gambril ceased her flight, but after the manner of the Cossacks of the Don, or the Mahratta cavalry, kept circling round the enemy -- out of striking distance, yet within hail. \"	131:139	0:203
circle_vb	vvd	1977	2	fic_1977_10629.txt-2556-19	 	Most ofthem were slumped in rows of plastic chairs that were fixed to the floor, but a few circled the walls in constant motion while others sat on the floor itself.	91:98	0:165
circle_vb	vvg	1855	1	fic_1855_9053.txt-8774-39	 	He laughed so gleefully upon the shifting weather-cocks, and on the tall, white, crimson-flooded spires, which pointed up to heaven -- and on the wings of snowy pigeons, cutting the blue air, and circling joyously -- and on the little maiden, tripping on along the street, toward school, and laughing merrily	196:204	0:308
circle_vb	vvd	1967	2	fic_1967_781996.txt-4609-2	 	| They circled the hotel once, everybody looking down at the sprawling buildings and the docks and at the manager who came running out waving his arms.	7:14	0:151
circle_vb	vvg_jj@	1827	1	fic_1827_9759.txt-3987-31	 	-- Let me, while the sun lingers, still pour out my soul on this paper -- Let me indulge a pleasing, dreadful thought -- Shall I, ere circling time bring back this hour, become thy -- And shall my heart, after its dreadful languors, its excruciating agonies, know once more, a rapturous emotion?	134:142	0:295
circle_vb	vvi	2007	2	fic_2007_52345.txt-225-12	 	Yet, there is something, some emotion they all seem to circle but never successfully describe about the pain of their lives that, Anita feels certain, just might be the point.	55:61	0:175
circle_vb	vvg	1980	2	fic_1980_10662.txt-2745-13	 	They propped Robert up and draped him across their shoulders -- one arm circling Morgan's neck, one arm circlingBilly's.	72:80	0:120
circle_vb	vvg	1999	2	fic_1999_44748.txt-709-16	 	I turn and watch Justin push his way in slow motion through the group of boys circling Liz and put his arm around her and toss his beer can away.	78:86	0:145
circle_vb	vvd	1848	1	fic_1848_7992.txt-499-31	 	's reason to raise and refine, While lifting, untroubled, his gaze to the sky, He welcomed the Presence Divine; -- Then, coursing an orbit that circled the whole, Came Saturn, like Patience, untired, And through its broad range giving light to the soul Of Man, a calm wisdom inspired; -- And all these fair Planets in harmony move Round the Sun, as their centre of light, life and love.	144:151	0:386
circle_vb	vvg_jj@	1831	1	fic_1831_8376.txt-725-32	 	Tall spire, and glittering roof, and battlement, And banners floating in the sunny air, And white sails o'er the calm blue waters bent, Green isle, and circling shore, are blended there, In wild reality.	152:160	0:203
circle_vb	vvn@	1825	1	mag_1825_553593.txt-292-7	 	to notice how the world has been circled, by the governments of the world, to watch the transit of Venus, though the knowledge thus acquired could not affect the legislation of any congress, in any country.	33:40	0:206
circle_vb	vvd	1970	2	fic_1970_782000.txt-984-34	 	He looked at the gayly striped awn- | ings scattered over the garden, at the cool grottoes, at the shining whiteness of the graceful statues, at the shimmering pond on which circled the black and white swans, preening, and the ludicrous Chinese ducks who took themselves so seriously and were therefore belligerent.	174:181	0:315
circle_vb	vvd	2000	2	mag_2000_413181.txt-228-13	 	Father Smyth, tending the wounded, was met by a trooper who circled him, aiming a cocked pistol at his breast.	60:67	0:110
circle_vb	vvd@_jj	1837	1	fic_1837_8325.txt-1223-14	 	Thy pleasant spot of birth Is sad without thee, and an ancient head Circled with years and blessings as a crown Bows low with the first pang thou e'er didst cause A father's bosom.	68:75	0:180
circle_vb	vvg	1843	1	fic_1843_7039.txt-2109-16	 	One day my attention was arrested by a very unusual twittering, and I saw him circling round with a large downy feather in his bill.	78:86	0:132
circle_vb	vv0@	1853	1	mag_1853_504777.txt-419-24	 	The noise of running water, the large grassy meadows, from which the spot takes its name, and the green hills which circle it round-all tend to captivate the eye and please the senses of the way-worn \" voyageur. \"	116:122	0:213
circle_vb	vvg	1846	1	fic_1846_8193.txt-686-26	 	With thine own voyager thou hast heard the sound Of that vast ocean, waveless, rayless, dread, Where time's perpetual tribute, circling round, Drops silent in, all passionless and dead.	127:135	0:185
