identifier1	identifier2	annotator	judgment	comment	lemma
news_1982_735447.txt-25-11	fic_2002_31327.txt-372-6	amariac810	3	 	stab_nn
nf_1824_747448.txt-2264-37	fic_1994_14635.txt-259-10	amariac810	2	 	stab_nn
fic_1856_1552.txt-7433-32	news_1975_732074.txt-26-37	amariac810	0	 	stab_nn
fic_1960_4443.txt-1324-13	fic_1828_7034.txt-317-9	amariac810	2	 	stab_nn
mag_1961_268345.txt-2-7	mag_1848_565767.txt-261-31	amariac810	2	 	stab_nn
fic_1856_9779.txt-6643-19	fic_1986_10741.txt-4153-6	amariac810	2	 	stab_nn
fic_1848_7154.txt-24-45	news_2006_636147.txt-23-5	amariac810	2	 	stab_nn
fic_1995_39423.txt-435-53	fic_2005_780526.txt-1116-22	amariac810	2	 	stab_nn
fic_1989_780082.txt-1559-10	mag_1858_506207.txt-82-40	amariac810	3	 	stab_nn
fic_1844_7148.txt-1555-4	mag_1853_566334.txt-489-85	amariac810	2	 	stab_nn
mag_1966_431722.txt-99-10	fic_1994_54062.txt-398-18	amariac810	2	 	stab_nn
fic_1839_7297.txt-548-6	mag_1974_283983.txt-5-10	amariac810	2	 	stab_nn
fic_1860_1818.txt-240-18	fic_1993_25032.txt-3201-22	amariac810	3	 	stab_nn
fic_1840_7292.txt-4202-23	nf_1855_747674.txt-136-12	amariac810	2	 	stab_nn
mag_1826_553767.txt-39-32	fic_2005_780526.txt-1116-22	amariac810	3	 	stab_nn
fic_2009_36432.txt-425-1	fic_1859_9037.txt-94-5	amariac810	4	 	stab_nn
mag_1855_556096.txt-212-21	fic_2006_51442.txt-550-13	amariac810	0	 	stab_nn
mag_1850_555606.txt-84-28	mag_1966_478639.txt-276-22	amariac810	2	 	stab_nn
fic_1995_52955.txt-622-4	fic_2006_51442.txt-494-8	amariac810	0	 	stab_nn
news_1975_732074.txt-26-37	fic_1981_10681.txt-980-5	amariac810	4	 	stab_nn
fic_2005_780526.txt-1116-22	fic_1860_8585.txt-168-22	amariac810	2	 	stab_nn
fic_1849_7347.txt-633-8	fic_1842_7289.txt-3623-8	amariac810	2	 	stab_nn
fic_1846_4464.txt-4116-8	fic_1827_9763.txt-5388-22	amariac810	2	 	stab_nn
fic_1827_9763.txt-5388-22	news_1978_733578.txt-0-25	amariac810	2	 	stab_nn
fic_1835_7327.txt-2564-6	fic_1850_4498.txt-907-23	amariac810	2	 	stab_nn
fic_1846_4464.txt-4612-22	news_2006_636147.txt-23-5	amariac810	2	 	stab_nn
news_1975_732074.txt-26-37	fic_1849_7006.txt-1593-22	amariac810	4	 	stab_nn
fic_1985_10737.txt-1492-7	mag_1966_431722.txt-99-10	amariac810	2	 	stab_nn
fic_1851_1184.txt-3020-5	fic_1981_780032.txt-2469-6	amariac810	4	 	stab_nn
fic_1835_7172.txt-4108-12	fic_1962_10417.txt-5402-13	amariac810	3	 	stab_nn
fic_1846_4464.txt-4116-8	fic_2008_36283.txt-277-9	amariac810	2	 	stab_nn
fic_1839_7001.txt-67-21	fic_2003_48660.txt-213-14	amariac810	2	 	stab_nn
fic_1827_9763.txt-5388-22	fic_1961_10407.txt-9969-10	amariac810	3	 	stab_nn
fic_2003_32366.txt-8-1	mag_1833_564480.txt-184-16	amariac810	2	 	stab_nn
mag_1853_504732.txt-881-9	fic_1846_4464.txt-4671-13	amariac810	0	 	stab_nn
fic_1859_9037.txt-94-5	fic_1964_10451.txt-1281-5	amariac810	4	 	stab_nn
fic_1969_10510.txt-1184-34	fic_1985_10737.txt-1492-7	amariac810	0	 	stab_nn
fic_1842_7289.txt-3623-8	fic_1843_7026.txt-2497-1	amariac810	4	 	stab_nn
news_1976_732855.txt-8-6	news_2001_661942.txt-5-14	amariac810	0	 	stab_nn
fic_1980_10664.txt-5180-5	mag_1855_556096.txt-212-21	amariac810	0	 	stab_nn
fic_1981_10681.txt-980-5	fic_1835_7016.txt-2912-63	amariac810	0	 	stab_nn
fic_1850_4498.txt-670-17	fic_1994_41243.txt-295-21	amariac810	4	 	stab_nn
mag_1855_556096.txt-212-21	fic_1835_7328.txt-554-4	amariac810	0	 	stab_nn
fic_1855_2301.txt-2091-1	fic_2004_31534.txt-147-16	amariac810	2	 	stab_nn
fic_1968_10508.txt-8376-12	fic_2002_31327.txt-372-6	amariac810	0	 	stab_nn
fic_1846_4462.txt-3486-16	fic_2000_29517.txt-210-22	amariac810	4	 	stab_nn
fic_1846_4464.txt-4671-13	nf_1849_749269.txt-2196-8	amariac810	0	 	stab_nn
mag_1857_556291.txt-61-39	fic_1964_10451.txt-1281-5	amariac810	2	 	stab_nn
fic_2006_26585.txt-31-12	news_2000_603039.txt-17-10	amariac810	0	 	stab_nn
fic_1846_4464.txt-4116-8	fic_1981_10681.txt-980-5	amariac810	4	 	stab_nn
mag_1833_564480.txt-184-16	fic_1978_10636.txt-7924-6	amariac810	0	 	stab_nn
fic_1819_8693.txt-536-8	fic_2005_780526.txt-1116-22	amariac810	0	 	stab_nn
fic_1846_4464.txt-4749-50	fic_2009_36924.txt-37-21	amariac810	2	 	stab_nn
fic_1859_9216.txt-1698-10	fic_1843_7026.txt-2497-1	amariac810	0	 	stab_nn
fic_1858_7888.txt-80-176	mag_1961_268345.txt-2-7	amariac810	2	 	stab_nn
