lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
Sensation	NN	1862	1	fontane_brandenburg01_1862-3207-6	 	Der Vorfall machte in ganz Europa Sensation und wurde wie ein neuer Sieg Brandenburgs gefeiert, nicht viel geringer, als sei eine zweite Schlacht von Fehrbellin geschlagen und gewonnen worden.	34:43	0:192
Sensation	NN	1983	2	2532889X_1983-03-23_01_204.tcf.xml-7-11	 	Man wollte aus seinem Munde — aus allererster Hand — die Sensation vom Teufelsberg 'beschrieben haben.	57:66	0:102
Sensation	NN	1968	2	2532889X_1968-07-04_01_067.tcf.xml-14-23	 	Ein Denkmal, dem die Besucher nur deshalb bewundernd gegenüberstehen, weil man in der großen Zehe sitzen kann, ist eine technische Sensation, aber kein ernsthaftes Kunstwerk (Freiheitstatue New York).	131:140	0:200
Sensation	NN	1861	1	spielhagen_problematische02_1861-1394-7	 	Sie erzählte der horchenden Primula, welche Sensation Oswald's Geschicklichkeit im Schießen unter den jungen Männern hervorgebracht, welche Anerkennung seine schöne Gestalt, seine feinen Manieren in der Damenwelt gefunden; wie er mit Hortense getanzt, Frau von Berkow zu Tische geführt habe; und eigentlich, Alles in Allem, der Löwe des Tages gewesen sei.	44:53	0:355
Sensation	NN	1848	1	nn_nrhz093_1848-80-19	 	Ja, der Teufel, der doch sicher ein berühmter Mann ist, könnte durch sein Erscheinen nicht mehr Sensation machen, als das berüchtigte Mitglied des provisorischen Gouvernements.	96:105	0:176
Sensation	NN	1848	1	nn_nrhz139_1848-737-10	 	Der Protest der Herren Stedmann und v. Reedtz hat große Sensation erregt.	56:65	0:73
Sensation	NN	1861	1	spielhagen_problematische02_1861-180-24	 	Baron Oldenburg war, als Frau von Barnewitz aufstand, ihrer Cousine entgegenzugehen, ruhig, und ohne sich nach dem Gegenstand der allgemeinen Sensation umzusehen, den einen Arm über die Stuhllehne gelegt, sitzen geblieben.	142:151	0:222
Sensation	NN	1895	1	freud_hysterie_1895-2477-8	 	Es war eine ganze Reihe von parallel laufenden Sensationen und Vorstellungen, in welcher bald die Sensation die Vorstellung als Deutung erweckt, bald die Vorstellung durch Symbolisirung die Sensation geschaffen hatte, und nicht selten musste es zweifelhaft bleiben, welches der beiden Elemente das primäre gewesen war.	47:58	0:318
Sensation	NN	1949	2	2532889X_1949-07-17_01_113.tcf.xml-78-13	 	In jeder Spelunke schepperte Jazz, und ein Lokal überbot das andere an Sensationen: Witwenbälle, Nackttanze, Damenboxen in.	71:82	0:123
Sensation	NN	1834	1	varnhagen_rahel01_1834-5296-10	 	Aber jedes, was er aufnimmt, von der geringsten Sensation an in sich, bis zum größten Aufruhr; von der oberflächlichsten Wahrnehmung, bis zu seinem strengsten Denken; hat er sich selbst zusammengetragen; und nichts Vorgefundenes von den größten Meistern nimmt er in sich auf, ohne es bis zu seinem Blute, mit neuer Insekten-oder Löwenarbeit, zu verwandeln.	48:57	0:356
