lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
word_nn	nn2	1982	2	fic_1982_780033.txt-3807-1	 	The words you were to think came from me. \"	4:9	0:43
word_nn	nn2	2006	2	mag_2006_397749.txt-34-22	 	In a reversal of this task, participants then rapidly press the same key in response to either black faces or pleasant words and another key when shown either white faces or unpleasant words.	119:124	0:191
word_nn	nn2	2008	2	nf_2008_774837.txt-288-26	 	It was in that basement that I learned the skills necessary to succeed in the difficult thespian world-specifically, get up on stage, say my words, get off the stage-skills that eventually allowed me to play such memorable roles as Prince Charming and Tom Sawyer at a theater in the local park.	141:146	0:294
word_nn	nn1	1859	1	fic_1859_9220.txt-4876-12	 	not a word of all this to Uncle George -- not a word to Julia -- not a word to me from this time forward, I beseech you, dear mother, upon this painful subject, whatever you may think, or hope, or fear. \"	48:52	0:204
word_nn	nn1	1981	2	fic_1981_10680.txt-1521-0	 	Word of their coming preceded them, and in each village crowds of peasants and priests swarmed around Blanc shouting, \" Medan He, abeit, medanite. \"	0:4	0:148
word_nn	nn1	1823	1	fic_1823_7247.txt-1502-12	 	I have nothing therefore, to offer you, but my simple word.	54:58	0:59
word_nn	nn2	2002	2	fic_2002_14169.txt-197-1	 	The words \" New Orleans \" vanish from the scrim and are replaced with \" Seattle, \" and some sort of music begins.	4:9	0:113
word_nn	nn2	1970	2	nf_1970_774162.txt-579-10	 	He believed this was caused by the evil influence of words as a karmic force.	53:58	0:77
word_nn	nn1	1977	2	mag_1977_491625.txt-17-10	 	Good News Bible Before the world was created, the Word already existed; he was with God, and he was the same as God.	50:54	0:116
word_nn	nn1	1848	1	nf_1848_747434.txt-1185-25	 	Others suppose it was because the court had cognizance of a certain crime, the Latin name of which has a close affinity with the word star.	129:133	0:139
word_nn	nn2	1853	1	fic_1853_9200.txt-1243-9	 	The agony which shook him was too deep for words.	43:48	0:49
word_nn	nn2	1832	1	nf_1832_747819.txt-690-39	 	Who am with all humility, May it please your Majesty, \" &c.; Not long after this, Doctor Burnet was discharged from preaching the Thursday lecture at St Clement's, for a sermon on the words -- \" Save me /q/ from the lion's mouth, thou hast heard me from the horns of the unicorns: \" This was thought of dangerous construction, because the lion and unicorn supported the king's escutcheon; so timid a thing is tyranny!	184:189	0:417
word_nn	nn2	1968	2	fic_1968_10508.txt-7214-27	 	Aw, Al, \" Poopie was saying, \" they promised me ap233real great trip with Owsley blues if I got you to confessin your own words what they dictate to you.	122:127	0:153
word_nn	nn2	1837	1	mag_1837_554503.txt-302-22	 	One other peculiarity of Richardson's Dictionary, to which we have already incidentally adverted, consists in his manner of illustrating words by selections from English authors.	137:142	0:178
word_nn	nn1	1848	1	mag_1848_524944.txt-36-24	 	been so much abused in this country by the rude agitation of what are commonly called politics, that he does not think the word now used with us comports with the dignity of the theme; and the second part of his title is adopted from a conviction that the economical principles of states are to be deduced from their separate experience and adapted to their individual condition.	123:127	0:379
word_nn	nn2	1998	2	fic_1998_43220.txt-736-4	 	I could feel his words turning solid in the air, reaching back over the weeks to change yesterday.	17:22	0:98
word_nn	nn2	2005	2	news_2005_666462.txt-1-9	 	(UK BLASTS Nightlead sent at 18:25, 869 words.)	40:45	0:47
word_nn	nn2	1840	1	fic_1840_7256.txt-3082-7	 	I hurled after the scoundrel those vehement words of Demosthenes -- Andrew O'Phlegethon, you really make haste to fly, and then turned to the darling of my heart, to the curtailed, the one-eyed, the shaggy-haired Diana.	44:49	0:219
word_nn	nn2	2002	2	fic_2002_47105.txt-535-14	 	It would've broke your heart to see how deep that harpy's ugly words wounded him.	63:68	0:81
word_nn	nn1	1992	2	mag_1992_423474.txt-91-36	 	Explicit tests tap conscious knowledge, as when volunteers try to identify previously studied words on a multiple-choice test; implicit tests reveal unconscious influences of memories or perceptions, as when volunteers unwittingly complete ambiguous word fragments with previously studied words.	250:254	0:295
word_nn	nn1	1848	1	fic_1848_7193.txt-10503-30	 	That lovely girl, whose face I had often seen, in the forest, although -- as she swept so proudly by me -- I had never exchanged a word with her. \"	131:135	0:147
word_nn	nn2	2001	2	nf_2001_746293.txt-491-2	 	In other words the level of indebtedness (old debt and the new oil capacities related debt) has to increase during the next ten years before any significant and serious debt repayment can start.	9:14	0:194
word_nn	nn1	2005	2	news_2005_608727.txt-26-2	 	But the word from China's central bank on Tuesday reinforced the	8:12	0:64
word_nn	nn2	1986	2	mag_1986_331469.txt-6-5	 	The relocation, in other words, was based on race, not urgency.	25:30	0:63
word_nn	nn1	1995	2	news_1995_631321.txt-51-9	 	a football fan, for lack of a better word, so it was always a kick for me to play in that game, knowing I'd be part of history.	37:41	0:127
word_nn	nn2	2006	2	fic_2006_31470.txt-131-11	 	She fell into her housekeeper's arms, hoping for kind words and solace.	54:59	0:71
word_nn	nn1	1961	2	mag_1961_477847.txt-150-34	 	It is easy to convince men that they can not afford to pay what they do not desire to pay; tell them how heavy their burdens are and they will greet your every word as a sagacious understatement.	160:164	0:195
word_nn	nn2	2004	2	fic_2004_780517.txt-563-7	 	Drew appears STUNNED, unable to form words so Parker speaks for her.	37:42	0:68
word_nn	nn1	1962	2	nf_1962_774117.txt-1020-32	 	Now, if the minimum complete statement (the minimum utterance) is two words, we may reasonably conclude that the fundamental structure pattern has two functions; and that each word?	176:180	0:181
word_nn	nn1	2003	2	fic_2003_12367.txt-1070-10	 	(ADAM PULLS OUT HIS NOTEBOOK AND HUNTS FOR THE WORD.	47:51	0:52
word_nn	nn2	1846	1	fic_1846_9122.txt-145-6	 	It will be observed that the words, \" from out my heart, \" involve the first metaphorical expression in the poem.	29:34	0:113
word_nn	nn2	1852	1	fic_1852_2477.txt-778-10	 	If you feel, \" said Edith, recalling the words of her husband, \" that there is danger in remaining where you are \" -- \" That was hastily spoken, \" Edward Claire interrupted his wife, \" and in a moment of weakness.	41:46	0:213
word_nn	nn2	1999	2	fic_1999_16192.txt-1515-15	 	Nick and Lexi look very upset, not only from hearing the finality in her words, but from seeing their mother's pain.	73:78	0:116
word_nn	nn1	1849	1	nf_1849_748137.txt-2293-2	 	The noblest word in the catalogue of social virtue is \" Loyalty, \" and the sweetest which	12:16	0:89
