lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
player_nn	nn1	1819	1	fic_1819_9004.txt-421-21	 	Some call't a dream, and some -- a gossip's story, And some -- the tricksome acting of a player; Forgotten soon as ended.	89:95	0:121
player_nn	nn1	1850	1	fic_1850_7304.txt-2361-5	 	If Marchand is such a player, I must be cool and cautious.	22:28	0:58
player_nn	nn2	2001	2	nf_2001_746390.txt-245-19	 	The ' group ' practices, typically employed by Nationwide League coaches often contained generic mistakes, affecting all players, resulting in coaching to the group.	121:128	0:165
player_nn	nn1	1834	1	nf_1834_747621.txt-192-1	 	The player who has won stands at the spot where the ball first touches the ground, or, if it be not immediately behind the party who has thrown it, a line is drawn from the place where the ball falls, to a spot directly behind the thrower.	4:10	0:239
player_nn	nn2	1972	2	mag_1972_491391.txt-305-10	 	It is tough to judge the relationships between owners and players.	58:65	0:66
player_nn	nn1	2006	2	mag_2006_385919.txt-27-40	 	We specified a Sedona EX, the better-equipped model of the line, with the optional equipment that most Sedona buyers will choose: power sliding side doors and rear hatch, as well as the rear-seat, headliner-mounted DVD player with two headphones-an essential	219:225	0:258
player_nn	nn2	2008	2	nf_2008_774810.txt-327-77	 	By focusing resources // and expertise on a single product, a farmer could raise output and lower // costs; instead of buying different technologies for each of several crops or // animals, he now spread the costs of a single set of technologies -- for raising // corn, for example, or wheat -- over more bushels // To be sure, a more rationalized agriculture was far more reliant on // outside players.	395:402	0:403
player_nn	nn1	1992	2	fic_1992_30681.txt-25-26	 	was Joel who had poured everything he had into the firm for the past ten years, Joel who had single-handedly turned it into a major player in the marketplace.	132:138	0:158
player_nn	nn1	1834	1	nf_1834_747621.txt-74-7	 	not exceeding a yard; a second player throws another marble against the wall, endeavoring to make it rebound, so as to strike or come within a span of the first; if he can do neither, the first player takes up his own marble, and, in turn, strives to snop or span that of the second.	31:37	0:283
player_nn	nn2	1998	2	news_1998_615330.txt-27-16	 	, they were attracted to being a part of a community with Georgia's only Tournament Players Club, a PGA Tour-managed facility. \"	84:91	0:128
player_nn	nn1	2003	2	mag_2003_384205.txt-92-21	 	Ace the Arcade A just-released study confirms one of your worst fears: Violent video games -- the kind where the player tries to kill enemies that pop out of nowhere -- are excellent at improving your kid's visual attention skills.	113:119	0:231
