identifier	cluster
storm_waldwinkel_1875-137-47	0
justi_velazquez02_1888-6387-32	0
hoffmann_nachtstuecke02_1817-1086-3	0
lewald_jenny02_1843-1324-20	0
beyer_poetik02_1883-3859-8	0
hundtradowsky_judenschule01_1822-2510-44	0
ludwig_physiologie01_1852-6006-18	0
otto_schloss02_1846-411-28	0
alexis_ruhe01_1852-495-6	0
tieck_phantasus02_1812-9685-30	0
bechstein_dunkelgraf_1854-1932-31	0
vischer_auch01_1879-625-24	0
hoffmann_elixiere02_1816-1683-1	0
droste_gedichte_1844-4011-26	0
ranke_reformation02_1839-5018-26	0
immermann_muenchhausen03_1839-1614-37	0
goethe_divan_1819-1589-13	0
paul_titan03_1802-752-13	0
ranke_reformation02_1839-1600-14	0
semper_philippinen_1869-997-22	0
bechstein_dunkelgraf_1854-2518-50	0
lewald_frauen_1870-375-22	0
tieck_phantasus03_1816-1692-0	0
munzinger_japaner_1898-3248-15	0
tieck_phantasus01_1812-2790-24	0
tieck_phantasus03_1816-8124-15	0
holtei_vagabunden03_1852-1734-14	0
mommsen_roemische02_1855-3414-27	0
anzengruber_gwissenswurm_1874-1109-13	-1
mommsen_roemische03_1856-3832-11	0
bechstein_dunkelgraf_1854-321-6	0
goethe_farbenlehre02_1810-4012-14	0
justi_velazquez02_1888-5496-16	0
robert_griechische_1881-1135-54	0
schroeder_logik03_1895-6062-19	0
schwab_sagen03_1840-4751-17	0
gotthelf_sagen_1842-825-11	0
schiller_stuart_1801-3293-11	0
beck_eisen02_1895-8191-26	0
temme_volkssagen_1840-1739-3	0
goethe_faust01_1808-2465-8	0
platen_gedichte_1828-682-5	0
nn_maehrisches108_1897-578-4	0
moerike_gedichte_1838-290-6	0
engel_poetik_1806-1480-10	0
saar_novellen_1877-212-4	0
heffter_voelkerrecht_1844-1156-19	0
engel_poetik_1806-1225-9	0
wolff_ausverkauf_1824-429-1	0
jung_lebensgeschichte_1835-7888-30	0
fontane_brandenburg02_1863-3148-23	0
clauren_liebe_1827-325-3	0
fouque_geselligkeit_1814-116-2	0
burckhardt_cicerone_1855-12618-27	0
grillparzer_sappho_1819-2339-4	0
steinen_naturvoelker_1894-828-7	0
schiller_stuart_1801-3104-16	0
brentano_kasperl_1838-292-34	0
alexis_ruhe02_1852-2426-18	0
eckermann_goethe03_1848-1330-34	1
storm_aquis_1877-986-11	0
brehm_thierleben04_1867-10551-16	0
