identifier1	identifier2	annotator	judgment	comment	lemma
mag_1984_432205.txt-64-8	mag_1844_565293.txt-70-30	emmaccaulfield	2	 	record_nn
nf_1856_769137.txt-638-6	nf_1847_750187.txt-376-21	emmaccaulfield	4	 	record_nn
news_1982_668342.txt-1-29	nf_1848_754767.txt-7-9	emmaccaulfield	2	 	record_nn
mag_1859_567046.txt-286-29	fic_2005_31686.txt-155-7	emmaccaulfield	4	 	record_nn
news_1981_670933.txt-32-25	mag_1847_555505.txt-249-36	emmaccaulfield	2	 	record_nn
fic_1975_648.txt-1673-20	mag_1840_554815.txt-131-47	emmaccaulfield	3	 	record_nn
mag_1859_567046.txt-286-29	mag_1847_555505.txt-249-36	emmaccaulfield	4	 	record_nn
mag_1840_554815.txt-131-47	mag_1858_556623.txt-177-11	emmaccaulfield	4	 	record_nn
nf_1847_747756.txt-405-45	mag_1848_555521.txt-117-0	emmaccaulfield	3	 	record_nn
fic_1984_780068.txt-647-10	mag_1984_432205.txt-64-8	emmaccaulfield	2	 	record_nn
mag_1965_97767.txt-80-15	fic_1856_1552.txt-2858-25	emmaccaulfield	2	 	record_nn
fic_1975_648.txt-3457-1	mag_1845_555338.txt-132-5	emmaccaulfield	2	 	record_nn
news_1963_723497.txt-47-2	news_1988_668892.txt-4-9	emmaccaulfield	2	 	record_nn
mag_1991_421244.txt-16-8	fic_1975_10600.txt-4362-31	emmaccaulfield	1	 	record_nn
fic_1845_7295.txt-6579-25	mag_1960_243020.txt-16-7	emmaccaulfield	3	 	record_nn
mag_1851_555704.txt-569-35	mag_2007_390776.txt-128-4	emmaccaulfield	4	 	record_nn
mag_1980_485877.txt-172-10	fic_1845_7295.txt-6579-25	emmaccaulfield	2	 	record_nn
news_2005_607677.txt-38-5	mag_1961_205956.txt-13-6	emmaccaulfield	2	 	record_nn
fic_1981_14064.txt-702-12	news_1997_602155.txt-31-13	emmaccaulfield	1	 	record_nn
fic_1845_7295.txt-6579-25	fic_1851_746.txt-3971-10	emmaccaulfield	3	 	record_nn
mag_2006_112391.txt-44-14	fic_1852_2751.txt-6158-10	emmaccaulfield	1	 	record_nn
mag_1853_504639.txt-252-75	mag_1840_554815.txt-131-47	emmaccaulfield	4	 	record_nn
fic_1860_616.txt-252-3	nf_2007_776449.txt-6-9	emmaccaulfield	3	 	record_nn
mag_1856_556222.txt-19-23	news_1987_670609.txt-25-11	emmaccaulfield	2	 	record_nn
news_2005_607677.txt-38-5	news_1977_733003.txt-37-85	emmaccaulfield	2	 	record_nn
mag_2008_139224.txt-4-26	fic_1860_1171.txt-1933-10	emmaccaulfield	2	 	record_nn
fic_1835_7353.txt-1855-15	mag_2002_421280.txt-35-1	emmaccaulfield	1	 	record_nn
mag_1860_567273.txt-29-16	mag_1980_485877.txt-172-10	emmaccaulfield	2	 	record_nn
mag_2007_390776.txt-128-4	fic_2006_27859.txt-63-2	emmaccaulfield	4	 	record_nn
