identifier1	identifier2	annotator	judgment	comment	lemma
fic_1965_14245.txt-2636-4	nf_1844_772139.txt-317-40	amariac810	2	 	edge_nn
fic_1993_1040095.txt-1669-8	fic_1991_53307.txt-318-4	amariac810	4	 	edge_nn
fic_1842_7206.txt-3813-10	fic_1839_7088.txt-70-44	amariac810	3	 	edge_nn
fic_2000_30562.txt-3-21	fic_1856_3677.txt-3100-4	amariac810	4	 	edge_nn
fic_1978_780156.txt-1749-5	fic_1856_2470.txt-6171-4	amariac810	4	 	edge_nn
fic_1835_7281.txt-3780-36	fic_1852_593.txt-3124-19	amariac810	4	 	edge_nn
nf_1851_747930.txt-141-2	fic_1852_593.txt-3124-19	amariac810	2	 	edge_nn
fic_1854_70.txt-2299-8	fic_1976_10617.txt-1820-0	amariac810	4	 	edge_nn
fic_1993_25027.txt-1229-13	fic_1987_780087.txt-2935-4	amariac810	3	 	edge_nn
fic_1967_16424.txt-1282-17	nf_1851_747930.txt-141-2	amariac810	4	 	edge_nn
nf_1841_747926.txt-651-45	fic_1853_4303.txt-4461-13	amariac810	3	 	edge_nn
mag_1997_389120.txt-29-11	mag_2006_397778.txt-93-8	amariac810	2	 	edge_nn
news_2001_616241.txt-1-5	fic_2004_30094.txt-108-4	amariac810	4	 	edge_nn
fic_2004_28060.txt-219-4	nf_1820_753470.txt-2701-5	amariac810	3	 	edge_nn
fic_1993_25008.txt-4285-5	fic_1855_2965.txt-2805-21	amariac810	3	 	edge_nn
nf_1827_747521.txt-883-28	fic_1849_7216.txt-7668-5	amariac810	2	 	edge_nn
mag_2004_416046.txt-55-2	fic_1993_25008.txt-4285-5	amariac810	2	 	edge_nn
fic_1844_7189.txt-791-67	fic_2005_26969.txt-33-5	amariac810	4	 	edge_nn
fic_1823_7249.txt-942-61	nf_1853_747976.txt-1622-22	amariac810	3	 	edge_nn
nf_1969_774314.txt-1597-2	mag_1979_480129.txt-32-13	amariac810	2	 	edge_nn
fic_1975_10598.txt-6073-22	fic_1855_2965.txt-2059-5	amariac810	4	 	edge_nn
fic_1830_7238.txt-3583-7	fic_1844_7189.txt-791-67	amariac810	3	 	edge_nn
mag_1990_420259.txt-65-31	fic_1836_7052.txt-121-7	amariac810	4	 	edge_nn
fic_1839_7088.txt-70-44	fic_1834_7252.txt-779-29	amariac810	3	 	edge_nn
news_2007_643010.txt-47-3	fic_1823_7249.txt-942-61	amariac810	2	 	edge_nn
fic_2007_34283.txt-0-19	fic_1823_7249.txt-942-61	amariac810	2	 	edge_nn
fic_1844_7189.txt-450-27	fic_1854_70.txt-2299-8	amariac810	4	 	edge_nn
fic_1825_8713.txt-685-46	mag_1979_480129.txt-32-13	amariac810	2	 	edge_nn
nf_1837_757476.txt-3416-14	fic_1856_2470.txt-6171-4	emmaccaulfield	4	 	edge_nn
mag_1993_395881.txt-39-29	fic_1993_25028.txt-653-3	emmaccaulfield	4	 	edge_nn
fic_1987_23990.txt-44-12	fic_1856_2470.txt-6171-4	emmaccaulfield	1	 	edge_nn
nf_1820_753470.txt-2608-4	nf_1841_747926.txt-651-45	emmaccaulfield	4	 	edge_nn
mag_2002_414884.txt-39-4	nf_1836_748113.txt-1250-63	emmaccaulfield	3	 	edge_nn
fic_1844_7189.txt-450-27	fic_1997_42211.txt-1064-14	emmaccaulfield	3	 	edge_nn
mag_1993_409448.txt-71-5	fic_1853_9142.txt-3541-10	emmaccaulfield	0	 	edge_nn
fic_1855_9053.txt-7570-17	nf_1982_774241.txt-233-34	emmaccaulfield	4	 	edge_nn
fic_1845_622.txt-3438-27	fic_1853_9142.txt-3541-10	emmaccaulfield	4	 	edge_nn
fic_1851_746.txt-6372-1	fic_1961_4758.txt-804-5	emmaccaulfield	4	 	edge_nn
fic_1977_16209.txt-1168-13	fic_1822_7243.txt-5662-12	emmaccaulfield	4	 	edge_nn
mag_1981_297525.txt-2-13	news_1985_671429.txt-20-24	emmaccaulfield	2	 	edge_nn
mag_1848_565770.txt-45-29	fic_1960_4487.txt-328-25	emmaccaulfield	4	 	edge_nn
fic_1835_7281.txt-3780-36	mag_1999_403149.txt-73-11	emmaccaulfield	1	 	edge_nn
fic_1842_7158.txt-2975-90	fic_2004_780511.txt-2666-15	emmaccaulfield	4	 	edge_nn
fic_1967_23847.txt-253-31	fic_1995_39362.txt-141-9	emmaccaulfield	0	 	edge_nn
