identifier1	identifier2	annotator	judgment	comment	timestamp	lemma
bib19227291_18951123_145289_140_0002_alto.xml-132-10	bib11653790_19030217_12541_13_0003_alto.xml-6-22	Benjamin	1.0	 	2023-07-16 18:28:23.768	ledning
bib15650837_18250122_146391_6_0002_alto.xml-2-30	bib15873936_18960702_147385_75_0002_alto.xml-120-33	Benjamin	1.0	 	2023-07-16 18:28:46.288	ledning
bib19277277_18300507_147682_104_0001_alto.xml-27-15	bib15975090_18950122_148377_9_0003_alto.xml-100-7	Benjamin	4.0	 	2023-07-16 18:31:25.637	ledning
bib11653811_18980518_145317_75_0003_alto.xml-96-25	bib19277277_18300507_147682_104_0001_alto.xml-27-15	Benjamin	3.0	 	2023-07-16 18:32:02.824	ledning
bib11653790_19030217_12541_13_0003_alto.xml-6-22	bib11653811_18970508_145317_70_0002_alto.xml-23-13	Benjamin	4.0	 	2023-07-16 18:32:57.477	ledning
bib19277277_18950722_147683_196_0003_alto.xml-41-0	bib11653811_18970508_145317_70_0002_alto.xml-23-13	Benjamin	1.0	 	2023-07-16 18:34:14.919	ledning
bib11653828_18271024_144028_249_0001_alto.xml-6-7	bib19277277_18300507_147682_104_0001_alto.xml-27-15	Benjamin	4.0	 	2023-07-16 18:34:38.338	ledning
bib15873936_18960702_147385_75_0002_alto.xml-120-33	bib11653811_18991216_145317_194_0005_alto.xml-40-10	Benjamin	1.0	 	2023-07-16 18:35:12.407	ledning
bib19277277_18300507_147682_104_0001_alto.xml-27-15	bib19227291_18951123_145289_140_0002_alto.xml-132-10	Benjamin	4.0	 	2023-07-16 18:35:40.889	ledning
bib11653811_18991216_145317_194_0005_alto.xml-40-10	bib19277346_18270505_147394_18_0001_alto.xml-5-36	Benjamin	3.0	 	2023-07-16 18:36:21.002	ledning
bib11653828_18230626_144028_144_0004_alto.xml-5-22	bib19227291_18970501_145289_52_0003_alto.xml-48-6	Benjamin	1.0	'Handledning' in the first sentence, not 'ledning'	2023-07-16 18:37:57.979	ledning
bib19277346_18270505_147394_18_0001_alto.xml-5-36	bib19227462_18950202_147640_28_0002_alto.xml-52-22	Benjamin	2.0	 	2023-07-16 18:38:21.084	ledning
bib19227291_18950910_145289_108_0002_alto.xml-75-5	bib11653811_18980518_145317_75_0003_alto.xml-96-25	Benjamin	3.0	 	2023-07-16 18:38:46.347	ledning
bib11653830_18980704_146968_51_0003_alto.xml-89-11	bib11653828_18190406_144028_79_0002_alto.xml-10-4	Benjamin	4.0	 	2023-07-16 18:39:15.894	ledning
bib19223423_18100613_145063_47_0002_alto.xml-1-91	bib11653823_18300705_144010_151_0002_alto.xml-1-2	Benjamin	1.0	 	2023-07-16 18:40:06.251	ledning
bib11653828_18190406_144028_79_0002_alto.xml-10-4	bib11653828_18230606_144028_128_0003_alto.xml-2-11	Benjamin	3.0	 	2023-07-16 18:40:28.249	ledning
bib19223423_18210526_145063_42_0004_alto.xml-3-8	bib13506739_18291005_144030_230_0005_alto.xml-17-15	Benjamin	4.0	 	2023-07-16 18:41:33.702	ledning
bib19277277_18250308_147682_55_0003_alto.xml-15-29	bib11653830_18980704_146968_51_0003_alto.xml-89-11	Benjamin	3.0	 	2023-07-16 18:42:05.319	ledning
bib19225758_18951217_144022_294_0007_alto.xml-126-38	bib19277277_18300507_147682_104_0001_alto.xml-27-15	Benjamin	4.0	 	2023-07-16 18:42:13.434	ledning
bib19277277_18300507_147682_104_0001_alto.xml-27-15	bib11653828_18300121_144028_16_0003_alto.xml-2-94	Benjamin	2.0	 	2023-07-16 18:42:33.687	ledning
bib11653828_18200208_144028_31_0004_alto.xml-0-12	bib15760600_18951214_146401_148_0006_alto.xml-6-21	Benjamin	4.0	 	2023-07-16 18:42:59.087	ledning
bib15873936_18960702_147385_75_0002_alto.xml-120-33	bib13506739_18290418_144030_89_0004_alto.xml-20-36	Benjamin	1.0	 	2023-07-16 18:43:15.14	ledning
bib19223423_18100613_145063_47_0002_alto.xml-1-91	bib11653811_18970508_145317_70_0002_alto.xml-23-13	Benjamin	4.0	 	2023-07-16 18:45:22.411	ledning
bib19227291_18950910_145289_108_0002_alto.xml-75-5	bib11653811_19030904_145317_136_0002_alto.xml-103-24	Benjamin	4.0	 	2023-07-16 18:45:33.967	ledning
bib19277346_18230104_147394_1_0003_alto.xml-8-0	bib19225792_18110713_147359_28_0005_alto.xml-9-8	Benjamin	3.0	 	2023-07-16 18:45:52.073	ledning
bib19227291_18970501_145289_52_0003_alto.xml-48-6	bib15760600_18951214_146401_148_0006_alto.xml-6-21	Benjamin	3.0	 	2023-07-16 18:47:23.814	ledning
bib11653811_19010909_145317_139_0001_alto.xml-110-22	bib13506739_18120511_144030_107_0002_alto.xml-15-12	Benjamin	4.0	 	2023-07-16 18:47:38.698	ledning
bib19225758_18951217_144022_294_0007_alto.xml-126-38	bib13506739_18120511_144030_107_0002_alto.xml-15-12	Benjamin	4.0	 	2023-07-16 18:47:46.767	ledning
