identifier1	identifier2	annotator	judgment	comment	lemma
fic_2007_52366.txt-849-7	fic_1853_3465.txt-1268-8	amariac810	3	 	bag_nn
fic_1851_746.txt-5047-7	fic_1974_780164.txt-3350-20	amariac810	3	 	bag_nn
fic_1984_10714.txt-3154-8	fic_2004_780513.txt-1938-47	amariac810	2	 	bag_nn
mag_1976_290953.txt-5-14	fic_1995_53002.txt-569-9	amariac810	3	 	bag_nn
fic_1976_782016.txt-4673-4	fic_1846_7036.txt-1026-17	amariac810	4	 	bag_nn
mag_1855_505250.txt-366-17	fic_1845_7316.txt-1628-3	amariac810	3	 	bag_nn
mag_2002_392308.txt-25-30	nf_1834_755185.txt-1648-29	amariac810	3	 	bag_nn
fic_1988_16794.txt-30-6	fic_1834_7047.txt-1088-9	amariac810	3	 	bag_nn
mag_1856_566684.txt-67-18	mag_1845_587513.txt-248-16	amariac810	3	 	bag_nn
mag_2001_416301.txt-220-11	mag_1835_565001.txt-70-21	amariac810	2	 	bag_nn
fic_1837_7273.txt-777-13	fic_1856_9779.txt-1151-18	amariac810	4	 	bag_nn
fic_1835_7327.txt-1292-40	mag_2001_417008.txt-19-14	amariac810	4	 	bag_nn
mag_2002_392308.txt-25-30	fic_2004_48968.txt-442-9	amariac810	3	 	bag_nn
mag_1856_566684.txt-67-18	fic_1993_1040076.txt-716-18	amariac810	0	 	bag_nn
fic_1845_7183.txt-1799-5	nf_1843_748690.txt-314-6	amariac810	3	 	bag_nn
fic_2003_31846.txt-130-49	news_1972_730128.txt-8-16	amariac810	2	 	bag_nn
nf_1830_754783.txt-1899-8	mag_1984_432191.txt-53-10	amariac810	3	 	bag_nn
fic_1995_39254.txt-27-56	fic_1962_16286.txt-1450-9	amariac810	2	 	bag_nn
mag_1998_400540.txt-41-7	fic_1855_2630.txt-277-20	amariac810	3	 	bag_nn
fic_1846_544.txt-1982-10	fic_1995_53002.txt-569-9	amariac810	4	 	bag_nn
fic_1992_53514.txt-218-27	mag_1998_401802.txt-68-25	amariac810	2	 	bag_nn
mag_1986_331864.txt-3-3	fic_1856_9779.txt-1151-18	amariac810	3	 	bag_nn
fic_1855_2630.txt-277-20	fic_1847_7149.txt-2790-14	amariac810	2	 	bag_nn
mag_1837_554476.txt-28-22	fic_1852_2364.txt-2320-13	amariac810	2	 	bag_nn
fic_2004_780503.txt-2051-9	fic_1835_7134.txt-2829-19	amariac810	4	 	bag_nn
fic_1845_7183.txt-1799-5	fic_1855_2965.txt-1918-25	amariac810	0	 	bag_nn
fic_1996_42182.txt-13-45	fic_1993_1040076.txt-1289-2	amariac810	2	 	bag_nn
fic_2006_51438.txt-95-32	mag_1983_492317.txt-154-10	amariac810	3	 	bag_nn
fic_1846_544.txt-1982-10	fic_2000_28763.txt-111-38	amariac810	3	 	bag_nn
fic_1821_8985.txt-288-24	fic_2003_31346.txt-75-13	amariac810	4	 	bag_nn
