identifier1	identifier2	annotator	judgment	comment	lemma
mag_2001_415721.txt-12-0	fic_2006_27121.txt-1-27	amariac810	4	 	prop_nn
mag_1845_587497.txt-301-16	fic_1831_8376.txt-4413-52	amariac810	2	 	prop_nn
mag_1985_490897.txt-83-22	nf_1856_755595.txt-710-23	amariac810	3	 	prop_nn
mag_2006_386389.txt-71-0	fic_1831_8376.txt-4413-52	amariac810	0	 	prop_nn
news_1994_620080.txt-34-15	fic_1827_7269.txt-1407-29	amariac810	0	 	prop_nn
mag_1970_251882.txt-11-14	fic_1840_9329.txt-230-13	amariac810	2	 	prop_nn
fic_1990_16190.txt-156-4	mag_2001_415721.txt-12-0	amariac810	2	 	prop_nn
mag_1966_431717.txt-111-8	fic_2003_32366.txt-200-24	amariac810	2	 	prop_nn
mag_1853_590219.txt-212-17	mag_1845_587497.txt-301-16	amariac810	4	 	prop_nn
mag_1985_490897.txt-83-22	news_1983_671194.txt-58-13	amariac810	4	 	prop_nn
news_1983_735629.txt-2-19	fic_2007_51980.txt-175-11	amariac810	2	 	prop_nn
mag_2005_423713.txt-4-0	mag_2006_386389.txt-71-0	amariac810	0	 	prop_nn
fic_1847_7094.txt-23-11	fic_1828_7245.txt-2986-54	amariac810	2	 	prop_nn
fic_2007_51980.txt-175-11	fic_1856_7968.txt-412-37	amariac810	2	 	prop_nn
fic_1835_7272.txt-3286-11	news_1994_620080.txt-34-15	amariac810	0	 	prop_nn
fic_1831_8376.txt-4413-52	mag_2003_416114.txt-89-0	amariac810	0	 	prop_nn
nf_1827_748059.txt-407-2	mag_1845_587497.txt-301-16	amariac810	2	 	prop_nn
fic_1853_2454.txt-2315-76	fic_1854_9230.txt-3826-23	amariac810	2	 	prop_nn
mag_2001_415721.txt-12-0	news_2005_629366.txt-44-25	amariac810	4	 	prop_nn
mag_1980_320518.txt-25-16	nf_1827_748059.txt-405-4	amariac810	3	 	prop_nn
news_1987_670524.txt-14-125	mag_1855_556096.txt-232-24	amariac810	0	 	prop_nn
mag_1848_565754.txt-88-29	fic_1828_7245.txt-2986-54	amariac810	4	 	prop_nn
fic_1823_7247.txt-95-5	mag_1849_565796.txt-238-19	amariac810	0	 	prop_nn
fic_1989_780083.txt-3220-23	fic_1850_7953.txt-1384-27	amariac810	2	 	prop_nn
fic_1976_10612.txt-6694-26	nf_1829_747740.txt-261-8	amariac810	4	 	prop_nn
fic_1966_781991.txt-2877-19	nf_1829_747740.txt-261-8	amariac810	0	 	prop_nn
news_1966_725544.txt-4-25	fic_1992_53585.txt-1005-19	amariac810	0	 	prop_nn
fic_1831_8376.txt-2883-3	fic_1843_7208.txt-12595-1	amariac810	4	 	prop_nn
mag_1846_555367.txt-455-36	fic_1849_9494.txt-2989-18	amariac810	4	 	prop_nn
mag_1982_490856.txt-258-8	mag_1860_506638.txt-138-42	amariac810	3	 	prop_nn
fic_1843_7208.txt-12595-1	fic_1827_7269.txt-1407-29	amariac810	2	 	prop_nn
nf_1849_748137.txt-1459-7	mag_1992_408689.txt-121-25	amariac810	3	 	prop_nn
news_1994_620045.txt-18-9	news_1983_671194.txt-58-13	amariac810	0	 	prop_nn
fic_1835_7309.txt-3147-16	nf_1852_771569.txt-1387-44	amariac810	2	 	prop_nn
news_1999_653855.txt-50-16	fic_1851_746.txt-7377-87	amariac810	2	 	prop_nn
nf_1981_774121.txt-2116-7	news_1993_624879.txt-73-8	amariac810	3	 	prop_nn
news_1966_725544.txt-4-25	fic_1851_3300.txt-3800-17	amariac810	0	 	prop_nn
fic_1835_7309.txt-3147-16	fic_1972_23885.txt-275-0	amariac810	3	 	prop_nn
news_1994_620111.txt-57-24	mag_2005_423713.txt-4-0	amariac810	0	 	prop_nn
nf_1852_771569.txt-1387-44	fic_1845_7170.txt-1407-14	amariac810	4	 	prop_nn
mag_1976_431910.txt-11-2	mag_1985_490897.txt-83-22	amariac810	2	 	prop_nn
fic_1853_2454.txt-2315-76	nf_1815_747659.txt-290-15	amariac810	4	 	prop_nn
mag_2001_415828.txt-39-5	mag_1964_271036.txt-5-8	amariac810	2	 	prop_nn
mag_1845_522724.txt-88-29	fic_1835_1103.txt-4648-34	amariac810	2	 	prop_nn
mag_1964_271036.txt-5-8	fic_1827_7269.txt-1407-29	amariac810	2	 	prop_nn
mag_1966_431717.txt-111-8	mag_1964_271036.txt-5-8	amariac810	2	 	prop_nn
fic_1999_28742.txt-254-3	mag_1845_522996.txt-288-24	amariac810	2	 	prop_nn
fic_1834_8313.txt-1593-8	fic_1835_1103.txt-4652-11	amariac810	2	 	prop_nn
news_1994_620080.txt-34-15	nf_1847_750187.txt-260-49	amariac810	0	 	prop_nn
mag_1999_407567.txt-162-3	mag_2003_416114.txt-89-0	emmaccaulfield	0	 	prop_nn
mag_1982_490856.txt-258-8	mag_1999_407567.txt-249-3	emmaccaulfield	3	 	prop_nn
mag_1845_587615.txt-445-2	mag_1964_488195.txt-130-6	emmaccaulfield	0	 	prop_nn
fic_1840_9329.txt-230-13	fic_1835_7309.txt-3147-16	emmaccaulfield	0	 	prop_nn
fic_1990_13890.txt-97-5	mag_1982_490856.txt-258-8	emmaccaulfield	1	 	prop_nn
fic_1969_10510.txt-1191-26	mag_2006_386389.txt-71-0	emmaccaulfield	1	 	prop_nn
news_2000_627632.txt-352-3	mag_1855_566633.txt-100-33	emmaccaulfield	1	 	prop_nn
fic_1831_8376.txt-4413-52	nf_1856_755595.txt-710-23	emmaccaulfield	1	 	prop_nn
mag_1845_587615.txt-445-2	mag_1966_431717.txt-111-8	emmaccaulfield	0	 	prop_nn
nf_1829_747740.txt-433-4	fic_1837_8325.txt-1634-20	emmaccaulfield	4	 	prop_nn
news_1983_671194.txt-58-13	fic_1836_7286.txt-2398-10	emmaccaulfield	2	 	prop_nn
fic_1837_8325.txt-1634-20	fic_2007_51980.txt-175-11	emmaccaulfield	3	 	prop_nn
fic_1960_16323.txt-2867-10	fic_1821_8837.txt-339-72	emmaccaulfield	2	 	prop_nn
mag_1849_565796.txt-238-19	news_1995_638645.txt-51-11	emmaccaulfield	1	 	prop_nn
fic_1853_2454.txt-2315-76	mag_2003_414436.txt-5-0	emmaccaulfield	1	 	prop_nn
mag_1850_589329.txt-187-6	mag_2006_386389.txt-71-0	emmaccaulfield	1	 	prop_nn
news_1983_671194.txt-58-13	fic_1978_780156.txt-1780-16	emmaccaulfield	4	 	prop_nn
mag_1966_431728.txt-257-27	fic_1835_1103.txt-4607-0	emmaccaulfield	1	 	prop_nn
fic_1860_9072.txt-2475-27	mag_1980_485877.txt-132-10	emmaccaulfield	4	 	prop_nn
mag_2007_387685.txt-42-0	fic_1835_1103.txt-4648-34	emmaccaulfield	1	 	prop_nn
nf_1995_773714.txt-414-2	news_1994_620080.txt-34-15	emmaccaulfield	1	 	prop_nn
mag_1853_590219.txt-212-17	fic_2006_27121.txt-1-27	emmaccaulfield	2	 	prop_nn
mag_2007_387685.txt-42-0	news_1966_725544.txt-4-25	emmaccaulfield	0	 	prop_nn
fic_1980_780027.txt-1411-7	mag_2002_398686.txt-12-27	emmaccaulfield	1	 	prop_nn
mag_1847_565706.txt-262-17	fic_1856_7870.txt-616-8	emmaccaulfield	0	 	prop_nn
nf_1995_773714.txt-414-2	fic_1845_7170.txt-1407-14	emmaccaulfield	3	 	prop_nn
fic_1980_10672.txt-2568-7	mag_2006_386389.txt-71-0	emmaccaulfield	1	 	prop_nn
fic_1812_8652.txt-1700-8	fic_1999_29109.txt-201-42	emmaccaulfield	2	 	prop_nn
mag_2001_415721.txt-12-0	nf_1981_774121.txt-2116-7	amariac810	4	 	prop_nn
mag_1980_320518.txt-25-16	fic_1840_9127.txt-83-24	amariac810	2	 	prop_nn
fic_1831_8376.txt-2883-3	mag_1981_295237.txt-21-11	amariac810	4	 	prop_nn
fic_1994_41307.txt-396-16	mag_2006_386389.txt-5-0	amariac810	0	 	prop_nn
mag_1976_431910.txt-11-2	nf_1852_771569.txt-1387-44	amariac810	2	 	prop_nn
news_1983_735629.txt-2-19	fic_1990_13890.txt-97-5	amariac810	2	 	prop_nn
fic_2003_32366.txt-200-24	mag_1999_407567.txt-213-23	amariac810	2	 	prop_nn
fic_1851_746.txt-7377-87	nf_1853_747976.txt-766-13	amariac810	4	 	prop_nn
fic_1821_8837.txt-339-72	mag_1992_423112.txt-49-15	amariac810	2	 	prop_nn
fic_1841_8303.txt-251-4	fic_1843_7208.txt-12595-1	amariac810	2	 	prop_nn
fic_1837_8325.txt-1634-20	nf_1817_747573.txt-1921-24	amariac810	4	 	prop_nn
mag_1840_554766.txt-15-21	mag_1964_488195.txt-130-6	amariac810	0	 	prop_nn
nf_1842_747853.txt-63-56	nf_1849_771289.txt-2110-32	amariac810	0	 	prop_nn
mag_1982_298040.txt-5-21	news_1961_721889.txt-38-10	amariac810	2	 	prop_nn
fic_1978_780156.txt-1780-16	nf_1856_755595.txt-710-23	amariac810	3	 	prop_nn
mag_1982_490856.txt-258-8	mag_1981_295237.txt-21-11	amariac810	2	 	prop_nn
mag_1845_565481.txt-528-8	mag_2006_386389.txt-5-0	amariac810	0	 	prop_nn
fic_1823_7247.txt-95-5	nf_1834_747938.txt-958-29	amariac810	4	 	prop_nn
fic_1853_2454.txt-2315-76	fic_1846_7284.txt-2196-19	amariac810	2	 	prop_nn
mag_1982_490856.txt-258-8	fic_1976_10612.txt-6694-26	amariac810	2	 	prop_nn
nf_1841_747994.txt-982-13	nf_1847_750187.txt-260-49	amariac810	2	 	prop_nn
nf_1829_747740.txt-261-8	nf_1981_774121.txt-1648-3	amariac810	2	 	prop_nn
fic_1827_7269.txt-1407-29	fic_1854_9230.txt-3826-23	amariac810	2	 	prop_nn
mag_1966_431728.txt-257-27	fic_1972_23885.txt-275-0	amariac810	2	 	prop_nn
fic_1856_7870.txt-616-8	mag_1845_565423.txt-235-23	amariac810	4	 	prop_nn
fic_1999_28742.txt-254-3	mag_1976_431910.txt-11-2	amariac810	2	 	prop_nn
fic_1972_23885.txt-275-0	mag_1855_566633.txt-100-33	amariac810	2	 	prop_nn
mag_1845_587497.txt-301-16	news_1994_620080.txt-34-15	amariac810	0	 	prop_nn
mag_1855_566633.txt-100-33	nf_2005_747067.txt-148-23	amariac810	2	 	prop_nn
mag_2006_386389.txt-5-0	fic_1969_781999.txt-7587-7	amariac810	0	 	prop_nn
mag_2005_423713.txt-4-0	news_1994_620080.txt-34-15	amariac810	0	 	prop_nn
fic_1854_8328.txt-4254-6	mag_1849_565796.txt-238-19	amariac810	0	 	prop_nn
mag_1964_488195.txt-130-6	news_1991_649955.txt-51-15	amariac810	2	 	prop_nn
fic_1978_780156.txt-1780-16	mag_2003_414436.txt-5-0	amariac810	0	 	prop_nn
fic_1823_7247.txt-95-5	news_1994_620045.txt-18-9	amariac810	0	 	prop_nn
mag_1845_522724.txt-88-29	fic_1847_1094.txt-3380-5	amariac810	2	 	prop_nn
nf_1969_774361.txt-2020-5	mag_1839_586383.txt-196-28	amariac810	0	 	prop_nn
news_1987_670537.txt-1-10	mag_1844_587205.txt-133-4	amariac810	4	 	prop_nn
nf_1841_747994.txt-982-13	fic_1860_8033.txt-1670-1	amariac810	4	 	prop_nn
news_1994_606785.txt-34-3	fic_1980_780027.txt-1411-7	amariac810	0	 	prop_nn
fic_1835_1103.txt-4296-7	mag_1992_423112.txt-49-15	amariac810	3	 	prop_nn
fic_1960_16323.txt-2867-10	news_1995_638645.txt-51-11	amariac810	0	 	prop_nn
fic_1857_290.txt-594-4	news_1961_721889.txt-53-4	amariac810	3	 	prop_nn
mag_2006_386389.txt-71-0	mag_1846_555367.txt-455-36	amariac810	0	 	prop_nn
fic_1846_7284.txt-2196-19	fic_1960_16323.txt-2867-10	amariac810	3	 	prop_nn
fic_1812_8652.txt-1707-10	mag_1846_555367.txt-455-36	amariac810	4	 	prop_nn
fic_1821_8837.txt-339-72	nf_1995_773714.txt-414-2	amariac810	4	 	prop_nn
