lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence
quilt_nn	nn1@_jj@	1856	1	nf_1856_755595.txt-2201-2	 	At the quilting, apple, and shelling bees there are numbers of the fair sex, and games, dancing, and merrymaking are invariably kept up till the morning.	7:15	0:153
quilt_nn	nn1	2003	2	fic_2003_29829.txt-4-21	 	Now she wondered if they had overlooked something, a familial connection lost to memory but documented in a threadbare antique quilt.	127:132	0:133
quilt_nn	nn1	1853	1	fic_1853_9040.txt-438-32	 	I guess he is no such great things of a doctor after all, \" she said; and elevating her voice and addressing a maiden on the opposite side of the quilt, she continued, \" Did you hear, Elizabeth, about his going to visit Mrs. Mercer, and supposing her attacked with cholera, when in a day or two the disease fell in her arms? \"	146:151	0:326
quilt_nn	nn1	1994	2	fic_1994_41330.txt-132-1	 	A quilt by Irene Bettit, which was selected for the Vermont exhibit of the Gatherings project, resulted in her receiving great recognition for its quality.	2:7	0:155
quilt_nn	nn1	1845	1	fic_1845_7183.txt-2506-19	 	, had been arranged by Mrs. Purfle; and the sky-blue pillow fringed with gold, and the purple quilt which belonged to the character, made altogether a very magnificent affair, though Mr. Ashdod Cockles had not thought it prudent to suspend more than a single candle within the chintz curtains and the gauze blind.	94:99	0:313
quilt_nn	nn1	2003	2	fic_2003_27792.txt-295-11	 	Despite the warmth of April, I flung my mother's quilt onto my bed.	49:54	0:67
quilt_nn	nn1	1994	2	fic_1994_41330.txt-6-21	 	It was Friday afternoon and if I broke the speed limit, I would have half an hour before the three-dimensional quilt of flowers I was about to see for myself, flowers rising up right out of the stitches and seams as though they were real and stretching toward light, snapdragons, poppies, marigolds, black-eyed Susans, all so delicately sculpted you might think you could	111:116	0:371
quilt_nn	nn1	1854	1	fic_1854_9230.txt-1114-18	 	I do admire the millintery, where the sogers in their fancy unicorns look jest like a patchwork quilt.	96:101	0:102
quilt_nn	nn1	1968	2	mag_1968_490663.txt-60-13	 	The financing that he was finally able to piece together is a crazy quilt of small foundation grants and gifts and subsidies from various public	68:73	0:144
quilt_nn	nn1	1994	2	fic_1994_54045.txt-357-20	 	Her head was pillowed on the sick woman's thigh and the wash cloth made a damp spot on the quilt.	91:96	0:97
quilt_nn	nn2	1849	1	fic_1849_7167.txt-1527-19	 	The room in which I lay was divided into several small compartments, by temporary partitions, made of quilts suspended from the joists above.	102:108	0:141
quilt_nn	nn1	1852	1	nf_1852_752548.txt-1511-20	 	I guess if you won't lend me the gown, you will let me have some black slack to quilt a stuff petticoat, a quarter of a pound of tea and some sugar; and I will bring them back as soon as I can. \"	80:85	0:195
quilt_nn	nn1	1849	1	fic_1849_7192.txt-1650-33	 	With incoherent sentences like these, uttered slowly and with painful distinctness, although in a very low voice, the wretched woman sank back in her pillow, picking at the tattered quilt with her wasted hands.	182:187	0:210
quilt_nn	nn2	2003	2	fic_2003_29829.txt-394-9	 	Perhaps the Log Cabin and Birds in the Air quilts had been made earlier, and the third years later, after the quiltmaker had improved her skills.	43:49	0:145
quilt_nn	nn1	1997	2	fic_1997_43068.txt-391-8	 	I sat up in bed and pulled the quilt around me.	31:36	0:47
quilt_nn	nn1	1999	2	fic_1999_30271.txt-351-17	 	Put him down \" the man said, gesturing to a sagging iron-frame bed covered with a quilt.	82:87	0:88
quilt_nn	nn1	1967	2	fic_1967_10489.txt-833-13	 	This commanded a central position, and covered now with a handsome flower-embroidered quilt,	86:91	0:92
quilt_nn	nn1	2007	2	fic_2007_34349.txt-7-4	 	There was always a quilt on the front wooden fence to show we were a safe house for runaways.	19:24	0:93
quilt_nn	nn1@_jj@	1859	1	fic_1859_9037.txt-612-11	 	Certainly she would like of all things to go to the quilting, and the more, perhaps, that Helph was come for her; but in no time of her life	52:60	0:140
quilt_nn	nn2	1848	1	fic_1848_7341.txt-59-13	 	Do you think old Miss Stallins hain't put in a heap of quilts and pillar-cases!	55:61	0:79
quilt_nn	nn1	1966	2	fic_1966_10468.txt-2642-33	 	Even in the darkness, though, I could see that the swiftly moving men had done their work, for all the tables had been taken away and of the great spreading quilt of debris only anp213occasional scrap of paper remained, blown by the	157:162	0:232
quilt_nn	nn1	1853	1	fic_1853_9040.txt-424-15	 	' Ellen was very busy and very happy, now overseeing the rolling of the quilt, now examining the stitching of some young quilter, and now serving round cakes and cider, and giving to every one kind words and smiles. \"	72:77	0:217
quilt_nn	nn1	2003	2	mag_2003_400888.txt-5-72	 	, but also a great source for everyday tableware OUR PICKS (right, from top of stack) Luigi Bormioli Michelangelo goblets, $17, set of four; Sango Nova Green 16-piece tableware, settings for four, $50; Handmade by Gourmet Settings Exotique 20-piece flatware service for four, $80; Dining Essentials napkin, $12, set of four; B. Smith With Style Tunisian Nights cotton-and-silk quilt, $140; sage Berkshire Fleece Blanket for Two, $15; B. Smith With Style Lotus Garden cotton-and-silk quilt, $140; sage Brentwood Originals Classic chenille throw, $20; (draped in foreground) queen-size Wamsutta 300-count Pima Sateen flat sheet, $45.	377:382	0:631
quilt_nn	nn1	2003	2	fic_2003_29829.txt-97-12	 	It would have been the only part standing at the time this quilt was made. \"	59:64	0:76
quilt_nn	nn2	1853	1	fic_1853_9040.txt-378-68	 	The ceilings were unplastered, and on either side sloped within a few feet of the floor, but the gable windows admitted a sufficiency of light, and there was neither carpet nor furniture in the way, except, indeed, the furnishing which Ellen had contrived for the occasion, consisting chiefly of divans, formed of boards and blocks, which were cushioned with quilts and the like.	359:365	0:379
quilt_nn	nn1	2009	2	fic_2009_36450.txt-72-6	 	Her sister settled back under the quilt, and Jessie picked up her shoe.	34:39	0:71
quilt_nn	nn1@_jj@	1859	1	fic_1859_9037.txt-427-43	 	But all in vain the lady urged the point; the old-fashioned aunt said she would have no such mess written, that Helph might get on his horse and ride through the neighborhood and ask the young people to come to the quilting and wood-chopping.	215:223	0:242
quilt_nn	nn2	1983	2	nf_1983_774380.txt-687-8	 	But David used one of his family's quilts because of the colors. \"	35:41	0:66
quilt_nn	nn1	1849	1	fic_1849_7192.txt-1149-14	 	And yet she is afraid to cross the narrow room, and lift the quilt which conceals the face of	61:66	0:93
quilt_nn	nn1	1853	1	fic_1853_9040.txt-469-1	 	The quilt was finished, but Mehitable and Elizabeth remained close within the chamber, whether to contemplate the completed work, or to regale themselves with each other's accumulations of scandal, I shall not attempt to guess.	4:9	0:227
quilt_nn	nn1	1987	2	nf_1987_773961.txt-32-6	 	// Puffed Quilt Making a puffed quilt is simple.	32:37	0:48
quilt_nn	nn1	1999	2	fic_1999_55557.txt-360-37	 	The cars and country houses and charming hand-painted, three-footed teapots bought at the Paris flea market, the first edition of To the Lighthouse, the old Billie Holiday 78s, the antique weathervane, the quilt my great-great-grandmother sewed....	206:211	0:248
quilt_nn	nn1	1853	1	fic_1853_3465.txt-995-17	 	Betsey had counted all the squares, and three-cornered pieces, and circles, in the patch-work quilt upon her bed; she knew there were six more red than green ones, and that one of the circles was pieced seven times.	94:99	0:215
quilt_nn	nn1	1850	1	fic_1850_7171.txt-237-80	 	; and, making an effort, he did not; but hovered about the faces of the children, put his mouth towards one, and then the other, and kissed the air between, as if that was sweet enough; experimented with the light on this side and on that, to get every possible view of them; with his thumb and finger took hold of the little velvety hands, that lay over the quilt. \"	359:364	0:367
quilt_nn	nn1	1853	1	fic_1853_9040.txt-544-20	 	In the centre of the room, two chairs were placed, some three feet apart, over which a quilt was carefully spread, so as seemingly to form a divan, and when a lady was seated on each chair, the gentlemen withdrew to the lower apartments, to be separately suffered to enter again when all should be in order.	87:92	0:307
quilt_nn	nn1@_vvg_jj@	1853	1	fic_1853_9040.txt-397-17	 	I knew right well how ludicrous it would be to attempt the twisting of Aunt Wetherbe's quilting and wood-chopping into a fashionable party, but I had little eloquence or argument at command with which to combat the city dame's positive assertions and impertinent suggestions. \"	87:95	0:277
quilt_nn	nn1	1849	1	fic_1849_7192.txt-1467-17	 	You will remember, that the face of the sick woman, was altogether concealed by the quilt; her black hair, streaked with grey, alone was visible. \"	84:89	0:147
quilt_nn	nn1	1972	2	fic_1972_10558.txt-6068-5	 	He was just tucking the quilt about her when George knocked on the door.	24:29	0:72
quilt_nn	nn2	1965	2	fic_1965_10457.txt-2456-21	 	Three hundred slaves, or more, some in the uniformsof prosperous masters, others, like us, in threadbare quilts, were assembled in the open space, and there was much raucous shouting and uncouth loud laughter.	105:111	0:209
